ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size     1753, 311690077 req, miss ratio 0.3317, byte miss ratio 0.3317
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size     5260, 311690077 req, miss ratio 0.2668, byte miss ratio 0.2668
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size    17535, 311690077 req, miss ratio 0.1891, byte miss ratio 0.1891
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size    52605, 311690077 req, miss ratio 0.1259, byte miss ratio 0.1259
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   175351, 311690077 req, miss ratio 0.0767, byte miss ratio 0.0767
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   350702, 311690077 req, miss ratio 0.0585, byte miss ratio 0.0585
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   701404, 311690077 req, miss ratio 0.0247, byte miss ratio 0.0247
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size  1402808, 311690077 req, miss ratio 0.0080, byte miss ratio 0.0080
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size     1753, 311690077 req, miss ratio 0.3156, byte miss ratio 0.3156
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size     5260, 311690077 req, miss ratio 0.2462, byte miss ratio 0.2462
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    17535, 311690077 req, miss ratio 0.1685, byte miss ratio 0.1685
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    52605, 311690077 req, miss ratio 0.1086, byte miss ratio 0.1086
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   175351, 311690077 req, miss ratio 0.0655, byte miss ratio 0.0655
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   350702, 311690077 req, miss ratio 0.0504, byte miss ratio 0.0504
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   701404, 311690077 req, miss ratio 0.0192, byte miss ratio 0.0192
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size  1402808, 311690077 req, miss ratio 0.0065, byte miss ratio 0.0065
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size     1753, 311690077 req, miss ratio 0.3028, byte miss ratio 0.3028
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size     5260, 311690077 req, miss ratio 0.2319, byte miss ratio 0.2319
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size    17535, 311690077 req, miss ratio 0.1552, byte miss ratio 0.1552
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size    52605, 311690077 req, miss ratio 0.0982, byte miss ratio 0.0982
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   175351, 311690077 req, miss ratio 0.0596, byte miss ratio 0.0596
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   350702, 311690077 req, miss ratio 0.0452, byte miss ratio 0.0452
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   701404, 311690077 req, miss ratio 0.0148, byte miss ratio 0.0148
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size  1402808, 311690077 req, miss ratio 0.0062, byte miss ratio 0.0062
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size     1753, 311690077 req, miss ratio 0.3211, byte miss ratio 0.3211
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size     5260, 311690077 req, miss ratio 0.2525, byte miss ratio 0.2525
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size    17535, 311690077 req, miss ratio 0.1745, byte miss ratio 0.1745
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size    52605, 311690077 req, miss ratio 0.1135, byte miss ratio 0.1135
