manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size       14, 8300754 req, miss ratio 0.0081, byte miss ratio 0.0081
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size       46, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size       93, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size      186, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size      373, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size       14, 8300754 req, miss ratio 1.0000, byte miss ratio 1.0000
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size       46, 8300754 req, miss ratio 1.0000, byte miss ratio 1.0000
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size       93, 8300754 req, miss ratio 1.0000, byte miss ratio 1.0000
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size      186, 8300754 req, miss ratio 1.0000, byte miss ratio 1.0000
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size      373, 8300754 req, miss ratio 1.0000, byte miss ratio 1.0000
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size       14, 8300754 req, miss ratio 0.0070, byte miss ratio 0.0070
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size       46, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size       93, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size      186, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size      373, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size       14, 8300754 req, miss ratio 0.0075, byte miss ratio 0.0075
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size       46, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size       93, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size      186, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size      373, 8300754 req, miss ratio 0.0001, byte miss ratio 0.0001
manhattan_feeder_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size       14, 8300754 req, miss ratio 1.0000, byte miss ratio 1.0000
