atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-2.0000 cache size     4089, 99119244 req, miss ratio 0.4210, byte miss ratio 0.4210
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-2.0000 cache size    12268, 99119244 req, miss ratio 0.3208, byte miss ratio 0.3208
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-2.0000 cache size    40894, 99119244 req, miss ratio 0.2327, byte miss ratio 0.2327
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-2.0000 cache size   122684, 99119244 req, miss ratio 0.1665, byte miss ratio 0.1665
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-2.0000 cache size   408949, 99119244 req, miss ratio 0.0997, byte miss ratio 0.0997
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-2.0000 cache size   817899, 99119244 req, miss ratio 0.0691, byte miss ratio 0.0691
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-2.0000 cache size  1635798, 99119244 req, miss ratio 0.0497, byte miss ratio 0.0497
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-2.0000 cache size  3271596, 99119244 req, miss ratio 0.0422, byte miss ratio 0.0422
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.0000 cache size     4089, 99119244 req, miss ratio 0.4393, byte miss ratio 0.4393
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.0000 cache size    12268, 99119244 req, miss ratio 0.3378, byte miss ratio 0.3378
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.0000 cache size    40894, 99119244 req, miss ratio 0.2465, byte miss ratio 0.2465
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.0000 cache size   122684, 99119244 req, miss ratio 0.1776, byte miss ratio 0.1776
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.0000 cache size   408949, 99119244 req, miss ratio 0.0995, byte miss ratio 0.0995
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.0000 cache size   817899, 99119244 req, miss ratio 0.0745, byte miss ratio 0.0745
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.0000 cache size  1635798, 99119244 req, miss ratio 0.0522, byte miss ratio 0.0522
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.0000 cache size  3271596, 99119244 req, miss ratio 0.0423, byte miss ratio 0.0423
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.8000 cache size     4089, 99119244 req, miss ratio 0.4324, byte miss ratio 0.4324
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.8000 cache size    12268, 99119244 req, miss ratio 0.3483, byte miss ratio 0.3483
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.8000 cache size    40894, 99119244 req, miss ratio 0.2671, byte miss ratio 0.2671
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.8000 cache size   122684, 99119244 req, miss ratio 0.1934, byte miss ratio 0.1934
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.8000 cache size   408949, 99119244 req, miss ratio 0.1167, byte miss ratio 0.1167
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.8000 cache size   817899, 99119244 req, miss ratio 0.0829, byte miss ratio 0.0829
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.8000 cache size  1635798, 99119244 req, miss ratio 0.0592, byte miss ratio 0.0592
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.8000 cache size  3271596, 99119244 req, miss ratio 0.0433, byte miss ratio 0.0433
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.2000 cache size     4089, 99119244 req, miss ratio 0.4305, byte miss ratio 0.4305
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.2000 cache size    12268, 99119244 req, miss ratio 0.3290, byte miss ratio 0.3290
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.2000 cache size    40894, 99119244 req, miss ratio 0.2397, byte miss ratio 0.2397
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.2000 cache size   122684, 99119244 req, miss ratio 0.1725, byte miss ratio 0.1725
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.2000 cache size   408949, 99119244 req, miss ratio 0.0973, byte miss ratio 0.0973
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.2000 cache size   817899, 99119244 req, miss ratio 0.0722, byte miss ratio 0.0722
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.2000 cache size  1635798, 99119244 req, miss ratio 0.0510, byte miss ratio 0.0510
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.2000 cache size  3271596, 99119244 req, miss ratio 0.0422, byte miss ratio 0.0422
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.5000 cache size     4089, 99119244 req, miss ratio 0.4211, byte miss ratio 0.4211
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.5000 cache size    12268, 99119244 req, miss ratio 0.3208, byte miss ratio 0.3208
