ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size      728, 225290879 req, miss ratio 0.6007, byte miss ratio 0.6007
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size     2184, 225290879 req, miss ratio 0.4941, byte miss ratio 0.4941
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size     7281, 225290879 req, miss ratio 0.2984, byte miss ratio 0.2984
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size    21845, 225290879 req, miss ratio 0.1593, byte miss ratio 0.1593
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size    72816, 225290879 req, miss ratio 0.0731, byte miss ratio 0.0731
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size   145633, 225290879 req, miss ratio 0.0496, byte miss ratio 0.0496
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size   291266, 225290879 req, miss ratio 0.0297, byte miss ratio 0.0297
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size   582533, 225290879 req, miss ratio 0.0038, byte miss ratio 0.0038
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.5000 cache size      728, 225290879 req, miss ratio 0.5662, byte miss ratio 0.5662
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.5000 cache size     2184, 225290879 req, miss ratio 0.4679, byte miss ratio 0.4679
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.5000 cache size     7281, 225290879 req, miss ratio 0.2482, byte miss ratio 0.2482
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.5000 cache size    21845, 225290879 req, miss ratio 0.1452, byte miss ratio 0.1452
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.5000 cache size    72816, 225290879 req, miss ratio 0.0737, byte miss ratio 0.0737
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.5000 cache size   145633, 225290879 req, miss ratio 0.0505, byte miss ratio 0.0505
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.5000 cache size   291266, 225290879 req, miss ratio 0.0317, byte miss ratio 0.0317
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.5000 cache size   582533, 225290879 req, miss ratio 0.0040, byte miss ratio 0.0040
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-2.0000 cache size      728, 225290879 req, miss ratio 0.5547, byte miss ratio 0.5547
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-2.0000 cache size     2184, 225290879 req, miss ratio 0.4155, byte miss ratio 0.4155
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-2.0000 cache size     7281, 225290879 req, miss ratio 0.2562, byte miss ratio 0.2562
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-2.0000 cache size    21845, 225290879 req, miss ratio 0.1508, byte miss ratio 0.1508
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-2.0000 cache size    72816, 225290879 req, miss ratio 0.0789, byte miss ratio 0.0789
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-2.0000 cache size   145633, 225290879 req, miss ratio 0.0541, byte miss ratio 0.0541
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-2.0000 cache size   291266, 225290879 req, miss ratio 0.0343, byte miss ratio 0.0343
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-2.0000 cache size   582533, 225290879 req, miss ratio 0.0045, byte miss ratio 0.0045
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.7000 cache size      728, 225290879 req, miss ratio 0.5348, byte miss ratio 0.5348
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.7000 cache size     2184, 225290879 req, miss ratio 0.4251, byte miss ratio 0.4251
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.7000 cache size     7281, 225290879 req, miss ratio 0.2899, byte miss ratio 0.2899
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.7000 cache size    21845, 225290879 req, miss ratio 0.1761, byte miss ratio 0.1761
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.7000 cache size    72816, 225290879 req, miss ratio 0.0953, byte miss ratio 0.0953
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.7000 cache size   145633, 225290879 req, miss ratio 0.0664, byte miss ratio 0.0664
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.7000 cache size   291266, 225290879 req, miss ratio 0.0350, byte miss ratio 0.0350
