onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.0000 cache size    76870, 1446577592 req, miss ratio 0.6904, byte miss ratio 0.6904
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.0000 cache size   230610, 1446577592 req, miss ratio 0.6451, byte miss ratio 0.6451
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.0000 cache size   768702, 1446577592 req, miss ratio 0.6134, byte miss ratio 0.6134
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.0000 cache size  2306108, 1446577592 req, miss ratio 0.5691, byte miss ratio 0.5691
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.0000 cache size  7687029, 1446577592 req, miss ratio 0.4081, byte miss ratio 0.4081
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.0000 cache size 15374058, 1446577592 req, miss ratio 0.2411, byte miss ratio 0.2411
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.0000 cache size 30748116, 1446577592 req, miss ratio 0.1021, byte miss ratio 0.1021
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.0000 cache size 61496233, 1446577592 req, miss ratio 0.0565, byte miss ratio 0.0565
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.4000 cache size    76870, 1446577592 req, miss ratio 0.6932, byte miss ratio 0.6932
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.4000 cache size   230610, 1446577592 req, miss ratio 0.6483, byte miss ratio 0.6483
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.4000 cache size   768702, 1446577592 req, miss ratio 0.6152, byte miss ratio 0.6152
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.4000 cache size  2306108, 1446577592 req, miss ratio 0.5795, byte miss ratio 0.5795
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.4000 cache size  7687029, 1446577592 req, miss ratio 0.4332, byte miss ratio 0.4332
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.4000 cache size 15374058, 1446577592 req, miss ratio 0.2509, byte miss ratio 0.2509
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.4000 cache size 30748116, 1446577592 req, miss ratio 0.1104, byte miss ratio 0.1104
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.4000 cache size 61496233, 1446577592 req, miss ratio 0.0587, byte miss ratio 0.0587
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.7000 cache size    76870, 1446577592 req, miss ratio 0.6930, byte miss ratio 0.6930
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.7000 cache size   230610, 1446577592 req, miss ratio 0.6483, byte miss ratio 0.6483
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.7000 cache size   768702, 1446577592 req, miss ratio 0.6153, byte miss ratio 0.6153
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.7000 cache size  2306108, 1446577592 req, miss ratio 0.5822, byte miss ratio 0.5822
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.7000 cache size  7687029, 1446577592 req, miss ratio 0.4342, byte miss ratio 0.4342
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.7000 cache size 15374058, 1446577592 req, miss ratio 0.2509, byte miss ratio 0.2509
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.7000 cache size 30748116, 1446577592 req, miss ratio 0.1104, byte miss ratio 0.1104
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.7000 cache size 61496233, 1446577592 req, miss ratio 0.0587, byte miss ratio 0.0587
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.3000 cache size    76870, 1446577592 req, miss ratio 0.6996, byte miss ratio 0.6996
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.3000 cache size   230610, 1446577592 req, miss ratio 0.6520, byte miss ratio 0.6520
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.3000 cache size   768702, 1446577592 req, miss ratio 0.6150, byte miss ratio 0.6150
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.3000 cache size  2306108, 1446577592 req, miss ratio 0.5620, byte miss ratio 0.5620
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.3000 cache size  7687029, 1446577592 req, miss ratio 0.3775, byte miss ratio 0.3775
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.3000 cache size 15374058, 1446577592 req, miss ratio 0.2205, byte miss ratio 0.2205
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.3000 cache size 30748116, 1446577592 req, miss ratio 0.0965, byte miss ratio 0.0965
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.3000 cache size 61496233, 1446577592 req, miss ratio 0.0553, byte miss ratio 0.0553
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-2.0000 cache size    76870, 1446577592 req, miss ratio 0.6971, byte miss ratio 0.6971
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-2.0000 cache size   230610, 1446577592 req, miss ratio 0.6519, byte miss ratio 0.6519
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-2.0000 cache size   768702, 1446577592 req, miss ratio 0.6171, byte miss ratio 0.6171
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-2.0000 cache size  2306108, 1446577592 req, miss ratio 0.5871, byte miss ratio 0.5871
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-2.0000 cache size  7687029, 1446577592 req, miss ratio 0.4402, byte miss ratio 0.4402
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-2.0000 cache size 15374058, 1446577592 req, miss ratio 0.2569, byte miss ratio 0.2569
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-2.0000 cache size 30748116, 1446577592 req, miss ratio 0.1160, byte miss ratio 0.1160
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-2.0000 cache size 61496233, 1446577592 req, miss ratio 0.0600, byte miss ratio 0.0600
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.7000 cache size    76870, 1446577592 req, miss ratio 0.7264, byte miss ratio 0.7264
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.7000 cache size   230610, 1446577592 req, miss ratio 0.6863, byte miss ratio 0.6863
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.7000 cache size   768702, 1446577592 req, miss ratio 0.6401, byte miss ratio 0.6401
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.7000 cache size  2306108, 1446577592 req, miss ratio 0.6037, byte miss ratio 0.6037
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.7000 cache size  7687029, 1446577592 req, miss ratio 0.4467, byte miss ratio 0.4467
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.7000 cache size 15374058, 1446577592 req, miss ratio 0.2940, byte miss ratio 0.2940
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.7000 cache size 30748116, 1446577592 req, miss ratio 0.1488, byte miss ratio 0.1488
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.7000 cache size 61496233, 1446577592 req, miss ratio 0.0698, byte miss ratio 0.0698
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.3000 cache size    76870, 1446577592 req, miss ratio 0.6931, byte miss ratio 0.6931
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.3000 cache size   230610, 1446577592 req, miss ratio 0.6468, byte miss ratio 0.6468
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.3000 cache size   768702, 1446577592 req, miss ratio 0.6139, byte miss ratio 0.6139
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.3000 cache size  2306108, 1446577592 req, miss ratio 0.5665, byte miss ratio 0.5665
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.3000 cache size  7687029, 1446577592 req, miss ratio 0.3892, byte miss ratio 0.3892
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.3000 cache size 15374058, 1446577592 req, miss ratio 0.2332, byte miss ratio 0.2332
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.3000 cache size 30748116, 1446577592 req, miss ratio 0.0994, byte miss ratio 0.0994
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.3000 cache size 61496233, 1446577592 req, miss ratio 0.0558, byte miss ratio 0.0558
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size    76870, 1446577592 req, miss ratio 0.6965, byte miss ratio 0.6965
