query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size      743, 63962758 req, miss ratio 0.4662, byte miss ratio 0.4662
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size     2231, 63962758 req, miss ratio 0.2384, byte miss ratio 0.2384
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size     7437, 63962758 req, miss ratio 0.1159, byte miss ratio 0.1159
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size    22312, 63962758 req, miss ratio 0.0839, byte miss ratio 0.0839
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size    74374, 63962758 req, miss ratio 0.0551, byte miss ratio 0.0551
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size   148748, 63962758 req, miss ratio 0.0372, byte miss ratio 0.0372
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size   297497, 63962758 req, miss ratio 0.0208, byte miss ratio 0.0208
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size   594994, 63962758 req, miss ratio 0.0128, byte miss ratio 0.0128
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size      743, 63962758 req, miss ratio 0.4694, byte miss ratio 0.4694
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size     2231, 63962758 req, miss ratio 0.1831, byte miss ratio 0.1831
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size     7437, 63962758 req, miss ratio 0.1149, byte miss ratio 0.1149
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size    22312, 63962758 req, miss ratio 0.0832, byte miss ratio 0.0832
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size    74374, 63962758 req, miss ratio 0.0553, byte miss ratio 0.0553
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   148748, 63962758 req, miss ratio 0.0384, byte miss ratio 0.0384
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   297497, 63962758 req, miss ratio 0.0217, byte miss ratio 0.0217
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   594994, 63962758 req, miss ratio 0.0129, byte miss ratio 0.0129
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size      743, 63962758 req, miss ratio 0.4732, byte miss ratio 0.4732
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size     2231, 63962758 req, miss ratio 0.3151, byte miss ratio 0.3151
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size     7437, 63962758 req, miss ratio 0.1325, byte miss ratio 0.1325
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    22312, 63962758 req, miss ratio 0.0850, byte miss ratio 0.0850
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    74374, 63962758 req, miss ratio 0.0556, byte miss ratio 0.0556
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   148748, 63962758 req, miss ratio 0.0376, byte miss ratio 0.0376
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   297497, 63962758 req, miss ratio 0.0204, byte miss ratio 0.0204
