pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.1000 cache size     1416, 184017803 req, miss ratio 0.5876, byte miss ratio 0.5876
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.1000 cache size     4250, 184017803 req, miss ratio 0.5548, byte miss ratio 0.5548
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.1000 cache size    14168, 184017803 req, miss ratio 0.5240, byte miss ratio 0.5240
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.1000 cache size    42504, 184017803 req, miss ratio 0.4954, byte miss ratio 0.4954
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.1000 cache size   141681, 184017803 req, miss ratio 0.4203, byte miss ratio 0.4203
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.1000 cache size   283362, 184017803 req, miss ratio 0.2254, byte miss ratio 0.2254
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.1000 cache size   566724, 184017803 req, miss ratio 0.0985, byte miss ratio 0.0985
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.1000 cache size  1133448, 184017803 req, miss ratio 0.0155, byte miss ratio 0.0155
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.1000 cache size     1416, 184017803 req, miss ratio 0.5754, byte miss ratio 0.5754
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.1000 cache size     4250, 184017803 req, miss ratio 0.5446, byte miss ratio 0.5446
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.1000 cache size    14168, 184017803 req, miss ratio 0.5156, byte miss ratio 0.5156
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.1000 cache size    42504, 184017803 req, miss ratio 0.4867, byte miss ratio 0.4867
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.1000 cache size   141681, 184017803 req, miss ratio 0.3624, byte miss ratio 0.3624
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.1000 cache size   283362, 184017803 req, miss ratio 0.1792, byte miss ratio 0.1792
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.1000 cache size   566724, 184017803 req, miss ratio 0.0998, byte miss ratio 0.0998
