tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.7000 cache size      122, 21784722 req, miss ratio 0.3186, byte miss ratio 0.3186
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.7000 cache size      368, 21784722 req, miss ratio 0.2225, byte miss ratio 0.2225
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.7000 cache size     1229, 21784722 req, miss ratio 0.1266, byte miss ratio 0.1266
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.7000 cache size     3688, 21784722 req, miss ratio 0.0727, byte miss ratio 0.0727
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.7000 cache size    12295, 21784722 req, miss ratio 0.0355, byte miss ratio 0.0355
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.7000 cache size    24591, 21784722 req, miss ratio 0.0213, byte miss ratio 0.0213
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.7000 cache size    49182, 21784722 req, miss ratio 0.0114, byte miss ratio 0.0114
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.7000 cache size    98364, 21784722 req, miss ratio 0.0063, byte miss ratio 0.0063
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.6000 cache size      122, 21784722 req, miss ratio 0.3216, byte miss ratio 0.3216
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.6000 cache size      368, 21784722 req, miss ratio 0.2252, byte miss ratio 0.2252
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.6000 cache size     1229, 21784722 req, miss ratio 0.1283, byte miss ratio 0.1283
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.6000 cache size     3688, 21784722 req, miss ratio 0.0738, byte miss ratio 0.0738
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.6000 cache size    12295, 21784722 req, miss ratio 0.0361, byte miss ratio 0.0361
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.6000 cache size    24591, 21784722 req, miss ratio 0.0217, byte miss ratio 0.0217
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.6000 cache size    49182, 21784722 req, miss ratio 0.0116, byte miss ratio 0.0116
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.6000 cache size    98364, 21784722 req, miss ratio 0.0063, byte miss ratio 0.0063
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.5000 cache size      122, 21784722 req, miss ratio 0.3153, byte miss ratio 0.3153
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.5000 cache size      368, 21784722 req, miss ratio 0.2203, byte miss ratio 0.2203
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.5000 cache size     1229, 21784722 req, miss ratio 0.1259, byte miss ratio 0.1259
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.5000 cache size     3688, 21784722 req, miss ratio 0.0727, byte miss ratio 0.0727
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.5000 cache size    12295, 21784722 req, miss ratio 0.0355, byte miss ratio 0.0355
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.5000 cache size    24591, 21784722 req, miss ratio 0.0213, byte miss ratio 0.0213
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.5000 cache size    49182, 21784722 req, miss ratio 0.0114, byte miss ratio 0.0114
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.5000 cache size    98364, 21784722 req, miss ratio 0.0063, byte miss ratio 0.0063
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size      122, 21784722 req, miss ratio 0.3166, byte miss ratio 0.3166
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size      368, 21784722 req, miss ratio 0.2215, byte miss ratio 0.2215
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size     1229, 21784722 req, miss ratio 0.1263, byte miss ratio 0.1263
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size     3688, 21784722 req, miss ratio 0.0727, byte miss ratio 0.0727
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size    12295, 21784722 req, miss ratio 0.0355, byte miss ratio 0.0355
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size    24591, 21784722 req, miss ratio 0.0213, byte miss ratio 0.0213
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size    49182, 21784722 req, miss ratio 0.0114, byte miss ratio 0.0114
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size    98364, 21784722 req, miss ratio 0.0063, byte miss ratio 0.0063
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.2000 cache size      122, 21784722 req, miss ratio 0.3724, byte miss ratio 0.3724
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.2000 cache size      368, 21784722 req, miss ratio 0.2093, byte miss ratio 0.2093
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.2000 cache size     1229, 21784722 req, miss ratio 0.1179, byte miss ratio 0.1179
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.2000 cache size     3688, 21784722 req, miss ratio 0.0668, byte miss ratio 0.0668
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.2000 cache size    12295, 21784722 req, miss ratio 0.0321, byte miss ratio 0.0321
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.2000 cache size    24591, 21784722 req, miss ratio 0.0191, byte miss ratio 0.0191
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.2000 cache size    49182, 21784722 req, miss ratio 0.0102, byte miss ratio 0.0102
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.2000 cache size    98364, 21784722 req, miss ratio 0.0063, byte miss ratio 0.0063
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size      122, 21784722 req, miss ratio 0.3148, byte miss ratio 0.3148
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size      368, 21784722 req, miss ratio 0.2049, byte miss ratio 0.2049
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size     1229, 21784722 req, miss ratio 0.1183, byte miss ratio 0.1183
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size     3688, 21784722 req, miss ratio 0.0669, byte miss ratio 0.0669
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    12295, 21784722 req, miss ratio 0.0321, byte miss ratio 0.0321
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    24591, 21784722 req, miss ratio 0.0192, byte miss ratio 0.0192
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    49182, 21784722 req, miss ratio 0.0102, byte miss ratio 0.0102
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    98364, 21784722 req, miss ratio 0.0063, byte miss ratio 0.0063
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.1000 cache size      122, 21784722 req, miss ratio 0.3204, byte miss ratio 0.3204
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.1000 cache size      368, 21784722 req, miss ratio 0.2247, byte miss ratio 0.2247
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.1000 cache size     1229, 21784722 req, miss ratio 0.1281, byte miss ratio 0.1281
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.1000 cache size     3688, 21784722 req, miss ratio 0.0738, byte miss ratio 0.0738
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.1000 cache size    12295, 21784722 req, miss ratio 0.0361, byte miss ratio 0.0361
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.1000 cache size    24591, 21784722 req, miss ratio 0.0217, byte miss ratio 0.0217
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.1000 cache size    49182, 21784722 req, miss ratio 0.0116, byte miss ratio 0.0116
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.1000 cache size    98364, 21784722 req, miss ratio 0.0063, byte miss ratio 0.0063
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.4000 cache size      122, 21784722 req, miss ratio 1.0000, byte miss ratio 1.0000
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.4000 cache size      368, 21784722 req, miss ratio 0.2542, byte miss ratio 0.2542
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.4000 cache size     1229, 21784722 req, miss ratio 0.1169, byte miss ratio 0.1169
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.4000 cache size     3688, 21784722 req, miss ratio 0.0668, byte miss ratio 0.0668
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.4000 cache size    12295, 21784722 req, miss ratio 0.0321, byte miss ratio 0.0321
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.4000 cache size    24591, 21784722 req, miss ratio 0.0191, byte miss ratio 0.0191
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.4000 cache size    49182, 21784722 req, miss ratio 0.0102, byte miss ratio 0.0102
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.4000 cache size    98364, 21784722 req, miss ratio 0.0063, byte miss ratio 0.0063
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.5000 cache size      122, 21784722 req, miss ratio 0.3715, byte miss ratio 0.3715
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.5000 cache size      368, 21784722 req, miss ratio 0.2096, byte miss ratio 0.2096
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.5000 cache size     1229, 21784722 req, miss ratio 0.1181, byte miss ratio 0.1181
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.5000 cache size     3688, 21784722 req, miss ratio 0.0668, byte miss ratio 0.0668
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.5000 cache size    12295, 21784722 req, miss ratio 0.0321, byte miss ratio 0.0321
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.5000 cache size    24591, 21784722 req, miss ratio 0.0191, byte miss ratio 0.0191
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.5000 cache size    49182, 21784722 req, miss ratio 0.0102, byte miss ratio 0.0102
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.5000 cache size    98364, 21784722 req, miss ratio 0.0063, byte miss ratio 0.0063
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-2.0000 cache size      122, 21784722 req, miss ratio 0.3461, byte miss ratio 0.3461
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-2.0000 cache size      368, 21784722 req, miss ratio 0.2456, byte miss ratio 0.2456
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-2.0000 cache size     1229, 21784722 req, miss ratio 0.1435, byte miss ratio 0.1435
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-2.0000 cache size     3688, 21784722 req, miss ratio 0.0834, byte miss ratio 0.0834
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-2.0000 cache size    12295, 21784722 req, miss ratio 0.0414, byte miss ratio 0.0414
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-2.0000 cache size    24591, 21784722 req, miss ratio 0.0251, byte miss ratio 0.0251
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-2.0000 cache size    49182, 21784722 req, miss ratio 0.0133, byte miss ratio 0.0133
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-2.0000 cache size    98364, 21784722 req, miss ratio 0.0067, byte miss ratio 0.0067
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.4000 cache size      122, 21784722 req, miss ratio 0.3577, byte miss ratio 0.3577
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.4000 cache size      368, 21784722 req, miss ratio 0.2552, byte miss ratio 0.2552
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.4000 cache size     1229, 21784722 req, miss ratio 0.1513, byte miss ratio 0.1513
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.4000 cache size     3688, 21784722 req, miss ratio 0.0892, byte miss ratio 0.0892
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.4000 cache size    12295, 21784722 req, miss ratio 0.0446, byte miss ratio 0.0446
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.4000 cache size    24591, 21784722 req, miss ratio 0.0271, byte miss ratio 0.0271
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.4000 cache size    49182, 21784722 req, miss ratio 0.0144, byte miss ratio 0.0144
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.4000 cache size    98364, 21784722 req, miss ratio 0.0071, byte miss ratio 0.0071
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size      122, 21784722 req, miss ratio 0.3570, byte miss ratio 0.3570
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size      368, 21784722 req, miss ratio 0.2545, byte miss ratio 0.2545
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size     1229, 21784722 req, miss ratio 0.1511, byte miss ratio 0.1511
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size     3688, 21784722 req, miss ratio 0.0892, byte miss ratio 0.0892
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    12295, 21784722 req, miss ratio 0.0446, byte miss ratio 0.0446
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    24591, 21784722 req, miss ratio 0.0271, byte miss ratio 0.0271
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    49182, 21784722 req, miss ratio 0.0144, byte miss ratio 0.0144
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    98364, 21784722 req, miss ratio 0.0071, byte miss ratio 0.0071
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.6000 cache size      122, 21784722 req, miss ratio 0.3453, byte miss ratio 0.3453
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.6000 cache size      368, 21784722 req, miss ratio 0.2463, byte miss ratio 0.2463
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.6000 cache size     1229, 21784722 req, miss ratio 0.1439, byte miss ratio 0.1439
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.6000 cache size     3688, 21784722 req, miss ratio 0.0834, byte miss ratio 0.0834
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.6000 cache size    12295, 21784722 req, miss ratio 0.0414, byte miss ratio 0.0414
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.6000 cache size    24591, 21784722 req, miss ratio 0.0251, byte miss ratio 0.0251
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.6000 cache size    49182, 21784722 req, miss ratio 0.0133, byte miss ratio 0.0133
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.6000 cache size    98364, 21784722 req, miss ratio 0.0067, byte miss ratio 0.0067
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.7000 cache size      122, 21784722 req, miss ratio 0.3302, byte miss ratio 0.3302
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.7000 cache size      368, 21784722 req, miss ratio 0.2331, byte miss ratio 0.2331
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.7000 cache size     1229, 21784722 req, miss ratio 0.1339, byte miss ratio 0.1339
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.7000 cache size     3688, 21784722 req, miss ratio 0.0775, byte miss ratio 0.0775
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.7000 cache size    12295, 21784722 req, miss ratio 0.0381, byte miss ratio 0.0381
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.7000 cache size    24591, 21784722 req, miss ratio 0.0229, byte miss ratio 0.0229
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.7000 cache size    49182, 21784722 req, miss ratio 0.0122, byte miss ratio 0.0122
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.7000 cache size    98364, 21784722 req, miss ratio 0.0063, byte miss ratio 0.0063
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-0.7000 cache size      122, 21784722 req, miss ratio 0.3129, byte miss ratio 0.3129
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-0.7000 cache size      368, 21784722 req, miss ratio 0.2180, byte miss ratio 0.2180
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-0.7000 cache size     1229, 21784722 req, miss ratio 0.1246, byte miss ratio 0.1246
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-0.7000 cache size     3688, 21784722 req, miss ratio 0.0717, byte miss ratio 0.0717
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-0.7000 cache size    12295, 21784722 req, miss ratio 0.0349, byte miss ratio 0.0349
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-0.7000 cache size    24591, 21784722 req, miss ratio 0.0210, byte miss ratio 0.0210
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-0.7000 cache size    49182, 21784722 req, miss ratio 0.0112, byte miss ratio 0.0112
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-0.7000 cache size    98364, 21784722 req, miss ratio 0.0063, byte miss ratio 0.0063
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.5000 cache size      122, 21784722 req, miss ratio 0.3214, byte miss ratio 0.3214
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.5000 cache size      368, 21784722 req, miss ratio 0.2251, byte miss ratio 0.2251
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.5000 cache size     1229, 21784722 req, miss ratio 0.1283, byte miss ratio 0.1283
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.5000 cache size     3688, 21784722 req, miss ratio 0.0738, byte miss ratio 0.0738
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.5000 cache size    12295, 21784722 req, miss ratio 0.0361, byte miss ratio 0.0361
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.5000 cache size    24591, 21784722 req, miss ratio 0.0217, byte miss ratio 0.0217
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.5000 cache size    49182, 21784722 req, miss ratio 0.0116, byte miss ratio 0.0116
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.5000 cache size    98364, 21784722 req, miss ratio 0.0063, byte miss ratio 0.0063
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.5000 cache size      122, 21784722 req, miss ratio 0.3287, byte miss ratio 0.3287
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.5000 cache size      368, 21784722 req, miss ratio 0.2309, byte miss ratio 0.2309
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.5000 cache size     1229, 21784722 req, miss ratio 0.1319, byte miss ratio 0.1319
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.5000 cache size     3688, 21784722 req, miss ratio 0.0762, byte miss ratio 0.0762
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.5000 cache size    12295, 21784722 req, miss ratio 0.0374, byte miss ratio 0.0374
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.5000 cache size    24591, 21784722 req, miss ratio 0.0225, byte miss ratio 0.0225
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.5000 cache size    49182, 21784722 req, miss ratio 0.0120, byte miss ratio 0.0120
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.5000 cache size    98364, 21784722 req, miss ratio 0.0063, byte miss ratio 0.0063
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size      122, 21784722 req, miss ratio 0.3293, byte miss ratio 0.3293
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size      368, 21784722 req, miss ratio 0.2311, byte miss ratio 0.2311
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size     1229, 21784722 req, miss ratio 0.1320, byte miss ratio 0.1320
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size     3688, 21784722 req, miss ratio 0.0762, byte miss ratio 0.0762
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size    12295, 21784722 req, miss ratio 0.0374, byte miss ratio 0.0374
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size    24591, 21784722 req, miss ratio 0.0225, byte miss ratio 0.0225
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size    49182, 21784722 req, miss ratio 0.0120, byte miss ratio 0.0120
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size    98364, 21784722 req, miss ratio 0.0063, byte miss ratio 0.0063
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.1000 cache size      122, 21784722 req, miss ratio 0.3497, byte miss ratio 0.3497
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.1000 cache size      368, 21784722 req, miss ratio 0.2521, byte miss ratio 0.2521
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.1000 cache size     1229, 21784722 req, miss ratio 0.1490, byte miss ratio 0.1490
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.1000 cache size     3688, 21784722 req, miss ratio 0.0872, byte miss ratio 0.0872
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.1000 cache size    12295, 21784722 req, miss ratio 0.0435, byte miss ratio 0.0435
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.1000 cache size    24591, 21784722 req, miss ratio 0.0264, byte miss ratio 0.0264
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.1000 cache size    49182, 21784722 req, miss ratio 0.0140, byte miss ratio 0.0140
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.1000 cache size    98364, 21784722 req, miss ratio 0.0070, byte miss ratio 0.0070
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size      122, 21784722 req, miss ratio 0.3047, byte miss ratio 0.3047
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size      368, 21784722 req, miss ratio 0.2100, byte miss ratio 0.2100
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size     1229, 21784722 req, miss ratio 0.1205, byte miss ratio 0.1205
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size     3688, 21784722 req, miss ratio 0.0681, byte miss ratio 0.0681
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size    12295, 21784722 req, miss ratio 0.0330, byte miss ratio 0.0330
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size    24591, 21784722 req, miss ratio 0.0198, byte miss ratio 0.0198
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size    49182, 21784722 req, miss ratio 0.0105, byte miss ratio 0.0105
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size    98364, 21784722 req, miss ratio 0.0063, byte miss ratio 0.0063
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.2000 cache size      122, 21784722 req, miss ratio 0.3208, byte miss ratio 0.3208
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.2000 cache size      368, 21784722 req, miss ratio 0.2247, byte miss ratio 0.2247
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.2000 cache size     1229, 21784722 req, miss ratio 0.1289, byte miss ratio 0.1289
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.2000 cache size     3688, 21784722 req, miss ratio 0.0749, byte miss ratio 0.0749
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.2000 cache size    12295, 21784722 req, miss ratio 0.0367, byte miss ratio 0.0367
tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.2000 cache size    24591, 21784722 req, miss ratio 0.0221, byte miss ratio 0.0221
