src1_1.IQI.bin S3FIFO-0.0010-0.9000 cache size     6170, 45746222 req, miss ratio 0.9889, byte miss ratio 0.9889
src1_1.IQI.bin S3FIFO-0.0010-0.9000 cache size    18511, 45746222 req, miss ratio 0.9764, byte miss ratio 0.9764
src1_1.IQI.bin S3FIFO-0.0010-0.9000 cache size    61705, 45746222 req, miss ratio 0.9607, byte miss ratio 0.9607
src1_1.IQI.bin S3FIFO-0.0010-0.9000 cache size   185117, 45746222 req, miss ratio 0.9362, byte miss ratio 0.9362
src1_1.IQI.bin S3FIFO-0.0010-0.9000 cache size   617059, 45746222 req, miss ratio 0.8749, byte miss ratio 0.8749
src1_1.IQI.bin S3FIFO-0.0010-0.9000 cache size  1234118, 45746222 req, miss ratio 0.6595, byte miss ratio 0.6595
src1_1.IQI.bin S3FIFO-0.0010-0.9000 cache size  2468236, 45746222 req, miss ratio 0.5929, byte miss ratio 0.5929
src1_1.IQI.bin S3FIFO-0.0010-0.9000 cache size  4936472, 45746222 req, miss ratio 0.2426, byte miss ratio 0.2426
src1_1.IQI.bin S3FIFO-0.6000-1.9000 cache size     6170, 45746222 req, miss ratio 0.9729, byte miss ratio 0.9729
src1_1.IQI.bin S3FIFO-0.6000-1.9000 cache size    18511, 45746222 req, miss ratio 0.9563, byte miss ratio 0.9563
src1_1.IQI.bin S3FIFO-0.6000-1.9000 cache size    61705, 45746222 req, miss ratio 0.9229, byte miss ratio 0.9229
src1_1.IQI.bin S3FIFO-0.6000-1.9000 cache size   185117, 45746222 req, miss ratio 0.8884, byte miss ratio 0.8884
src1_1.IQI.bin S3FIFO-0.6000-1.9000 cache size   617059, 45746222 req, miss ratio 0.8255, byte miss ratio 0.8255
src1_1.IQI.bin S3FIFO-0.6000-1.9000 cache size  1234118, 45746222 req, miss ratio 0.7731, byte miss ratio 0.7731
src1_1.IQI.bin S3FIFO-0.6000-1.9000 cache size  2468236, 45746222 req, miss ratio 0.7134, byte miss ratio 0.7134
src1_1.IQI.bin S3FIFO-0.6000-1.9000 cache size  4936472, 45746222 req, miss ratio 0.3431, byte miss ratio 0.3431
src1_1.IQI.bin S3FIFO-0.2500-1.9000 cache size     6170, 45746222 req, miss ratio 0.9775, byte miss ratio 0.9775
src1_1.IQI.bin S3FIFO-0.2500-1.9000 cache size    18511, 45746222 req, miss ratio 0.9630, byte miss ratio 0.9630
src1_1.IQI.bin S3FIFO-0.2500-1.9000 cache size    61705, 45746222 req, miss ratio 0.9295, byte miss ratio 0.9295
src1_1.IQI.bin S3FIFO-0.2500-1.9000 cache size   185117, 45746222 req, miss ratio 0.9004, byte miss ratio 0.9004
src1_1.IQI.bin S3FIFO-0.2500-1.9000 cache size   617059, 45746222 req, miss ratio 0.8485, byte miss ratio 0.8485
src1_1.IQI.bin S3FIFO-0.2500-1.9000 cache size  1234118, 45746222 req, miss ratio 0.7084, byte miss ratio 0.7084
src1_1.IQI.bin S3FIFO-0.2500-1.9000 cache size  2468236, 45746222 req, miss ratio 0.6688, byte miss ratio 0.6688
src1_1.IQI.bin S3FIFO-0.2500-1.9000 cache size  4936472, 45746222 req, miss ratio 0.3208, byte miss ratio 0.3208
src1_1.IQI.bin S3FIFO-0.1500-1.9000 cache size     6170, 45746222 req, miss ratio 0.9794, byte miss ratio 0.9794
src1_1.IQI.bin S3FIFO-0.1500-1.9000 cache size    18511, 45746222 req, miss ratio 0.9653, byte miss ratio 0.9653
src1_1.IQI.bin S3FIFO-0.1500-1.9000 cache size    61705, 45746222 req, miss ratio 0.9361, byte miss ratio 0.9361
src1_1.IQI.bin S3FIFO-0.1500-1.9000 cache size   185117, 45746222 req, miss ratio 0.9055, byte miss ratio 0.9055
src1_1.IQI.bin S3FIFO-0.1500-1.9000 cache size   617059, 45746222 req, miss ratio 0.8425, byte miss ratio 0.8425
src1_1.IQI.bin S3FIFO-0.1500-1.9000 cache size  1234118, 45746222 req, miss ratio 0.6732, byte miss ratio 0.6732
src1_1.IQI.bin S3FIFO-0.1500-1.9000 cache size  2468236, 45746222 req, miss ratio 0.6506, byte miss ratio 0.6506
src1_1.IQI.bin S3FIFO-0.1500-1.9000 cache size  4936472, 45746222 req, miss ratio 0.2940, byte miss ratio 0.2940
src1_1.IQI.bin S3FIFO-0.7500-1.9000 cache size     6170, 45746222 req, miss ratio 0.9715, byte miss ratio 0.9715
src1_1.IQI.bin S3FIFO-0.7500-1.9000 cache size    18511, 45746222 req, miss ratio 0.9538, byte miss ratio 0.9538
src1_1.IQI.bin S3FIFO-0.7500-1.9000 cache size    61705, 45746222 req, miss ratio 0.9221, byte miss ratio 0.9221
src1_1.IQI.bin S3FIFO-0.7500-1.9000 cache size   185117, 45746222 req, miss ratio 0.8858, byte miss ratio 0.8858
src1_1.IQI.bin S3FIFO-0.7500-1.9000 cache size   617059, 45746222 req, miss ratio 0.8143, byte miss ratio 0.8143
src1_1.IQI.bin S3FIFO-0.7500-1.9000 cache size  1234118, 45746222 req, miss ratio 0.7772, byte miss ratio 0.7772
src1_1.IQI.bin S3FIFO-0.7500-1.9000 cache size  2468236, 45746222 req, miss ratio 0.6707, byte miss ratio 0.6707
src1_1.IQI.bin S3FIFO-0.7500-1.9000 cache size  4936472, 45746222 req, miss ratio 0.3533, byte miss ratio 0.3533
src1_1.IQI.bin S3FIFO-0.7500-0.9000 cache size     6170, 45746222 req, miss ratio 0.9720, byte miss ratio 0.9720
src1_1.IQI.bin S3FIFO-0.7500-0.9000 cache size    18511, 45746222 req, miss ratio 0.9544, byte miss ratio 0.9544
src1_1.IQI.bin S3FIFO-0.7500-0.9000 cache size    61705, 45746222 req, miss ratio 0.9233, byte miss ratio 0.9233
src1_1.IQI.bin S3FIFO-0.7500-0.9000 cache size   185117, 45746222 req, miss ratio 0.8897, byte miss ratio 0.8897
src1_1.IQI.bin S3FIFO-0.7500-0.9000 cache size   617059, 45746222 req, miss ratio 0.8142, byte miss ratio 0.8142
src1_1.IQI.bin S3FIFO-0.7500-0.9000 cache size  1234118, 45746222 req, miss ratio 0.7775, byte miss ratio 0.7775
src1_1.IQI.bin S3FIFO-0.7500-0.9000 cache size  2468236, 45746222 req, miss ratio 0.7100, byte miss ratio 0.7100
src1_1.IQI.bin S3FIFO-0.7500-0.9000 cache size  4936472, 45746222 req, miss ratio 0.3533, byte miss ratio 0.3533
src1_1.IQI.bin S3FIFO-0.5000-0.9000 cache size     6170, 45746222 req, miss ratio 0.9744, byte miss ratio 0.9744
src1_1.IQI.bin S3FIFO-0.5000-0.9000 cache size    18511, 45746222 req, miss ratio 0.9581, byte miss ratio 0.9581
src1_1.IQI.bin S3FIFO-0.5000-0.9000 cache size    61705, 45746222 req, miss ratio 0.9247, byte miss ratio 0.9247
src1_1.IQI.bin S3FIFO-0.5000-0.9000 cache size   185117, 45746222 req, miss ratio 0.8948, byte miss ratio 0.8948
src1_1.IQI.bin S3FIFO-0.5000-0.9000 cache size   617059, 45746222 req, miss ratio 0.8376, byte miss ratio 0.8376
src1_1.IQI.bin S3FIFO-0.5000-0.9000 cache size  1234118, 45746222 req, miss ratio 0.7734, byte miss ratio 0.7734
src1_1.IQI.bin S3FIFO-0.5000-0.9000 cache size  2468236, 45746222 req, miss ratio 0.6620, byte miss ratio 0.6620
