tencentBlock.ns2079 S3FIFO-0.0050-0.9000 cache size    10055, 85128825 req, miss ratio 0.5383, byte miss ratio 0.5383
tencentBlock.ns2079 S3FIFO-0.0050-0.9000 cache size    30165, 85128825 req, miss ratio 0.3870, byte miss ratio 0.3870
tencentBlock.ns2079 S3FIFO-0.0050-0.9000 cache size   100550, 85128825 req, miss ratio 0.1991, byte miss ratio 0.1991
tencentBlock.ns2079 S3FIFO-0.0050-0.9000 cache size   301650, 85128825 req, miss ratio 0.1812, byte miss ratio 0.1812
tencentBlock.ns2079 S3FIFO-0.0050-0.9000 cache size  1005502, 85128825 req, miss ratio 0.1610, byte miss ratio 0.1610
tencentBlock.ns2079 S3FIFO-0.0050-0.9000 cache size  2011004, 85128825 req, miss ratio 0.1441, byte miss ratio 0.1441
tencentBlock.ns2079 S3FIFO-0.0050-0.9000 cache size  4022008, 85128825 req, miss ratio 0.1287, byte miss ratio 0.1287
tencentBlock.ns2079 S3FIFO-0.0050-0.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.3500-1.9000 cache size    10055, 85128825 req, miss ratio 0.5954, byte miss ratio 0.5954
tencentBlock.ns2079 S3FIFO-0.3500-1.9000 cache size    30165, 85128825 req, miss ratio 0.4199, byte miss ratio 0.4199
tencentBlock.ns2079 S3FIFO-0.3500-1.9000 cache size   100550, 85128825 req, miss ratio 0.1998, byte miss ratio 0.1998
tencentBlock.ns2079 S3FIFO-0.3500-1.9000 cache size   301650, 85128825 req, miss ratio 0.1707, byte miss ratio 0.1707
tencentBlock.ns2079 S3FIFO-0.3500-1.9000 cache size  1005502, 85128825 req, miss ratio 0.1513, byte miss ratio 0.1513
tencentBlock.ns2079 S3FIFO-0.3500-1.9000 cache size  2011004, 85128825 req, miss ratio 0.1353, byte miss ratio 0.1353
tencentBlock.ns2079 S3FIFO-0.3500-1.9000 cache size  4022008, 85128825 req, miss ratio 0.1235, byte miss ratio 0.1235
tencentBlock.ns2079 S3FIFO-0.3500-1.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.0250-0.9000 cache size    10055, 85128825 req, miss ratio 0.5402, byte miss ratio 0.5402
tencentBlock.ns2079 S3FIFO-0.0250-0.9000 cache size    30165, 85128825 req, miss ratio 0.3876, byte miss ratio 0.3876
tencentBlock.ns2079 S3FIFO-0.0250-0.9000 cache size   100550, 85128825 req, miss ratio 0.1961, byte miss ratio 0.1961
tencentBlock.ns2079 S3FIFO-0.0250-0.9000 cache size   301650, 85128825 req, miss ratio 0.1768, byte miss ratio 0.1768
tencentBlock.ns2079 S3FIFO-0.0250-0.9000 cache size  1005502, 85128825 req, miss ratio 0.1574, byte miss ratio 0.1574
tencentBlock.ns2079 S3FIFO-0.0250-0.9000 cache size  2011004, 85128825 req, miss ratio 0.1421, byte miss ratio 0.1421
tencentBlock.ns2079 S3FIFO-0.0250-0.9000 cache size  4022008, 85128825 req, miss ratio 0.1283, byte miss ratio 0.1283
tencentBlock.ns2079 S3FIFO-0.0250-0.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.7000-0.9000 cache size    10055, 85128825 req, miss ratio 0.6167, byte miss ratio 0.6167
tencentBlock.ns2079 S3FIFO-0.7000-0.9000 cache size    30165, 85128825 req, miss ratio 0.4582, byte miss ratio 0.4582
tencentBlock.ns2079 S3FIFO-0.7000-0.9000 cache size   100550, 85128825 req, miss ratio 0.2538, byte miss ratio 0.2538
tencentBlock.ns2079 S3FIFO-0.7000-0.9000 cache size   301650, 85128825 req, miss ratio 0.1738, byte miss ratio 0.1738
tencentBlock.ns2079 S3FIFO-0.7000-0.9000 cache size  1005502, 85128825 req, miss ratio 0.1501, byte miss ratio 0.1501
tencentBlock.ns2079 S3FIFO-0.7000-0.9000 cache size  2011004, 85128825 req, miss ratio 0.1336, byte miss ratio 0.1336
tencentBlock.ns2079 S3FIFO-0.7000-0.9000 cache size  4022008, 85128825 req, miss ratio 0.1202, byte miss ratio 0.1202
tencentBlock.ns2079 S3FIFO-0.7000-0.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.1000-0.9000 cache size    10055, 85128825 req, miss ratio 0.5514, byte miss ratio 0.5514
tencentBlock.ns2079 S3FIFO-0.1000-0.9000 cache size    30165, 85128825 req, miss ratio 0.3956, byte miss ratio 0.3956
tencentBlock.ns2079 S3FIFO-0.1000-0.9000 cache size   100550, 85128825 req, miss ratio 0.1921, byte miss ratio 0.1921
tencentBlock.ns2079 S3FIFO-0.1000-0.9000 cache size   301650, 85128825 req, miss ratio 0.1730, byte miss ratio 0.1730
tencentBlock.ns2079 S3FIFO-0.1000-0.9000 cache size  1005502, 85128825 req, miss ratio 0.1544, byte miss ratio 0.1544
tencentBlock.ns2079 S3FIFO-0.1000-0.9000 cache size  2011004, 85128825 req, miss ratio 0.1399, byte miss ratio 0.1399
tencentBlock.ns2079 S3FIFO-0.1000-0.9000 cache size  4022008, 85128825 req, miss ratio 0.1265, byte miss ratio 0.1265
tencentBlock.ns2079 S3FIFO-0.1000-0.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.0050-1.9000 cache size    10055, 85128825 req, miss ratio 0.5510, byte miss ratio 0.5510
tencentBlock.ns2079 S3FIFO-0.0050-1.9000 cache size    30165, 85128825 req, miss ratio 0.3889, byte miss ratio 0.3889
tencentBlock.ns2079 S3FIFO-0.0050-1.9000 cache size   100550, 85128825 req, miss ratio 0.1985, byte miss ratio 0.1985
tencentBlock.ns2079 S3FIFO-0.0050-1.9000 cache size   301650, 85128825 req, miss ratio 0.1805, byte miss ratio 0.1805
tencentBlock.ns2079 S3FIFO-0.0050-1.9000 cache size  1005502, 85128825 req, miss ratio 0.1592, byte miss ratio 0.1592
tencentBlock.ns2079 S3FIFO-0.0050-1.9000 cache size  2011004, 85128825 req, miss ratio 0.1438, byte miss ratio 0.1438
tencentBlock.ns2079 S3FIFO-0.0050-1.9000 cache size  4022008, 85128825 req, miss ratio 0.1287, byte miss ratio 0.1287
tencentBlock.ns2079 S3FIFO-0.0050-1.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.3500-0.9000 cache size    10055, 85128825 req, miss ratio 0.5890, byte miss ratio 0.5890
tencentBlock.ns2079 S3FIFO-0.3500-0.9000 cache size    30165, 85128825 req, miss ratio 0.4158, byte miss ratio 0.4158
tencentBlock.ns2079 S3FIFO-0.3500-0.9000 cache size   100550, 85128825 req, miss ratio 0.1991, byte miss ratio 0.1991
tencentBlock.ns2079 S3FIFO-0.3500-0.9000 cache size   301650, 85128825 req, miss ratio 0.1707, byte miss ratio 0.1707
tencentBlock.ns2079 S3FIFO-0.3500-0.9000 cache size  1005502, 85128825 req, miss ratio 0.1515, byte miss ratio 0.1515
tencentBlock.ns2079 S3FIFO-0.3500-0.9000 cache size  2011004, 85128825 req, miss ratio 0.1354, byte miss ratio 0.1354
tencentBlock.ns2079 S3FIFO-0.3500-0.9000 cache size  4022008, 85128825 req, miss ratio 0.1235, byte miss ratio 0.1235
tencentBlock.ns2079 S3FIFO-0.3500-0.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.6500-0.9000 cache size    10055, 85128825 req, miss ratio 0.6134, byte miss ratio 0.6134
tencentBlock.ns2079 S3FIFO-0.6500-0.9000 cache size    30165, 85128825 req, miss ratio 0.4525, byte miss ratio 0.4525
tencentBlock.ns2079 S3FIFO-0.6500-0.9000 cache size   100550, 85128825 req, miss ratio 0.2458, byte miss ratio 0.2458
tencentBlock.ns2079 S3FIFO-0.6500-0.9000 cache size   301650, 85128825 req, miss ratio 0.1727, byte miss ratio 0.1727
tencentBlock.ns2079 S3FIFO-0.6500-0.9000 cache size  1005502, 85128825 req, miss ratio 0.1503, byte miss ratio 0.1503
tencentBlock.ns2079 S3FIFO-0.6500-0.9000 cache size  2011004, 85128825 req, miss ratio 0.1335, byte miss ratio 0.1335
tencentBlock.ns2079 S3FIFO-0.6500-0.9000 cache size  4022008, 85128825 req, miss ratio 0.1203, byte miss ratio 0.1203
tencentBlock.ns2079 S3FIFO-0.6500-0.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.6500-1.9000 cache size    10055, 85128825 req, miss ratio 0.6179, byte miss ratio 0.6179
