tencentBlock.ns21914 S3FIFO-0.0100-1.9000 cache size       38, 1247611 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns21914 S3FIFO-0.0100-1.9000 cache size      116, 1247611 req, miss ratio 0.2061, byte miss ratio 0.2061
tencentBlock.ns21914 S3FIFO-0.0100-1.9000 cache size      387, 1247611 req, miss ratio 0.1707, byte miss ratio 0.1707
tencentBlock.ns21914 S3FIFO-0.0100-1.9000 cache size     1162, 1247611 req, miss ratio 0.1324, byte miss ratio 0.1324
tencentBlock.ns21914 S3FIFO-0.0100-1.9000 cache size     3875, 1247611 req, miss ratio 0.1211, byte miss ratio 0.1211
tencentBlock.ns21914 S3FIFO-0.0100-1.9000 cache size     7750, 1247611 req, miss ratio 0.1007, byte miss ratio 0.1007
tencentBlock.ns21914 S3FIFO-0.0100-1.9000 cache size    15501, 1247611 req, miss ratio 0.0654, byte miss ratio 0.0654
tencentBlock.ns21914 S3FIFO-0.0100-1.9000 cache size    31003, 1247611 req, miss ratio 0.0318, byte miss ratio 0.0318
tencentBlock.ns21914 S3FIFO-0.2500-1.9000 cache size       38, 1247611 req, miss ratio 0.3507, byte miss ratio 0.3507
tencentBlock.ns21914 S3FIFO-0.2500-1.9000 cache size      116, 1247611 req, miss ratio 0.1724, byte miss ratio 0.1724
tencentBlock.ns21914 S3FIFO-0.2500-1.9000 cache size      387, 1247611 req, miss ratio 0.1501, byte miss ratio 0.1501
tencentBlock.ns21914 S3FIFO-0.2500-1.9000 cache size     1162, 1247611 req, miss ratio 0.1333, byte miss ratio 0.1333
tencentBlock.ns21914 S3FIFO-0.2500-1.9000 cache size     3875, 1247611 req, miss ratio 0.1223, byte miss ratio 0.1223
tencentBlock.ns21914 S3FIFO-0.2500-1.9000 cache size     7750, 1247611 req, miss ratio 0.1027, byte miss ratio 0.1027
tencentBlock.ns21914 S3FIFO-0.2500-1.9000 cache size    15501, 1247611 req, miss ratio 0.0688, byte miss ratio 0.0688
tencentBlock.ns21914 S3FIFO-0.2500-1.9000 cache size    31003, 1247611 req, miss ratio 0.0317, byte miss ratio 0.0317
tencentBlock.ns21914 S3FIFO-0.7500-1.9000 cache size       38, 1247611 req, miss ratio 0.4056, byte miss ratio 0.4056
tencentBlock.ns21914 S3FIFO-0.7500-1.9000 cache size      116, 1247611 req, miss ratio 0.1921, byte miss ratio 0.1921
tencentBlock.ns21914 S3FIFO-0.7500-1.9000 cache size      387, 1247611 req, miss ratio 0.1636, byte miss ratio 0.1636
tencentBlock.ns21914 S3FIFO-0.7500-1.9000 cache size     1162, 1247611 req, miss ratio 0.1448, byte miss ratio 0.1448
tencentBlock.ns21914 S3FIFO-0.7500-1.9000 cache size     3875, 1247611 req, miss ratio 0.1291, byte miss ratio 0.1291
tencentBlock.ns21914 S3FIFO-0.7500-1.9000 cache size     7750, 1247611 req, miss ratio 0.1091, byte miss ratio 0.1091
tencentBlock.ns21914 S3FIFO-0.7500-1.9000 cache size    15501, 1247611 req, miss ratio 0.0752, byte miss ratio 0.0752
tencentBlock.ns21914 S3FIFO-0.7500-1.9000 cache size    31003, 1247611 req, miss ratio 0.0320, byte miss ratio 0.0320
tencentBlock.ns21914 S3FIFO-0.6500-1.9000 cache size       38, 1247611 req, miss ratio 0.3887, byte miss ratio 0.3887
tencentBlock.ns21914 S3FIFO-0.6500-1.9000 cache size      116, 1247611 req, miss ratio 0.1795, byte miss ratio 0.1795
tencentBlock.ns21914 S3FIFO-0.6500-1.9000 cache size      387, 1247611 req, miss ratio 0.1607, byte miss ratio 0.1607
tencentBlock.ns21914 S3FIFO-0.6500-1.9000 cache size     1162, 1247611 req, miss ratio 0.1423, byte miss ratio 0.1423
tencentBlock.ns21914 S3FIFO-0.6500-1.9000 cache size     3875, 1247611 req, miss ratio 0.1266, byte miss ratio 0.1266
tencentBlock.ns21914 S3FIFO-0.6500-1.9000 cache size     7750, 1247611 req, miss ratio 0.1091, byte miss ratio 0.1091
tencentBlock.ns21914 S3FIFO-0.6500-1.9000 cache size    15501, 1247611 req, miss ratio 0.0720, byte miss ratio 0.0720
tencentBlock.ns21914 S3FIFO-0.6500-1.9000 cache size    31003, 1247611 req, miss ratio 0.0320, byte miss ratio 0.0320
tencentBlock.ns21914 S3FIFO-0.8000-0.9000 cache size       38, 1247611 req, miss ratio 0.4160, byte miss ratio 0.4160
tencentBlock.ns21914 S3FIFO-0.8000-0.9000 cache size      116, 1247611 req, miss ratio 0.2000, byte miss ratio 0.2000
tencentBlock.ns21914 S3FIFO-0.8000-0.9000 cache size      387, 1247611 req, miss ratio 0.1644, byte miss ratio 0.1644
tencentBlock.ns21914 S3FIFO-0.8000-0.9000 cache size     1162, 1247611 req, miss ratio 0.1456, byte miss ratio 0.1456
tencentBlock.ns21914 S3FIFO-0.8000-0.9000 cache size     3875, 1247611 req, miss ratio 0.1298, byte miss ratio 0.1298
tencentBlock.ns21914 S3FIFO-0.8000-0.9000 cache size     7750, 1247611 req, miss ratio 0.1098, byte miss ratio 0.1098
