tencentBlock.ns3027 S3FIFO-0.2000-1.9000 cache size     2358, 50848776 req, miss ratio 0.7577, byte miss ratio 0.7577
tencentBlock.ns3027 S3FIFO-0.2000-1.9000 cache size     7076, 50848776 req, miss ratio 0.6410, byte miss ratio 0.6410
tencentBlock.ns3027 S3FIFO-0.2000-1.9000 cache size    23587, 50848776 req, miss ratio 0.5112, byte miss ratio 0.5112
tencentBlock.ns3027 S3FIFO-0.2000-1.9000 cache size    70762, 50848776 req, miss ratio 0.3896, byte miss ratio 0.3896
tencentBlock.ns3027 S3FIFO-0.2000-1.9000 cache size   235876, 50848776 req, miss ratio 0.1962, byte miss ratio 0.1962
tencentBlock.ns3027 S3FIFO-0.2000-1.9000 cache size   471752, 50848776 req, miss ratio 0.1083, byte miss ratio 0.1083
tencentBlock.ns3027 S3FIFO-0.2000-1.9000 cache size   943504, 50848776 req, miss ratio 0.0637, byte miss ratio 0.0637
tencentBlock.ns3027 S3FIFO-0.2000-1.9000 cache size  1887008, 50848776 req, miss ratio 0.0481, byte miss ratio 0.0481
tencentBlock.ns3027 S3FIFO-0.0050-1.9000 cache size     2358, 50848776 req, miss ratio 0.7620, byte miss ratio 0.7620
tencentBlock.ns3027 S3FIFO-0.0050-1.9000 cache size     7076, 50848776 req, miss ratio 0.6730, byte miss ratio 0.6730
tencentBlock.ns3027 S3FIFO-0.0050-1.9000 cache size    23587, 50848776 req, miss ratio 0.5562, byte miss ratio 0.5562
tencentBlock.ns3027 S3FIFO-0.0050-1.9000 cache size    70762, 50848776 req, miss ratio 0.4083, byte miss ratio 0.4083
tencentBlock.ns3027 S3FIFO-0.0050-1.9000 cache size   235876, 50848776 req, miss ratio 0.1979, byte miss ratio 0.1979
tencentBlock.ns3027 S3FIFO-0.0050-1.9000 cache size   471752, 50848776 req, miss ratio 0.1069, byte miss ratio 0.1069
tencentBlock.ns3027 S3FIFO-0.0050-1.9000 cache size   943504, 50848776 req, miss ratio 0.0640, byte miss ratio 0.0640
tencentBlock.ns3027 S3FIFO-0.0050-1.9000 cache size  1887008, 50848776 req, miss ratio 0.0485, byte miss ratio 0.0485
tencentBlock.ns3027 S3FIFO-0.4000-1.9000 cache size     2358, 50848776 req, miss ratio 0.7569, byte miss ratio 0.7569
tencentBlock.ns3027 S3FIFO-0.4000-1.9000 cache size     7076, 50848776 req, miss ratio 0.6343, byte miss ratio 0.6343
tencentBlock.ns3027 S3FIFO-0.4000-1.9000 cache size    23587, 50848776 req, miss ratio 0.5140, byte miss ratio 0.5140
tencentBlock.ns3027 S3FIFO-0.4000-1.9000 cache size    70762, 50848776 req, miss ratio 0.3980, byte miss ratio 0.3980
tencentBlock.ns3027 S3FIFO-0.4000-1.9000 cache size   235876, 50848776 req, miss ratio 0.2044, byte miss ratio 0.2044
tencentBlock.ns3027 S3FIFO-0.4000-1.9000 cache size   471752, 50848776 req, miss ratio 0.1157, byte miss ratio 0.1157
tencentBlock.ns3027 S3FIFO-0.4000-1.9000 cache size   943504, 50848776 req, miss ratio 0.0648, byte miss ratio 0.0648
tencentBlock.ns3027 S3FIFO-0.4000-1.9000 cache size  1887008, 50848776 req, miss ratio 0.0481, byte miss ratio 0.0481
tencentBlock.ns3027 S3FIFO-0.1500-1.9000 cache size     2358, 50848776 req, miss ratio 0.7584, byte miss ratio 0.7584
tencentBlock.ns3027 S3FIFO-0.1500-1.9000 cache size     7076, 50848776 req, miss ratio 0.6465, byte miss ratio 0.6465
tencentBlock.ns3027 S3FIFO-0.1500-1.9000 cache size    23587, 50848776 req, miss ratio 0.5132, byte miss ratio 0.5132
tencentBlock.ns3027 S3FIFO-0.1500-1.9000 cache size    70762, 50848776 req, miss ratio 0.3874, byte miss ratio 0.3874
tencentBlock.ns3027 S3FIFO-0.1500-1.9000 cache size   235876, 50848776 req, miss ratio 0.1948, byte miss ratio 0.1948
tencentBlock.ns3027 S3FIFO-0.1500-1.9000 cache size   471752, 50848776 req, miss ratio 0.1066, byte miss ratio 0.1066
tencentBlock.ns3027 S3FIFO-0.1500-1.9000 cache size   943504, 50848776 req, miss ratio 0.0634, byte miss ratio 0.0634
tencentBlock.ns3027 S3FIFO-0.1500-1.9000 cache size  1887008, 50848776 req, miss ratio 0.0482, byte miss ratio 0.0482
tencentBlock.ns3027 S3FIFO-0.4000-0.9000 cache size     2358, 50848776 req, miss ratio 0.7581, byte miss ratio 0.7581
tencentBlock.ns3027 S3FIFO-0.4000-0.9000 cache size     7076, 50848776 req, miss ratio 0.6343, byte miss ratio 0.6343
tencentBlock.ns3027 S3FIFO-0.4000-0.9000 cache size    23587, 50848776 req, miss ratio 0.5108, byte miss ratio 0.5108
tencentBlock.ns3027 S3FIFO-0.4000-0.9000 cache size    70762, 50848776 req, miss ratio 0.3957, byte miss ratio 0.3957
tencentBlock.ns3027 S3FIFO-0.4000-0.9000 cache size   235876, 50848776 req, miss ratio 0.2042, byte miss ratio 0.2042
tencentBlock.ns3027 S3FIFO-0.4000-0.9000 cache size   471752, 50848776 req, miss ratio 0.1157, byte miss ratio 0.1157
tencentBlock.ns3027 S3FIFO-0.4000-0.9000 cache size   943504, 50848776 req, miss ratio 0.0648, byte miss ratio 0.0648
tencentBlock.ns3027 S3FIFO-0.4000-0.9000 cache size  1887008, 50848776 req, miss ratio 0.0481, byte miss ratio 0.0481
tencentBlock.ns3027 S3FIFO-0.1500-0.9000 cache size     2358, 50848776 req, miss ratio 0.7639, byte miss ratio 0.7639
tencentBlock.ns3027 S3FIFO-0.1500-0.9000 cache size     7076, 50848776 req, miss ratio 0.6496, byte miss ratio 0.6496
tencentBlock.ns3027 S3FIFO-0.1500-0.9000 cache size    23587, 50848776 req, miss ratio 0.5123, byte miss ratio 0.5123
tencentBlock.ns3027 S3FIFO-0.1500-0.9000 cache size    70762, 50848776 req, miss ratio 0.3838, byte miss ratio 0.3838
tencentBlock.ns3027 S3FIFO-0.1500-0.9000 cache size   235876, 50848776 req, miss ratio 0.1944, byte miss ratio 0.1944
tencentBlock.ns3027 S3FIFO-0.1500-0.9000 cache size   471752, 50848776 req, miss ratio 0.1066, byte miss ratio 0.1066
tencentBlock.ns3027 S3FIFO-0.1500-0.9000 cache size   943504, 50848776 req, miss ratio 0.0634, byte miss ratio 0.0634
tencentBlock.ns3027 S3FIFO-0.1500-0.9000 cache size  1887008, 50848776 req, miss ratio 0.0482, byte miss ratio 0.0482
tencentBlock.ns3027 S3FIFO-0.9900-1.9000 cache size     2358, 50848776 req, miss ratio 0.7828, byte miss ratio 0.7828
tencentBlock.ns3027 S3FIFO-0.9900-1.9000 cache size     7076, 50848776 req, miss ratio 0.6731, byte miss ratio 0.6731
tencentBlock.ns3027 S3FIFO-0.9900-1.9000 cache size    23587, 50848776 req, miss ratio 0.5649, byte miss ratio 0.5649
tencentBlock.ns3027 S3FIFO-0.9900-1.9000 cache size    70762, 50848776 req, miss ratio 0.4359, byte miss ratio 0.4359
tencentBlock.ns3027 S3FIFO-0.9900-1.9000 cache size   235876, 50848776 req, miss ratio 0.2414, byte miss ratio 0.2414
tencentBlock.ns3027 S3FIFO-0.9900-1.9000 cache size   471752, 50848776 req, miss ratio 0.1488, byte miss ratio 0.1488
tencentBlock.ns3027 S3FIFO-0.9900-1.9000 cache size   943504, 50848776 req, miss ratio 0.0831, byte miss ratio 0.0831
tencentBlock.ns3027 S3FIFO-0.9900-1.9000 cache size  1887008, 50848776 req, miss ratio 0.0549, byte miss ratio 0.0549
tencentBlock.ns3027 S3FIFO-0.9500-1.9000 cache size     2358, 50848776 req, miss ratio 0.7814, byte miss ratio 0.7814
tencentBlock.ns3027 S3FIFO-0.9500-1.9000 cache size     7076, 50848776 req, miss ratio 0.6693, byte miss ratio 0.6693
tencentBlock.ns3027 S3FIFO-0.9500-1.9000 cache size    23587, 50848776 req, miss ratio 0.5567, byte miss ratio 0.5567
tencentBlock.ns3027 S3FIFO-0.9500-1.9000 cache size    70762, 50848776 req, miss ratio 0.4264, byte miss ratio 0.4264
tencentBlock.ns3027 S3FIFO-0.9500-1.9000 cache size   235876, 50848776 req, miss ratio 0.2380, byte miss ratio 0.2380
tencentBlock.ns3027 S3FIFO-0.9500-1.9000 cache size   471752, 50848776 req, miss ratio 0.1465, byte miss ratio 0.1465
tencentBlock.ns3027 S3FIFO-0.9500-1.9000 cache size   943504, 50848776 req, miss ratio 0.0814, byte miss ratio 0.0814
tencentBlock.ns3027 S3FIFO-0.9500-1.9000 cache size  1887008, 50848776 req, miss ratio 0.0540, byte miss ratio 0.0540
tencentBlock.ns3027 S3FIFO-0.9000-0.9000 cache size     2358, 50848776 req, miss ratio 0.7775, byte miss ratio 0.7775
tencentBlock.ns3027 S3FIFO-0.9000-0.9000 cache size     7076, 50848776 req, miss ratio 0.6611, byte miss ratio 0.6611
tencentBlock.ns3027 S3FIFO-0.9000-0.9000 cache size    23587, 50848776 req, miss ratio 0.5483, byte miss ratio 0.5483
tencentBlock.ns3027 S3FIFO-0.9000-0.9000 cache size    70762, 50848776 req, miss ratio 0.4226, byte miss ratio 0.4226
tencentBlock.ns3027 S3FIFO-0.9000-0.9000 cache size   235876, 50848776 req, miss ratio 0.2353, byte miss ratio 0.2353
tencentBlock.ns3027 S3FIFO-0.9000-0.9000 cache size   471752, 50848776 req, miss ratio 0.1433, byte miss ratio 0.1433
tencentBlock.ns3027 S3FIFO-0.9000-0.9000 cache size   943504, 50848776 req, miss ratio 0.0795, byte miss ratio 0.0795
tencentBlock.ns3027 S3FIFO-0.9000-0.9000 cache size  1887008, 50848776 req, miss ratio 0.0527, byte miss ratio 0.0527
tencentBlock.ns3027 S3FIFO-0.2000-0.9000 cache size     2358, 50848776 req, miss ratio 0.7624, byte miss ratio 0.7624
tencentBlock.ns3027 S3FIFO-0.2000-0.9000 cache size     7076, 50848776 req, miss ratio 0.6434, byte miss ratio 0.6434
tencentBlock.ns3027 S3FIFO-0.2000-0.9000 cache size    23587, 50848776 req, miss ratio 0.5095, byte miss ratio 0.5095
tencentBlock.ns3027 S3FIFO-0.2000-0.9000 cache size    70762, 50848776 req, miss ratio 0.3859, byte miss ratio 0.3859
tencentBlock.ns3027 S3FIFO-0.2000-0.9000 cache size   235876, 50848776 req, miss ratio 0.1958, byte miss ratio 0.1958
tencentBlock.ns3027 S3FIFO-0.2000-0.9000 cache size   471752, 50848776 req, miss ratio 0.1083, byte miss ratio 0.1083
tencentBlock.ns3027 S3FIFO-0.2000-0.9000 cache size   943504, 50848776 req, miss ratio 0.0637, byte miss ratio 0.0637
