tencentBlock.ns9296 S3FIFO-0.4000-0.9000 cache size      674, 4957575 req, miss ratio 0.4972, byte miss ratio 0.4972
tencentBlock.ns9296 S3FIFO-0.4000-0.9000 cache size     2023, 4957575 req, miss ratio 0.3637, byte miss ratio 0.3637
tencentBlock.ns9296 S3FIFO-0.4000-0.9000 cache size     6745, 4957575 req, miss ratio 0.3286, byte miss ratio 0.3286
tencentBlock.ns9296 S3FIFO-0.4000-0.9000 cache size    20237, 4957575 req, miss ratio 0.2896, byte miss ratio 0.2896
tencentBlock.ns9296 S3FIFO-0.4000-0.9000 cache size    67459, 4957575 req, miss ratio 0.2369, byte miss ratio 0.2369
tencentBlock.ns9296 S3FIFO-0.4000-0.9000 cache size   134919, 4957575 req, miss ratio 0.1885, byte miss ratio 0.1885
tencentBlock.ns9296 S3FIFO-0.4000-0.9000 cache size   269838, 4957575 req, miss ratio 0.1516, byte miss ratio 0.1516
tencentBlock.ns9296 S3FIFO-0.4000-0.9000 cache size   539677, 4957575 req, miss ratio 0.1365, byte miss ratio 0.1365
tencentBlock.ns9296 S3FIFO-0.9000-1.9000 cache size      674, 4957575 req, miss ratio 0.5539, byte miss ratio 0.5539
tencentBlock.ns9296 S3FIFO-0.9000-1.9000 cache size     2023, 4957575 req, miss ratio 0.4416, byte miss ratio 0.4416
tencentBlock.ns9296 S3FIFO-0.9000-1.9000 cache size     6745, 4957575 req, miss ratio 0.3560, byte miss ratio 0.3560
tencentBlock.ns9296 S3FIFO-0.9000-1.9000 cache size    20237, 4957575 req, miss ratio 0.3026, byte miss ratio 0.3026
tencentBlock.ns9296 S3FIFO-0.9000-1.9000 cache size    67459, 4957575 req, miss ratio 0.2403, byte miss ratio 0.2403
tencentBlock.ns9296 S3FIFO-0.9000-1.9000 cache size   134919, 4957575 req, miss ratio 0.1943, byte miss ratio 0.1943
tencentBlock.ns9296 S3FIFO-0.9000-1.9000 cache size   269838, 4957575 req, miss ratio 0.1584, byte miss ratio 0.1584
tencentBlock.ns9296 S3FIFO-0.9000-1.9000 cache size   539677, 4957575 req, miss ratio 0.1414, byte miss ratio 0.1414
tencentBlock.ns9296 S3FIFO-0.0050-0.9000 cache size      674, 4957575 req, miss ratio 0.5269, byte miss ratio 0.5269
tencentBlock.ns9296 S3FIFO-0.0050-0.9000 cache size     2023, 4957575 req, miss ratio 0.3721, byte miss ratio 0.3721
tencentBlock.ns9296 S3FIFO-0.0050-0.9000 cache size     6745, 4957575 req, miss ratio 0.3421, byte miss ratio 0.3421
tencentBlock.ns9296 S3FIFO-0.0050-0.9000 cache size    20237, 4957575 req, miss ratio 0.2942, byte miss ratio 0.2942
tencentBlock.ns9296 S3FIFO-0.0050-0.9000 cache size    67459, 4957575 req, miss ratio 0.2487, byte miss ratio 0.2487
tencentBlock.ns9296 S3FIFO-0.0050-0.9000 cache size   134919, 4957575 req, miss ratio 0.1975, byte miss ratio 0.1975
tencentBlock.ns9296 S3FIFO-0.0050-0.9000 cache size   269838, 4957575 req, miss ratio 0.1605, byte miss ratio 0.1605
tencentBlock.ns9296 S3FIFO-0.0050-0.9000 cache size   539677, 4957575 req, miss ratio 0.1365, byte miss ratio 0.1365
tencentBlock.ns9296 S3FIFO-0.6000-1.9000 cache size      674, 4957575 req, miss ratio 0.5080, byte miss ratio 0.5080
tencentBlock.ns9296 S3FIFO-0.6000-1.9000 cache size     2023, 4957575 req, miss ratio 0.3986, byte miss ratio 0.3986
tencentBlock.ns9296 S3FIFO-0.6000-1.9000 cache size     6745, 4957575 req, miss ratio 0.3311, byte miss ratio 0.3311
tencentBlock.ns9296 S3FIFO-0.6000-1.9000 cache size    20237, 4957575 req, miss ratio 0.2989, byte miss ratio 0.2989
tencentBlock.ns9296 S3FIFO-0.6000-1.9000 cache size    67459, 4957575 req, miss ratio 0.2369, byte miss ratio 0.2369
tencentBlock.ns9296 S3FIFO-0.6000-1.9000 cache size   134919, 4957575 req, miss ratio 0.1921, byte miss ratio 0.1921
tencentBlock.ns9296 S3FIFO-0.6000-1.9000 cache size   269838, 4957575 req, miss ratio 0.1544, byte miss ratio 0.1544
