w04.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size    18753, 77764582 req, miss ratio 0.5988, byte miss ratio 0.5988
w04.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size    56260, 77764582 req, miss ratio 0.5087, byte miss ratio 0.5087
w04.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size   187533, 77764582 req, miss ratio 0.4719, byte miss ratio 0.4719
w04.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size   562601, 77764582 req, miss ratio 0.4355, byte miss ratio 0.4355
w04.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size  1875338, 77764582 req, miss ratio 0.4116, byte miss ratio 0.4116
w04.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size  3750676, 77764582 req, miss ratio 0.3870, byte miss ratio 0.3870
w04.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size  7501352, 77764582 req, miss ratio 0.2915, byte miss ratio 0.2915
w04.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size 15002704, 77764582 req, miss ratio 0.2427, byte miss ratio 0.2427
w04.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size    18753, 77764582 req, miss ratio 0.5789, byte miss ratio 0.5789
w04.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size    56260, 77764582 req, miss ratio 0.5256, byte miss ratio 0.5256
w04.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size   187533, 77764582 req, miss ratio 0.4808, byte miss ratio 0.4808
w04.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size   562601, 77764582 req, miss ratio 0.4507, byte miss ratio 0.4507
w04.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size  1875338, 77764582 req, miss ratio 0.4113, byte miss ratio 0.4113
w04.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size  3750676, 77764582 req, miss ratio 0.4033, byte miss ratio 0.4033
