w32.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size     3690, 20776392 req, miss ratio 0.7706, byte miss ratio 0.7706
w32.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size    11071, 20776392 req, miss ratio 0.7506, byte miss ratio 0.7506
w32.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size    36903, 20776392 req, miss ratio 0.7199, byte miss ratio 0.7199
w32.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size   110711, 20776392 req, miss ratio 0.6904, byte miss ratio 0.6904
w32.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size   369039, 20776392 req, miss ratio 0.6678, byte miss ratio 0.6678
w32.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size   738079, 20776392 req, miss ratio 0.5243, byte miss ratio 0.5243
w32.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size  1476159, 20776392 req, miss ratio 0.3782, byte miss ratio 0.3782
w32.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size  2952319, 20776392 req, miss ratio 0.2425, byte miss ratio 0.2425
w32.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size     3690, 20776392 req, miss ratio 0.7786, byte miss ratio 0.7786
w32.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size    11071, 20776392 req, miss ratio 0.7593, byte miss ratio 0.7593
w32.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size    36903, 20776392 req, miss ratio 0.7186, byte miss ratio 0.7186
w32.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size   110711, 20776392 req, miss ratio 0.6840, byte miss ratio 0.6840
w32.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size   369039, 20776392 req, miss ratio 0.6554, byte miss ratio 0.6554
w32.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size   738079, 20776392 req, miss ratio 0.4874, byte miss ratio 0.4874
w32.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size  1476159, 20776392 req, miss ratio 0.3345, byte miss ratio 0.3345
w32.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size  2952319, 20776392 req, miss ratio 0.2254, byte miss ratio 0.2254
w32.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size     3690, 20776392 req, miss ratio 0.7785, byte miss ratio 0.7785
w32.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size    11071, 20776392 req, miss ratio 0.7624, byte miss ratio 0.7624
w32.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size    36903, 20776392 req, miss ratio 0.7241, byte miss ratio 0.7241
w32.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size   110711, 20776392 req, miss ratio 0.6849, byte miss ratio 0.6849
w32.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size   369039, 20776392 req, miss ratio 0.6482, byte miss ratio 0.6482
w32.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size   738079, 20776392 req, miss ratio 0.4774, byte miss ratio 0.4774
w32.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size  1476159, 20776392 req, miss ratio 0.3336, byte miss ratio 0.3336
