w89.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size      770, 3625918 req, miss ratio 0.4826, byte miss ratio 0.4826
w89.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size     2312, 3625918 req, miss ratio 0.4647, byte miss ratio 0.4647
w89.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size     7707, 3625918 req, miss ratio 0.4434, byte miss ratio 0.4434
w89.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size    23121, 3625918 req, miss ratio 0.4112, byte miss ratio 0.4112
w89.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size    77071, 3625918 req, miss ratio 0.3566, byte miss ratio 0.3566
w89.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size   154142, 3625918 req, miss ratio 0.2735, byte miss ratio 0.2735
w89.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size   308284, 3625918 req, miss ratio 0.2544, byte miss ratio 0.2544
w89.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size   616569, 3625918 req, miss ratio 0.2138, byte miss ratio 0.2138
w89.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size      770, 3625918 req, miss ratio 0.4888, byte miss ratio 0.4888
w89.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size     2312, 3625918 req, miss ratio 0.4687, byte miss ratio 0.4687
w89.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size     7707, 3625918 req, miss ratio 0.4471, byte miss ratio 0.4471
w89.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size    23121, 3625918 req, miss ratio 0.4092, byte miss ratio 0.4092
w89.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size    77071, 3625918 req, miss ratio 0.3328, byte miss ratio 0.3328
w89.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size   154142, 3625918 req, miss ratio 0.2648, byte miss ratio 0.2648
w89.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size   308284, 3625918 req, miss ratio 0.2544, byte miss ratio 0.2544
w89.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size   616569, 3625918 req, miss ratio 0.2138, byte miss ratio 0.2138
w89.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size      770, 3625918 req, miss ratio 0.4943, byte miss ratio 0.4943
w89.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size     2312, 3625918 req, miss ratio 0.4723, byte miss ratio 0.4723
w89.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size     7707, 3625918 req, miss ratio 0.4458, byte miss ratio 0.4458
w89.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size    23121, 3625918 req, miss ratio 0.4215, byte miss ratio 0.4215
w89.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size    77071, 3625918 req, miss ratio 0.3544, byte miss ratio 0.3544
w89.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size   154142, 3625918 req, miss ratio 0.2798, byte miss ratio 0.2798
w89.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size   308284, 3625918 req, miss ratio 0.2368, byte miss ratio 0.2368
w89.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size   616569, 3625918 req, miss ratio 0.2166, byte miss ratio 0.2166
w89.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size      770, 3625918 req, miss ratio 0.4876, byte miss ratio 0.4876
w89.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size     2312, 3625918 req, miss ratio 0.4701, byte miss ratio 0.4701
w89.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size     7707, 3625918 req, miss ratio 0.4443, byte miss ratio 0.4443
w89.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size    23121, 3625918 req, miss ratio 0.4190, byte miss ratio 0.4190
w89.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size    77071, 3625918 req, miss ratio 0.3534, byte miss ratio 0.3534
w89.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   154142, 3625918 req, miss ratio 0.2798, byte miss ratio 0.2798
w89.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   308284, 3625918 req, miss ratio 0.2361, byte miss ratio 0.2361
w89.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   616569, 3625918 req, miss ratio 0.2140, byte miss ratio 0.2140
w89.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size      770, 3625918 req, miss ratio 0.4828, byte miss ratio 0.4828
w89.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size     2312, 3625918 req, miss ratio 0.4654, byte miss ratio 0.4654
w89.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size     7707, 3625918 req, miss ratio 0.4445, byte miss ratio 0.4445
w89.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size    23121, 3625918 req, miss ratio 0.4077, byte miss ratio 0.4077
w89.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size    77071, 3625918 req, miss ratio 0.3504, byte miss ratio 0.3504
w89.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size   154142, 3625918 req, miss ratio 0.2733, byte miss ratio 0.2733
w89.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size   308284, 3625918 req, miss ratio 0.2560, byte miss ratio 0.2560
w89.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size   616569, 3625918 req, miss ratio 0.2138, byte miss ratio 0.2138
w89.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size      770, 3625918 req, miss ratio 0.5025, byte miss ratio 0.5025
w89.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size     2312, 3625918 req, miss ratio 0.4757, byte miss ratio 0.4757
w89.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size     7707, 3625918 req, miss ratio 0.4511, byte miss ratio 0.4511
w89.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size    23121, 3625918 req, miss ratio 0.4115, byte miss ratio 0.4115
w89.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size    77071, 3625918 req, miss ratio 0.3317, byte miss ratio 0.3317
w89.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   154142, 3625918 req, miss ratio 0.2651, byte miss ratio 0.2651
w89.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   308284, 3625918 req, miss ratio 0.2528, byte miss ratio 0.2528
w89.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   616569, 3625918 req, miss ratio 0.2138, byte miss ratio 0.2138
w89.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size      770, 3625918 req, miss ratio 0.4860, byte miss ratio 0.4860
w89.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size     2312, 3625918 req, miss ratio 0.4691, byte miss ratio 0.4691
w89.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size     7707, 3625918 req, miss ratio 0.4431, byte miss ratio 0.4431
w89.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size    23121, 3625918 req, miss ratio 0.4194, byte miss ratio 0.4194
w89.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size    77071, 3625918 req, miss ratio 0.3538, byte miss ratio 0.3538
w89.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size   154142, 3625918 req, miss ratio 0.2786, byte miss ratio 0.2786
w89.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size   308284, 3625918 req, miss ratio 0.2361, byte miss ratio 0.2361
w89.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size   616569, 3625918 req, miss ratio 0.2138, byte miss ratio 0.2138
w89.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size      770, 3625918 req, miss ratio 0.4828, byte miss ratio 0.4828
w89.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     2312, 3625918 req, miss ratio 0.4633, byte miss ratio 0.4633
w89.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     7707, 3625918 req, miss ratio 0.4449, byte miss ratio 0.4449
w89.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size    23121, 3625918 req, miss ratio 0.4060, byte miss ratio 0.4060
w89.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size    77071, 3625918 req, miss ratio 0.3475, byte miss ratio 0.3475
w89.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size   154142, 3625918 req, miss ratio 0.2682, byte miss ratio 0.2682
w89.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size   308284, 3625918 req, miss ratio 0.2616, byte miss ratio 0.2616
w89.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size   616569, 3625918 req, miss ratio 0.2138, byte miss ratio 0.2138
w89.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size      770, 3625918 req, miss ratio 0.4962, byte miss ratio 0.4962
w89.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size     2312, 3625918 req, miss ratio 0.4743, byte miss ratio 0.4743
w89.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size     7707, 3625918 req, miss ratio 0.4494, byte miss ratio 0.4494
w89.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size    23121, 3625918 req, miss ratio 0.4091, byte miss ratio 0.4091
w89.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size    77071, 3625918 req, miss ratio 0.3266, byte miss ratio 0.3266
w89.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size   154142, 3625918 req, miss ratio 0.2637, byte miss ratio 0.2637
w89.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size   308284, 3625918 req, miss ratio 0.2522, byte miss ratio 0.2522
w89.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size   616569, 3625918 req, miss ratio 0.2138, byte miss ratio 0.2138
w89.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size      770, 3625918 req, miss ratio 0.4869, byte miss ratio 0.4869
w89.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size     2312, 3625918 req, miss ratio 0.4688, byte miss ratio 0.4688
w89.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size     7707, 3625918 req, miss ratio 0.4457, byte miss ratio 0.4457
w89.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size    23121, 3625918 req, miss ratio 0.4083, byte miss ratio 0.4083
w89.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size    77071, 3625918 req, miss ratio 0.3295, byte miss ratio 0.3295
w89.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size   154142, 3625918 req, miss ratio 0.2625, byte miss ratio 0.2625
w89.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size   308284, 3625918 req, miss ratio 0.2555, byte miss ratio 0.2555
w89.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size   616569, 3625918 req, miss ratio 0.2138, byte miss ratio 0.2138
w89.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size      770, 3625918 req, miss ratio 0.5075, byte miss ratio 0.5075
w89.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size     2312, 3625918 req, miss ratio 0.4823, byte miss ratio 0.4823
w89.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size     7707, 3625918 req, miss ratio 0.4490, byte miss ratio 0.4490
w89.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size    23121, 3625918 req, miss ratio 0.4266, byte miss ratio 0.4266
w89.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size    77071, 3625918 req, miss ratio 0.3509, byte miss ratio 0.3509
w89.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   154142, 3625918 req, miss ratio 0.2824, byte miss ratio 0.2824
w89.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   308284, 3625918 req, miss ratio 0.2385, byte miss ratio 0.2385
w89.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   616569, 3625918 req, miss ratio 0.2259, byte miss ratio 0.2259
w89.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size      770, 3625918 req, miss ratio 0.4824, byte miss ratio 0.4824
w89.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size     2312, 3625918 req, miss ratio 0.4640, byte miss ratio 0.4640
w89.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size     7707, 3625918 req, miss ratio 0.4442, byte miss ratio 0.4442
w89.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size    23121, 3625918 req, miss ratio 0.4093, byte miss ratio 0.4093
w89.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size    77071, 3625918 req, miss ratio 0.3543, byte miss ratio 0.3543
w89.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size   154142, 3625918 req, miss ratio 0.2729, byte miss ratio 0.2729
w89.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size   308284, 3625918 req, miss ratio 0.2559, byte miss ratio 0.2559
w89.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size   616569, 3625918 req, miss ratio 0.2138, byte miss ratio 0.2138
w89.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size      770, 3625918 req, miss ratio 0.4846, byte miss ratio 0.4846
w89.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size     2312, 3625918 req, miss ratio 0.4667, byte miss ratio 0.4667
w89.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size     7707, 3625918 req, miss ratio 0.4447, byte miss ratio 0.4447
w89.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size    23121, 3625918 req, miss ratio 0.4065, byte miss ratio 0.4065
w89.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size    77071, 3625918 req, miss ratio 0.3349, byte miss ratio 0.3349
w89.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size   154142, 3625918 req, miss ratio 0.2625, byte miss ratio 0.2625
w89.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size   308284, 3625918 req, miss ratio 0.2586, byte miss ratio 0.2586
w89.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size   616569, 3625918 req, miss ratio 0.2138, byte miss ratio 0.2138
w89.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size      770, 3625918 req, miss ratio 0.4973, byte miss ratio 0.4973
w89.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size     2312, 3625918 req, miss ratio 0.4744, byte miss ratio 0.4744
w89.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size     7707, 3625918 req, miss ratio 0.4455, byte miss ratio 0.4455
w89.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size    23121, 3625918 req, miss ratio 0.4224, byte miss ratio 0.4224
w89.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size    77071, 3625918 req, miss ratio 0.3538, byte miss ratio 0.3538
w89.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size   154142, 3625918 req, miss ratio 0.2813, byte miss ratio 0.2813
w89.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size   308284, 3625918 req, miss ratio 0.2375, byte miss ratio 0.2375
w89.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size   616569, 3625918 req, miss ratio 0.2171, byte miss ratio 0.2171
w89.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size      770, 3625918 req, miss ratio 0.5013, byte miss ratio 0.5013
w89.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size     2312, 3625918 req, miss ratio 0.4771, byte miss ratio 0.4771
w89.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size     7707, 3625918 req, miss ratio 0.4459, byte miss ratio 0.4459
w89.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size    23121, 3625918 req, miss ratio 0.4242, byte miss ratio 0.4242
w89.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size    77071, 3625918 req, miss ratio 0.3533, byte miss ratio 0.3533
w89.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size   154142, 3625918 req, miss ratio 0.2825, byte miss ratio 0.2825
w89.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size   308284, 3625918 req, miss ratio 0.2381, byte miss ratio 0.2381
w89.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size   616569, 3625918 req, miss ratio 0.2222, byte miss ratio 0.2222
w89.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size      770, 3625918 req, miss ratio 0.4839, byte miss ratio 0.4839
w89.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size     2312, 3625918 req, miss ratio 0.4657, byte miss ratio 0.4657
w89.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size     7707, 3625918 req, miss ratio 0.4450, byte miss ratio 0.4450
w89.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size    23121, 3625918 req, miss ratio 0.4047, byte miss ratio 0.4047
w89.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size    77071, 3625918 req, miss ratio 0.3394, byte miss ratio 0.3394
w89.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size   154142, 3625918 req, miss ratio 0.2631, byte miss ratio 0.2631
w89.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size   308284, 3625918 req, miss ratio 0.2597, byte miss ratio 0.2597
w89.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size   616569, 3625918 req, miss ratio 0.2138, byte miss ratio 0.2138
w89.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size      770, 3625918 req, miss ratio 0.5048, byte miss ratio 0.5048
w89.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     2312, 3625918 req, miss ratio 0.4798, byte miss ratio 0.4798
w89.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     7707, 3625918 req, miss ratio 0.4469, byte miss ratio 0.4469
w89.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size    23121, 3625918 req, miss ratio 0.4249, byte miss ratio 0.4249
w89.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size    77071, 3625918 req, miss ratio 0.3505, byte miss ratio 0.3505
w89.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size   154142, 3625918 req, miss ratio 0.2826, byte miss ratio 0.2826
w89.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size   308284, 3625918 req, miss ratio 0.2380, byte miss ratio 0.2380
w89.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size   616569, 3625918 req, miss ratio 0.2255, byte miss ratio 0.2255
w89.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size      770, 3625918 req, miss ratio 0.4827, byte miss ratio 0.4827
w89.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size     2312, 3625918 req, miss ratio 0.4632, byte miss ratio 0.4632
w89.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size     7707, 3625918 req, miss ratio 0.4448, byte miss ratio 0.4448
w89.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size    23121, 3625918 req, miss ratio 0.4057, byte miss ratio 0.4057
w89.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size    77071, 3625918 req, miss ratio 0.3496, byte miss ratio 0.3496
w89.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size   154142, 3625918 req, miss ratio 0.2719, byte miss ratio 0.2719
w89.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size   308284, 3625918 req, miss ratio 0.2613, byte miss ratio 0.2613
w89.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size   616569, 3625918 req, miss ratio 0.2138, byte miss ratio 0.2138
w89.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size      770, 3625918 req, miss ratio 0.4945, byte miss ratio 0.4945
w89.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size     2312, 3625918 req, miss ratio 0.4724, byte miss ratio 0.4724
w89.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size     7707, 3625918 req, miss ratio 0.4455, byte miss ratio 0.4455
w89.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size    23121, 3625918 req, miss ratio 0.4212, byte miss ratio 0.4212
w89.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size    77071, 3625918 req, miss ratio 0.3542, byte miss ratio 0.3542
w89.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size   154142, 3625918 req, miss ratio 0.2797, byte miss ratio 0.2797
w89.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size   308284, 3625918 req, miss ratio 0.2368, byte miss ratio 0.2368
w89.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size   616569, 3625918 req, miss ratio 0.2166, byte miss ratio 0.2166
w89.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size      770, 3625918 req, miss ratio 0.4859, byte miss ratio 0.4859
w89.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size     2312, 3625918 req, miss ratio 0.4693, byte miss ratio 0.4693
