result/cdn1_lax.ns969.oracleGeneral.bin.zst LeCaR cache size     1185, 1994940 req, miss ratio 0.5995, byte miss ratio 0.5995
result/cdn1_lax.ns969.oracleGeneral.bin.zst LeCaR cache size     3555, 1994940 req, miss ratio 0.5976, byte miss ratio 0.5976
result/cdn1_lax.ns969.oracleGeneral.bin.zst LeCaR cache size    11851, 1994940 req, miss ratio 0.5961, byte miss ratio 0.5961
result/cdn1_lax.ns969.oracleGeneral.bin.zst LeCaR cache size    35553, 1994940 req, miss ratio 0.5948, byte miss ratio 0.5948
result/cdn1_lax.ns969.oracleGeneral.bin.zst LeCaR cache size   118510, 1994940 req, miss ratio 0.5943, byte miss ratio 0.5943
result/cdn1_lax.ns969.oracleGeneral.bin.zst LeCaR cache size   237020, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
result/cdn1_lax.ns969.oracleGeneral.bin.zst LeCaR cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst LeCaR cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst ARC cache size     1185, 1994940 req, miss ratio 0.6003, byte miss ratio 0.6003
result/cdn1_lax.ns969.oracleGeneral.bin.zst ARC cache size     3555, 1994940 req, miss ratio 0.5977, byte miss ratio 0.5977
result/cdn1_lax.ns969.oracleGeneral.bin.zst ARC cache size    11851, 1994940 req, miss ratio 0.5963, byte miss ratio 0.5963
result/cdn1_lax.ns969.oracleGeneral.bin.zst ARC cache size    35553, 1994940 req, miss ratio 0.5955, byte miss ratio 0.5955
result/cdn1_lax.ns969.oracleGeneral.bin.zst ARC cache size   118510, 1994940 req, miss ratio 0.5947, byte miss ratio 0.5947
result/cdn1_lax.ns969.oracleGeneral.bin.zst ARC cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst ARC cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst ARC cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-1 cache size     1185, 1994940 req, miss ratio 0.6237, byte miss ratio 0.6237
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-1 cache size     3555, 1994940 req, miss ratio 0.6118, byte miss ratio 0.6118
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-1 cache size    11851, 1994940 req, miss ratio 0.5958, byte miss ratio 0.5958
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-1 cache size    35553, 1994940 req, miss ratio 0.5949, byte miss ratio 0.5949
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-1 cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-1 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-1 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-1 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst LRU cache size     1185, 1994940 req, miss ratio 0.5995, byte miss ratio 0.5995
result/cdn1_lax.ns969.oracleGeneral.bin.zst LRU cache size     3555, 1994940 req, miss ratio 0.5976, byte miss ratio 0.5976
result/cdn1_lax.ns969.oracleGeneral.bin.zst LRU cache size    11851, 1994940 req, miss ratio 0.5964, byte miss ratio 0.5964
result/cdn1_lax.ns969.oracleGeneral.bin.zst LRU cache size    35553, 1994940 req, miss ratio 0.5951, byte miss ratio 0.5951
result/cdn1_lax.ns969.oracleGeneral.bin.zst LRU cache size   118510, 1994940 req, miss ratio 0.5944, byte miss ratio 0.5944
result/cdn1_lax.ns969.oracleGeneral.bin.zst LRU cache size   237020, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
result/cdn1_lax.ns969.oracleGeneral.bin.zst LRU cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst LRU cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst clock2 cache size     1185, 1994940 req, miss ratio 0.6010, byte miss ratio 0.6010
result/cdn1_lax.ns969.oracleGeneral.bin.zst clock2 cache size     3555, 1994940 req, miss ratio 0.5973, byte miss ratio 0.5973
result/cdn1_lax.ns969.oracleGeneral.bin.zst clock2 cache size    11851, 1994940 req, miss ratio 0.5961, byte miss ratio 0.5961
result/cdn1_lax.ns969.oracleGeneral.bin.zst clock2 cache size    35553, 1994940 req, miss ratio 0.5948, byte miss ratio 0.5948
result/cdn1_lax.ns969.oracleGeneral.bin.zst clock2 cache size   118510, 1994940 req, miss ratio 0.5943, byte miss ratio 0.5943
result/cdn1_lax.ns969.oracleGeneral.bin.zst clock2 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst clock2 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst clock2 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst LIRS cache size     1185, 1994940 req, miss ratio 0.6696, byte miss ratio 0.6696
result/cdn1_lax.ns969.oracleGeneral.bin.zst LIRS cache size     3555, 1994940 req, miss ratio 0.6483, byte miss ratio 0.6483
result/cdn1_lax.ns969.oracleGeneral.bin.zst LIRS cache size    11851, 1994940 req, miss ratio 0.6240, byte miss ratio 0.6240
result/cdn1_lax.ns969.oracleGeneral.bin.zst LIRS cache size    35553, 1994940 req, miss ratio 0.6113, byte miss ratio 0.6113
result/cdn1_lax.ns969.oracleGeneral.bin.zst LIRS cache size   118510, 1994940 req, miss ratio 0.5954, byte miss ratio 0.5954
result/cdn1_lax.ns969.oracleGeneral.bin.zst LIRS cache size   237020, 1994940 req, miss ratio 0.5947, byte miss ratio 0.5947
result/cdn1_lax.ns969.oracleGeneral.bin.zst LIRS cache size   474041, 1994940 req, miss ratio 0.5945, byte miss ratio 0.5945
result/cdn1_lax.ns969.oracleGeneral.bin.zst LIRS cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst Cacheus cache size     1185, 1994940 req, miss ratio 0.6082, byte miss ratio 0.6082
result/cdn1_lax.ns969.oracleGeneral.bin.zst Cacheus cache size     3555, 1994940 req, miss ratio 0.5972, byte miss ratio 0.5972
result/cdn1_lax.ns969.oracleGeneral.bin.zst Cacheus cache size    11851, 1994940 req, miss ratio 0.5958, byte miss ratio 0.5958
result/cdn1_lax.ns969.oracleGeneral.bin.zst Cacheus cache size    35553, 1994940 req, miss ratio 0.5947, byte miss ratio 0.5947
result/cdn1_lax.ns969.oracleGeneral.bin.zst Cacheus cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
result/cdn1_lax.ns969.oracleGeneral.bin.zst Cacheus cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst Cacheus cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst Cacheus cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst Clock cache size     1185, 1994940 req, miss ratio 0.6005, byte miss ratio 0.6005
result/cdn1_lax.ns969.oracleGeneral.bin.zst Clock cache size     3555, 1994940 req, miss ratio 0.5975, byte miss ratio 0.5975
result/cdn1_lax.ns969.oracleGeneral.bin.zst Clock cache size    11851, 1994940 req, miss ratio 0.5963, byte miss ratio 0.5963
result/cdn1_lax.ns969.oracleGeneral.bin.zst Clock cache size    35553, 1994940 req, miss ratio 0.5950, byte miss ratio 0.5950
