result/cdn1_nyc.ns211.oracleGeneral.bin.zst LHD cache size        8, 1007266 req, miss ratio 0.0393, byte miss ratio 0.0393
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LHD cache size       25, 1007266 req, miss ratio 0.0368, byte miss ratio 0.0368
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LHD cache size       86, 1007266 req, miss ratio 0.0251, byte miss ratio 0.0251
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LHD cache size      172, 1007266 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LHD cache size      345, 1007266 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LHD cache size      691, 1007266 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn1_nyc.ns211.oracleGeneral.bin.zst Clock cache size        8, 1007266 req, miss ratio 0.0438, byte miss ratio 0.0438
result/cdn1_nyc.ns211.oracleGeneral.bin.zst Clock cache size       25, 1007266 req, miss ratio 0.0380, byte miss ratio 0.0380
result/cdn1_nyc.ns211.oracleGeneral.bin.zst Clock cache size       86, 1007266 req, miss ratio 0.0260, byte miss ratio 0.0260
result/cdn1_nyc.ns211.oracleGeneral.bin.zst Clock cache size      172, 1007266 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn1_nyc.ns211.oracleGeneral.bin.zst Clock cache size      345, 1007266 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn1_nyc.ns211.oracleGeneral.bin.zst Clock cache size      691, 1007266 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LeCaR cache size        8, 1007266 req, miss ratio 0.0392, byte miss ratio 0.0392
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LeCaR cache size       25, 1007266 req, miss ratio 0.0374, byte miss ratio 0.0374
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LeCaR cache size       86, 1007266 req, miss ratio 0.0243, byte miss ratio 0.0243
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LeCaR cache size      172, 1007266 req, miss ratio 0.0113, byte miss ratio 0.0113
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LeCaR cache size      345, 1007266 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LeCaR cache size      691, 1007266 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LRU cache size        8, 1007266 req, miss ratio 0.0459, byte miss ratio 0.0459
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LRU cache size       25, 1007266 req, miss ratio 0.0381, byte miss ratio 0.0381
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LRU cache size       86, 1007266 req, miss ratio 0.0267, byte miss ratio 0.0267
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LRU cache size      172, 1007266 req, miss ratio 0.0131, byte miss ratio 0.0131
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LRU cache size      345, 1007266 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LRU cache size      691, 1007266 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LIRS cache size        8, 1007266 req, miss ratio 0.0386, byte miss ratio 0.0386
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LIRS cache size       25, 1007266 req, miss ratio 0.0342, byte miss ratio 0.0342
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LIRS cache size       86, 1007266 req, miss ratio 0.0214, byte miss ratio 0.0214
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LIRS cache size      172, 1007266 req, miss ratio 0.0095, byte miss ratio 0.0095
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LIRS cache size      345, 1007266 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn1_nyc.ns211.oracleGeneral.bin.zst LIRS cache size      691, 1007266 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-1 cache size        8, 1007266 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-1 cache size       25, 1007266 req, miss ratio 0.0342, byte miss ratio 0.0342
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-1 cache size       86, 1007266 req, miss ratio 0.0219, byte miss ratio 0.0219
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-1 cache size      172, 1007266 req, miss ratio 0.0100, byte miss ratio 0.0100
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-1 cache size      345, 1007266 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-1 cache size      691, 1007266 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn1_nyc.ns211.oracleGeneral.bin.zst Cacheus cache size        8, 1007266 req, miss ratio 0.0387, byte miss ratio 0.0387
result/cdn1_nyc.ns211.oracleGeneral.bin.zst Cacheus cache size       25, 1007266 req, miss ratio 0.0369, byte miss ratio 0.0369
result/cdn1_nyc.ns211.oracleGeneral.bin.zst Cacheus cache size       86, 1007266 req, miss ratio 0.0217, byte miss ratio 0.0217
result/cdn1_nyc.ns211.oracleGeneral.bin.zst Cacheus cache size      172, 1007266 req, miss ratio 0.0094, byte miss ratio 0.0094
result/cdn1_nyc.ns211.oracleGeneral.bin.zst Cacheus cache size      345, 1007266 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn1_nyc.ns211.oracleGeneral.bin.zst Cacheus cache size      691, 1007266 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn1_nyc.ns211.oracleGeneral.bin.zst ARC cache size        8, 1007266 req, miss ratio 0.0388, byte miss ratio 0.0388
result/cdn1_nyc.ns211.oracleGeneral.bin.zst ARC cache size       25, 1007266 req, miss ratio 0.0353, byte miss ratio 0.0353
result/cdn1_nyc.ns211.oracleGeneral.bin.zst ARC cache size       86, 1007266 req, miss ratio 0.0235, byte miss ratio 0.0235
