result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LHD cache size        7, 1049845 req, miss ratio 0.1322, byte miss ratio 0.1322
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LHD cache size       21, 1049845 req, miss ratio 0.0886, byte miss ratio 0.0886
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LHD cache size       71, 1049845 req, miss ratio 0.0626, byte miss ratio 0.0626
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LHD cache size      214, 1049845 req, miss ratio 0.0488, byte miss ratio 0.0488
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LHD cache size      714, 1049845 req, miss ratio 0.0350, byte miss ratio 0.0350
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LHD cache size     1428, 1049845 req, miss ratio 0.0259, byte miss ratio 0.0259
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LHD cache size     2857, 1049845 req, miss ratio 0.0163, byte miss ratio 0.0163
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LHD cache size     5715, 1049845 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LRU cache size        7, 1049845 req, miss ratio 0.1241, byte miss ratio 0.1241
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LRU cache size       21, 1049845 req, miss ratio 0.0731, byte miss ratio 0.0731
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LRU cache size       71, 1049845 req, miss ratio 0.0580, byte miss ratio 0.0580
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LRU cache size      214, 1049845 req, miss ratio 0.0483, byte miss ratio 0.0483
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LRU cache size      714, 1049845 req, miss ratio 0.0347, byte miss ratio 0.0347
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LRU cache size     1428, 1049845 req, miss ratio 0.0255, byte miss ratio 0.0255
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LRU cache size     2857, 1049845 req, miss ratio 0.0159, byte miss ratio 0.0159
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LRU cache size     5715, 1049845 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst Clock cache size        7, 1049845 req, miss ratio 0.1227, byte miss ratio 0.1227
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst Clock cache size       21, 1049845 req, miss ratio 0.0724, byte miss ratio 0.0724
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst Clock cache size       71, 1049845 req, miss ratio 0.0579, byte miss ratio 0.0579
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst Clock cache size      214, 1049845 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst Clock cache size      714, 1049845 req, miss ratio 0.0354, byte miss ratio 0.0354
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst Clock cache size     1428, 1049845 req, miss ratio 0.0263, byte miss ratio 0.0263
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst Clock cache size     2857, 1049845 req, miss ratio 0.0169, byte miss ratio 0.0169
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst Clock cache size     5715, 1049845 req, miss ratio 0.0084, byte miss ratio 0.0084
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LIRS cache size        7, 1049845 req, miss ratio 0.1203, byte miss ratio 0.1203
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LIRS cache size       21, 1049845 req, miss ratio 0.0740, byte miss ratio 0.0740
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LIRS cache size       71, 1049845 req, miss ratio 0.0630, byte miss ratio 0.0630
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LIRS cache size      214, 1049845 req, miss ratio 0.0529, byte miss ratio 0.0529
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LIRS cache size      714, 1049845 req, miss ratio 0.0382, byte miss ratio 0.0382
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LIRS cache size     1428, 1049845 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LIRS cache size     2857, 1049845 req, miss ratio 0.0170, byte miss ratio 0.0170
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LIRS cache size     5715, 1049845 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-1 cache size        7, 1049845 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-1 cache size       21, 1049845 req, miss ratio 0.0724, byte miss ratio 0.0724
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-1 cache size       71, 1049845 req, miss ratio 0.0591, byte miss ratio 0.0591
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-1 cache size      214, 1049845 req, miss ratio 0.0496, byte miss ratio 0.0496
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-1 cache size      714, 1049845 req, miss ratio 0.0354, byte miss ratio 0.0354
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-1 cache size     1428, 1049845 req, miss ratio 0.0251, byte miss ratio 0.0251
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-1 cache size     2857, 1049845 req, miss ratio 0.0155, byte miss ratio 0.0155
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-1 cache size     5715, 1049845 req, miss ratio 0.0085, byte miss ratio 0.0085
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst Cacheus cache size        7, 1049845 req, miss ratio 0.1282, byte miss ratio 0.1282
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst Cacheus cache size       21, 1049845 req, miss ratio 0.0717, byte miss ratio 0.0717
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst Cacheus cache size       71, 1049845 req, miss ratio 0.0576, byte miss ratio 0.0576
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst Cacheus cache size      214, 1049845 req, miss ratio 0.0491, byte miss ratio 0.0491
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst Cacheus cache size      714, 1049845 req, miss ratio 0.0360, byte miss ratio 0.0360
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst Cacheus cache size     1428, 1049845 req, miss ratio 0.0270, byte miss ratio 0.0270
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst Cacheus cache size     2857, 1049845 req, miss ratio 0.0159, byte miss ratio 0.0159
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst Cacheus cache size     5715, 1049845 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LeCaR cache size        7, 1049845 req, miss ratio 0.1170, byte miss ratio 0.1170
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LeCaR cache size       21, 1049845 req, miss ratio 0.0730, byte miss ratio 0.0730
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LeCaR cache size       71, 1049845 req, miss ratio 0.0583, byte miss ratio 0.0583
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LeCaR cache size      214, 1049845 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LeCaR cache size      714, 1049845 req, miss ratio 0.0354, byte miss ratio 0.0354
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LeCaR cache size     1428, 1049845 req, miss ratio 0.0261, byte miss ratio 0.0261
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LeCaR cache size     2857, 1049845 req, miss ratio 0.0163, byte miss ratio 0.0163
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst LeCaR cache size     5715, 1049845 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst ARC cache size        7, 1049845 req, miss ratio 0.1219, byte miss ratio 0.1219
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst ARC cache size       21, 1049845 req, miss ratio 0.0705, byte miss ratio 0.0705
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst ARC cache size       71, 1049845 req, miss ratio 0.0576, byte miss ratio 0.0576
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst ARC cache size      214, 1049845 req, miss ratio 0.0485, byte miss ratio 0.0485
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst ARC cache size      714, 1049845 req, miss ratio 0.0351, byte miss ratio 0.0351
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst ARC cache size     1428, 1049845 req, miss ratio 0.0259, byte miss ratio 0.0259
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst ARC cache size     2857, 1049845 req, miss ratio 0.0158, byte miss ratio 0.0158
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst ARC cache size     5715, 1049845 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst FIFO cache size        7, 1049845 req, miss ratio 0.1291, byte miss ratio 0.1291
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst FIFO cache size       21, 1049845 req, miss ratio 0.0783, byte miss ratio 0.0783
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst FIFO cache size       71, 1049845 req, miss ratio 0.0605, byte miss ratio 0.0605
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst FIFO cache size      214, 1049845 req, miss ratio 0.0497, byte miss ratio 0.0497
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst FIFO cache size      714, 1049845 req, miss ratio 0.0365, byte miss ratio 0.0365
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst FIFO cache size     1428, 1049845 req, miss ratio 0.0278, byte miss ratio 0.0278
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst FIFO cache size     2857, 1049845 req, miss ratio 0.0184, byte miss ratio 0.0184
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst FIFO cache size     5715, 1049845 req, miss ratio 0.0099, byte miss ratio 0.0099
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst clock2 cache size        7, 1049845 req, miss ratio 0.1201, byte miss ratio 0.1201
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst clock2 cache size       21, 1049845 req, miss ratio 0.0718, byte miss ratio 0.0718
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst clock2 cache size       71, 1049845 req, miss ratio 0.0580, byte miss ratio 0.0580
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst clock2 cache size      214, 1049845 req, miss ratio 0.0492, byte miss ratio 0.0492
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst clock2 cache size      714, 1049845 req, miss ratio 0.0363, byte miss ratio 0.0363
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst clock2 cache size     1428, 1049845 req, miss ratio 0.0272, byte miss ratio 0.0272
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst clock2 cache size     2857, 1049845 req, miss ratio 0.0171, byte miss ratio 0.0171
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst clock2 cache size     5715, 1049845 req, miss ratio 0.0083, byte miss ratio 0.0083
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-d-1 cache size        7, 1049845 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-d-1 cache size       21, 1049845 req, miss ratio 0.0716, byte miss ratio 0.0716
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-d-1 cache size       71, 1049845 req, miss ratio 0.0578, byte miss ratio 0.0578
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-d-1 cache size      214, 1049845 req, miss ratio 0.0487, byte miss ratio 0.0487
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S3FIFO-d-1 cache size      714, 1049845 req, miss ratio 0.0352, byte miss ratio 0.0352
