result/cdn1_sjc.ns330.oracleGeneral.bin.zst LeCaR cache size        5, 11295584 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LeCaR cache size       17, 11295584 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LeCaR cache size       52, 11295584 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LeCaR cache size      175, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LeCaR cache size      351, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LeCaR cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LeCaR cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LHD cache size        5, 11295584 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LHD cache size       17, 11295584 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LHD cache size       52, 11295584 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LHD cache size      175, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LHD cache size      351, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LHD cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LHD cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst ARC cache size        5, 11295584 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn1_sjc.ns330.oracleGeneral.bin.zst ARC cache size       17, 11295584 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_sjc.ns330.oracleGeneral.bin.zst ARC cache size       52, 11295584 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn1_sjc.ns330.oracleGeneral.bin.zst ARC cache size      175, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst ARC cache size      351, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst ARC cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst ARC cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst FIFO cache size        5, 11295584 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn1_sjc.ns330.oracleGeneral.bin.zst FIFO cache size       17, 11295584 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn1_sjc.ns330.oracleGeneral.bin.zst FIFO cache size       52, 11295584 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn1_sjc.ns330.oracleGeneral.bin.zst FIFO cache size      175, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst FIFO cache size      351, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst FIFO cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst FIFO cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LRU cache size        5, 11295584 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LRU cache size       17, 11295584 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LRU cache size       52, 11295584 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LRU cache size      175, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LRU cache size      351, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LRU cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LRU cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst S3FIFO-1 cache size        5, 11295584 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns330.oracleGeneral.bin.zst S3FIFO-1 cache size       17, 11295584 req, miss ratio 0.0006, byte miss ratio 0.0006
