result/cdn1_sjc.ns509.oracleGeneral.bin.zst FIFO cache size       33, 1497698 req, miss ratio 0.7312, byte miss ratio 0.7312
result/cdn1_sjc.ns509.oracleGeneral.bin.zst FIFO cache size      100, 1497698 req, miss ratio 0.6335, byte miss ratio 0.6335
result/cdn1_sjc.ns509.oracleGeneral.bin.zst FIFO cache size      336, 1497698 req, miss ratio 0.5287, byte miss ratio 0.5287
result/cdn1_sjc.ns509.oracleGeneral.bin.zst FIFO cache size     1009, 1497698 req, miss ratio 0.4269, byte miss ratio 0.4269
result/cdn1_sjc.ns509.oracleGeneral.bin.zst FIFO cache size     3365, 1497698 req, miss ratio 0.2609, byte miss ratio 0.2609
result/cdn1_sjc.ns509.oracleGeneral.bin.zst FIFO cache size     6730, 1497698 req, miss ratio 0.1421, byte miss ratio 0.1421
result/cdn1_sjc.ns509.oracleGeneral.bin.zst FIFO cache size    13461, 1497698 req, miss ratio 0.0630, byte miss ratio 0.0630
result/cdn1_sjc.ns509.oracleGeneral.bin.zst FIFO cache size    26923, 1497698 req, miss ratio 0.0276, byte miss ratio 0.0276
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LRU cache size       33, 1497698 req, miss ratio 0.7261, byte miss ratio 0.7261
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LRU cache size      100, 1497698 req, miss ratio 0.6278, byte miss ratio 0.6278
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LRU cache size      336, 1497698 req, miss ratio 0.5199, byte miss ratio 0.5199
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LRU cache size     1009, 1497698 req, miss ratio 0.4163, byte miss ratio 0.4163
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LRU cache size     3365, 1497698 req, miss ratio 0.2343, byte miss ratio 0.2343
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LRU cache size     6730, 1497698 req, miss ratio 0.1083, byte miss ratio 0.1083
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LRU cache size    13461, 1497698 req, miss ratio 0.0399, byte miss ratio 0.0399
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LRU cache size    26923, 1497698 req, miss ratio 0.0231, byte miss ratio 0.0231
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LIRS cache size       33, 1497698 req, miss ratio 0.8076, byte miss ratio 0.8076
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LIRS cache size      100, 1497698 req, miss ratio 0.7478, byte miss ratio 0.7478
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LIRS cache size      336, 1497698 req, miss ratio 0.6252, byte miss ratio 0.6252
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LIRS cache size     1009, 1497698 req, miss ratio 0.4644, byte miss ratio 0.4644
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LIRS cache size     3365, 1497698 req, miss ratio 0.2286, byte miss ratio 0.2286
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LIRS cache size     6730, 1497698 req, miss ratio 0.0990, byte miss ratio 0.0990
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LIRS cache size    13461, 1497698 req, miss ratio 0.0382, byte miss ratio 0.0382
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LIRS cache size    26923, 1497698 req, miss ratio 0.0237, byte miss ratio 0.0237
result/cdn1_sjc.ns509.oracleGeneral.bin.zst Clock cache size       33, 1497698 req, miss ratio 0.7272, byte miss ratio 0.7272
result/cdn1_sjc.ns509.oracleGeneral.bin.zst Clock cache size      100, 1497698 req, miss ratio 0.6287, byte miss ratio 0.6287
result/cdn1_sjc.ns509.oracleGeneral.bin.zst Clock cache size      336, 1497698 req, miss ratio 0.5194, byte miss ratio 0.5194
result/cdn1_sjc.ns509.oracleGeneral.bin.zst Clock cache size     1009, 1497698 req, miss ratio 0.4139, byte miss ratio 0.4139
result/cdn1_sjc.ns509.oracleGeneral.bin.zst Clock cache size     3365, 1497698 req, miss ratio 0.2307, byte miss ratio 0.2307
result/cdn1_sjc.ns509.oracleGeneral.bin.zst Clock cache size     6730, 1497698 req, miss ratio 0.1056, byte miss ratio 0.1056
result/cdn1_sjc.ns509.oracleGeneral.bin.zst Clock cache size    13461, 1497698 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn1_sjc.ns509.oracleGeneral.bin.zst Clock cache size    26923, 1497698 req, miss ratio 0.0234, byte miss ratio 0.0234
result/cdn1_sjc.ns509.oracleGeneral.bin.zst ARC cache size       33, 1497698 req, miss ratio 0.7230, byte miss ratio 0.7230
result/cdn1_sjc.ns509.oracleGeneral.bin.zst ARC cache size      100, 1497698 req, miss ratio 0.6292, byte miss ratio 0.6292
result/cdn1_sjc.ns509.oracleGeneral.bin.zst ARC cache size      336, 1497698 req, miss ratio 0.5179, byte miss ratio 0.5179
result/cdn1_sjc.ns509.oracleGeneral.bin.zst ARC cache size     1009, 1497698 req, miss ratio 0.4102, byte miss ratio 0.4102
result/cdn1_sjc.ns509.oracleGeneral.bin.zst ARC cache size     3365, 1497698 req, miss ratio 0.2211, byte miss ratio 0.2211
result/cdn1_sjc.ns509.oracleGeneral.bin.zst ARC cache size     6730, 1497698 req, miss ratio 0.0993, byte miss ratio 0.0993
result/cdn1_sjc.ns509.oracleGeneral.bin.zst ARC cache size    13461, 1497698 req, miss ratio 0.0375, byte miss ratio 0.0375
result/cdn1_sjc.ns509.oracleGeneral.bin.zst ARC cache size    26923, 1497698 req, miss ratio 0.0233, byte miss ratio 0.0233
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-1 cache size       33, 1497698 req, miss ratio 0.7867, byte miss ratio 0.7867
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-1 cache size      100, 1497698 req, miss ratio 0.6787, byte miss ratio 0.6787
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-1 cache size      336, 1497698 req, miss ratio 0.5335, byte miss ratio 0.5335
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-1 cache size     1009, 1497698 req, miss ratio 0.3996, byte miss ratio 0.3996
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-1 cache size     3365, 1497698 req, miss ratio 0.2066, byte miss ratio 0.2066
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-1 cache size     6730, 1497698 req, miss ratio 0.0904, byte miss ratio 0.0904
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-1 cache size    13461, 1497698 req, miss ratio 0.0366, byte miss ratio 0.0366
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-1 cache size    26923, 1497698 req, miss ratio 0.0233, byte miss ratio 0.0233
result/cdn1_sjc.ns509.oracleGeneral.bin.zst clock2 cache size       33, 1497698 req, miss ratio 0.7287, byte miss ratio 0.7287
result/cdn1_sjc.ns509.oracleGeneral.bin.zst clock2 cache size      100, 1497698 req, miss ratio 0.6291, byte miss ratio 0.6291
