result/cdn1_sjc.ns626.oracleGeneral.bin.zst LHD cache size      156, 1736230 req, miss ratio 0.8581, byte miss ratio 0.8581
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LHD cache size      470, 1736230 req, miss ratio 0.7945, byte miss ratio 0.7945
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LHD cache size     1566, 1736230 req, miss ratio 0.6180, byte miss ratio 0.6180
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LHD cache size     4700, 1736230 req, miss ratio 0.3394, byte miss ratio 0.3394
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LHD cache size    15668, 1736230 req, miss ratio 0.1390, byte miss ratio 0.1390
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LHD cache size    31337, 1736230 req, miss ratio 0.1072, byte miss ratio 0.1072
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LHD cache size    62675, 1736230 req, miss ratio 0.0943, byte miss ratio 0.0943
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LHD cache size   125350, 1736230 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-1 cache size      156, 1736230 req, miss ratio 0.8439, byte miss ratio 0.8439
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-1 cache size      470, 1736230 req, miss ratio 0.7452, byte miss ratio 0.7452
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-1 cache size     1566, 1736230 req, miss ratio 0.5431, byte miss ratio 0.5431
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-1 cache size     4700, 1736230 req, miss ratio 0.2900, byte miss ratio 0.2900
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-1 cache size    15668, 1736230 req, miss ratio 0.1282, byte miss ratio 0.1282
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-1 cache size    31337, 1736230 req, miss ratio 0.1015, byte miss ratio 0.1015
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-1 cache size    62675, 1736230 req, miss ratio 0.0929, byte miss ratio 0.0929
