result/cdn2_allcolo.ns1066.oracleGeneral.zst Cacheus cache size        9, 5848557 req, miss ratio 0.0439, byte miss ratio 0.0439
result/cdn2_allcolo.ns1066.oracleGeneral.zst Cacheus cache size       27, 5848557 req, miss ratio 0.0280, byte miss ratio 0.0280
result/cdn2_allcolo.ns1066.oracleGeneral.zst Cacheus cache size       90, 5848557 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns1066.oracleGeneral.zst Cacheus cache size      270, 5848557 req, miss ratio 0.0055, byte miss ratio 0.0055
result/cdn2_allcolo.ns1066.oracleGeneral.zst Cacheus cache size      900, 5848557 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns1066.oracleGeneral.zst Cacheus cache size     1800, 5848557 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns1066.oracleGeneral.zst Cacheus cache size     3600, 5848557 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns1066.oracleGeneral.zst Cacheus cache size     7200, 5848557 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns1066.oracleGeneral.zst ARC cache size        9, 5848557 req, miss ratio 0.0388, byte miss ratio 0.0388
result/cdn2_allcolo.ns1066.oracleGeneral.zst ARC cache size       27, 5848557 req, miss ratio 0.0259, byte miss ratio 0.0259
result/cdn2_allcolo.ns1066.oracleGeneral.zst ARC cache size       90, 5848557 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn2_allcolo.ns1066.oracleGeneral.zst ARC cache size      270, 5848557 req, miss ratio 0.0055, byte miss ratio 0.0055
result/cdn2_allcolo.ns1066.oracleGeneral.zst ARC cache size      900, 5848557 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns1066.oracleGeneral.zst ARC cache size     1800, 5848557 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns1066.oracleGeneral.zst ARC cache size     3600, 5848557 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns1066.oracleGeneral.zst ARC cache size     7200, 5848557 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns1066.oracleGeneral.zst LRU cache size        9, 5848557 req, miss ratio 0.0456, byte miss ratio 0.0456
result/cdn2_allcolo.ns1066.oracleGeneral.zst LRU cache size       27, 5848557 req, miss ratio 0.0294, byte miss ratio 0.0294
result/cdn2_allcolo.ns1066.oracleGeneral.zst LRU cache size       90, 5848557 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_allcolo.ns1066.oracleGeneral.zst LRU cache size      270, 5848557 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns1066.oracleGeneral.zst LRU cache size      900, 5848557 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns1066.oracleGeneral.zst LRU cache size     1800, 5848557 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns1066.oracleGeneral.zst LRU cache size     3600, 5848557 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns1066.oracleGeneral.zst LRU cache size     7200, 5848557 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns1066.oracleGeneral.zst FIFO cache size        9, 5848557 req, miss ratio 0.0589, byte miss ratio 0.0589
result/cdn2_allcolo.ns1066.oracleGeneral.zst FIFO cache size       27, 5848557 req, miss ratio 0.0360, byte miss ratio 0.0360
result/cdn2_allcolo.ns1066.oracleGeneral.zst FIFO cache size       90, 5848557 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn2_allcolo.ns1066.oracleGeneral.zst FIFO cache size      270, 5848557 req, miss ratio 0.0094, byte miss ratio 0.0094
result/cdn2_allcolo.ns1066.oracleGeneral.zst FIFO cache size      900, 5848557 req, miss ratio 0.0045, byte miss ratio 0.0045
result/cdn2_allcolo.ns1066.oracleGeneral.zst FIFO cache size     1800, 5848557 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns1066.oracleGeneral.zst FIFO cache size     3600, 5848557 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns1066.oracleGeneral.zst FIFO cache size     7200, 5848557 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO-1 cache size        9, 5848557 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO-1 cache size       27, 5848557 req, miss ratio 0.0245, byte miss ratio 0.0245
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO-1 cache size       90, 5848557 req, miss ratio 0.0114, byte miss ratio 0.0114
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO-1 cache size      270, 5848557 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO-1 cache size      900, 5848557 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO-1 cache size     1800, 5848557 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO-1 cache size     3600, 5848557 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO-1 cache size     7200, 5848557 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns1066.oracleGeneral.zst LIRS cache size        9, 5848557 req, miss ratio 0.0377, byte miss ratio 0.0377
result/cdn2_allcolo.ns1066.oracleGeneral.zst LIRS cache size       27, 5848557 req, miss ratio 0.0253, byte miss ratio 0.0253
result/cdn2_allcolo.ns1066.oracleGeneral.zst LIRS cache size       90, 5848557 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_allcolo.ns1066.oracleGeneral.zst LIRS cache size      270, 5848557 req, miss ratio 0.0055, byte miss ratio 0.0055
result/cdn2_allcolo.ns1066.oracleGeneral.zst LIRS cache size      900, 5848557 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns1066.oracleGeneral.zst LIRS cache size     1800, 5848557 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns1066.oracleGeneral.zst LIRS cache size     3600, 5848557 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns1066.oracleGeneral.zst LIRS cache size     7200, 5848557 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns1066.oracleGeneral.zst LHD cache size        9, 5848557 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn2_allcolo.ns1066.oracleGeneral.zst LHD cache size       27, 5848557 req, miss ratio 0.0281, byte miss ratio 0.0281
result/cdn2_allcolo.ns1066.oracleGeneral.zst LHD cache size       90, 5848557 req, miss ratio 0.0130, byte miss ratio 0.0130
result/cdn2_allcolo.ns1066.oracleGeneral.zst LHD cache size      270, 5848557 req, miss ratio 0.0061, byte miss ratio 0.0061
result/cdn2_allcolo.ns1066.oracleGeneral.zst LHD cache size      900, 5848557 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_allcolo.ns1066.oracleGeneral.zst LHD cache size     1800, 5848557 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns1066.oracleGeneral.zst LHD cache size     3600, 5848557 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns1066.oracleGeneral.zst LHD cache size     7200, 5848557 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns1066.oracleGeneral.zst Clock cache size        9, 5848557 req, miss ratio 0.0443, byte miss ratio 0.0443
result/cdn2_allcolo.ns1066.oracleGeneral.zst Clock cache size       27, 5848557 req, miss ratio 0.0288, byte miss ratio 0.0288
result/cdn2_allcolo.ns1066.oracleGeneral.zst Clock cache size       90, 5848557 req, miss ratio 0.0144, byte miss ratio 0.0144
result/cdn2_allcolo.ns1066.oracleGeneral.zst Clock cache size      270, 5848557 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1066.oracleGeneral.zst Clock cache size      900, 5848557 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_allcolo.ns1066.oracleGeneral.zst Clock cache size     1800, 5848557 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns1066.oracleGeneral.zst Clock cache size     3600, 5848557 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns1066.oracleGeneral.zst Clock cache size     7200, 5848557 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns1066.oracleGeneral.zst LeCaR cache size        9, 5848557 req, miss ratio 0.0404, byte miss ratio 0.0404
result/cdn2_allcolo.ns1066.oracleGeneral.zst LeCaR cache size       27, 5848557 req, miss ratio 0.0280, byte miss ratio 0.0280
result/cdn2_allcolo.ns1066.oracleGeneral.zst LeCaR cache size       90, 5848557 req, miss ratio 0.0135, byte miss ratio 0.0135
result/cdn2_allcolo.ns1066.oracleGeneral.zst LeCaR cache size      270, 5848557 req, miss ratio 0.0062, byte miss ratio 0.0062
result/cdn2_allcolo.ns1066.oracleGeneral.zst LeCaR cache size      900, 5848557 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_allcolo.ns1066.oracleGeneral.zst LeCaR cache size     1800, 5848557 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns1066.oracleGeneral.zst LeCaR cache size     3600, 5848557 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns1066.oracleGeneral.zst LeCaR cache size     7200, 5848557 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns1066.oracleGeneral.zst clock2 cache size        9, 5848557 req, miss ratio 0.0417, byte miss ratio 0.0417
result/cdn2_allcolo.ns1066.oracleGeneral.zst clock2 cache size       27, 5848557 req, miss ratio 0.0278, byte miss ratio 0.0278
result/cdn2_allcolo.ns1066.oracleGeneral.zst clock2 cache size       90, 5848557 req, miss ratio 0.0134, byte miss ratio 0.0134
result/cdn2_allcolo.ns1066.oracleGeneral.zst clock2 cache size      270, 5848557 req, miss ratio 0.0061, byte miss ratio 0.0061
