result/cdn2_allcolo.ns1180.oracleGeneral.zst clock2 cache size      190, 4271180 req, miss ratio 0.8515, byte miss ratio 0.8515
result/cdn2_allcolo.ns1180.oracleGeneral.zst clock2 cache size      572, 4271180 req, miss ratio 0.7341, byte miss ratio 0.7341
result/cdn2_allcolo.ns1180.oracleGeneral.zst clock2 cache size     1907, 4271180 req, miss ratio 0.5648, byte miss ratio 0.5648
result/cdn2_allcolo.ns1180.oracleGeneral.zst clock2 cache size     5721, 4271180 req, miss ratio 0.3867, byte miss ratio 0.3867
result/cdn2_allcolo.ns1180.oracleGeneral.zst clock2 cache size    19070, 4271180 req, miss ratio 0.1981, byte miss ratio 0.1981
result/cdn2_allcolo.ns1180.oracleGeneral.zst clock2 cache size    38141, 4271180 req, miss ratio 0.1169, byte miss ratio 0.1169
result/cdn2_allcolo.ns1180.oracleGeneral.zst clock2 cache size    76282, 4271180 req, miss ratio 0.0664, byte miss ratio 0.0664
result/cdn2_allcolo.ns1180.oracleGeneral.zst clock2 cache size   152564, 4271180 req, miss ratio 0.0460, byte miss ratio 0.0460
result/cdn2_allcolo.ns1180.oracleGeneral.zst ARC cache size      190, 4271180 req, miss ratio 0.7735, byte miss ratio 0.7735
result/cdn2_allcolo.ns1180.oracleGeneral.zst ARC cache size      572, 4271180 req, miss ratio 0.6554, byte miss ratio 0.6554
result/cdn2_allcolo.ns1180.oracleGeneral.zst ARC cache size     1907, 4271180 req, miss ratio 0.5030, byte miss ratio 0.5030
result/cdn2_allcolo.ns1180.oracleGeneral.zst ARC cache size     5721, 4271180 req, miss ratio 0.3490, byte miss ratio 0.3490
result/cdn2_allcolo.ns1180.oracleGeneral.zst ARC cache size    19070, 4271180 req, miss ratio 0.1865, byte miss ratio 0.1865
result/cdn2_allcolo.ns1180.oracleGeneral.zst ARC cache size    38141, 4271180 req, miss ratio 0.1134, byte miss ratio 0.1134
result/cdn2_allcolo.ns1180.oracleGeneral.zst ARC cache size    76282, 4271180 req, miss ratio 0.0659, byte miss ratio 0.0659
