result/cdn2_allcolo.ns1189.oracleGeneral.zst LRU cache size      278, 17796147 req, miss ratio 0.8813, byte miss ratio 0.8813
result/cdn2_allcolo.ns1189.oracleGeneral.zst LRU cache size      834, 17796147 req, miss ratio 0.7468, byte miss ratio 0.7468
result/cdn2_allcolo.ns1189.oracleGeneral.zst LRU cache size     2780, 17796147 req, miss ratio 0.5171, byte miss ratio 0.5171
result/cdn2_allcolo.ns1189.oracleGeneral.zst LRU cache size     8340, 17796147 req, miss ratio 0.3010, byte miss ratio 0.3010
result/cdn2_allcolo.ns1189.oracleGeneral.zst LRU cache size    27801, 17796147 req, miss ratio 0.1262, byte miss ratio 0.1262
result/cdn2_allcolo.ns1189.oracleGeneral.zst LRU cache size    55602, 17796147 req, miss ratio 0.0635, byte miss ratio 0.0635
result/cdn2_allcolo.ns1189.oracleGeneral.zst LRU cache size   111204, 17796147 req, miss ratio 0.0289, byte miss ratio 0.0289
result/cdn2_allcolo.ns1189.oracleGeneral.zst LRU cache size   222409, 17796147 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_allcolo.ns1189.oracleGeneral.zst ARC cache size      278, 17796147 req, miss ratio 0.7898, byte miss ratio 0.7898
result/cdn2_allcolo.ns1189.oracleGeneral.zst ARC cache size      834, 17796147 req, miss ratio 0.6356, byte miss ratio 0.6356
result/cdn2_allcolo.ns1189.oracleGeneral.zst ARC cache size     2780, 17796147 req, miss ratio 0.4338, byte miss ratio 0.4338
result/cdn2_allcolo.ns1189.oracleGeneral.zst ARC cache size     8340, 17796147 req, miss ratio 0.2668, byte miss ratio 0.2668
result/cdn2_allcolo.ns1189.oracleGeneral.zst ARC cache size    27801, 17796147 req, miss ratio 0.1171, byte miss ratio 0.1171
result/cdn2_allcolo.ns1189.oracleGeneral.zst ARC cache size    55602, 17796147 req, miss ratio 0.0596, byte miss ratio 0.0596
result/cdn2_allcolo.ns1189.oracleGeneral.zst ARC cache size   111204, 17796147 req, miss ratio 0.0268, byte miss ratio 0.0268
result/cdn2_allcolo.ns1189.oracleGeneral.zst ARC cache size   222409, 17796147 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_allcolo.ns1189.oracleGeneral.zst Clock cache size      278, 17796147 req, miss ratio 0.8742, byte miss ratio 0.8742
result/cdn2_allcolo.ns1189.oracleGeneral.zst Clock cache size      834, 17796147 req, miss ratio 0.7322, byte miss ratio 0.7322
result/cdn2_allcolo.ns1189.oracleGeneral.zst Clock cache size     2780, 17796147 req, miss ratio 0.4988, byte miss ratio 0.4988
result/cdn2_allcolo.ns1189.oracleGeneral.zst Clock cache size     8340, 17796147 req, miss ratio 0.2904, byte miss ratio 0.2904
result/cdn2_allcolo.ns1189.oracleGeneral.zst Clock cache size    27801, 17796147 req, miss ratio 0.1217, byte miss ratio 0.1217
result/cdn2_allcolo.ns1189.oracleGeneral.zst Clock cache size    55602, 17796147 req, miss ratio 0.0611, byte miss ratio 0.0611
result/cdn2_allcolo.ns1189.oracleGeneral.zst Clock cache size   111204, 17796147 req, miss ratio 0.0279, byte miss ratio 0.0279
result/cdn2_allcolo.ns1189.oracleGeneral.zst Clock cache size   222409, 17796147 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_allcolo.ns1189.oracleGeneral.zst clock2 cache size      278, 17796147 req, miss ratio 0.8679, byte miss ratio 0.8679
result/cdn2_allcolo.ns1189.oracleGeneral.zst clock2 cache size      834, 17796147 req, miss ratio 0.7171, byte miss ratio 0.7171
result/cdn2_allcolo.ns1189.oracleGeneral.zst clock2 cache size     2780, 17796147 req, miss ratio 0.4768, byte miss ratio 0.4768
