result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-1 cache size       76, 2118317 req, miss ratio 0.5794, byte miss ratio 0.5794
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-1 cache size      229, 2118317 req, miss ratio 0.5147, byte miss ratio 0.5147
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-1 cache size      764, 2118317 req, miss ratio 0.4316, byte miss ratio 0.4316
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-1 cache size     2292, 2118317 req, miss ratio 0.3328, byte miss ratio 0.3328
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-1 cache size     7641, 2118317 req, miss ratio 0.2007, byte miss ratio 0.2007
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-1 cache size    15283, 2118317 req, miss ratio 0.1258, byte miss ratio 0.1258
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-1 cache size    30567, 2118317 req, miss ratio 0.0669, byte miss ratio 0.0669
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-1 cache size    61134, 2118317 req, miss ratio 0.0381, byte miss ratio 0.0381
result/cdn2_allcolo.ns1198.oracleGeneral.zst ARC cache size       76, 2118317 req, miss ratio 0.5879, byte miss ratio 0.5879
result/cdn2_allcolo.ns1198.oracleGeneral.zst ARC cache size      229, 2118317 req, miss ratio 0.5232, byte miss ratio 0.5232
result/cdn2_allcolo.ns1198.oracleGeneral.zst ARC cache size      764, 2118317 req, miss ratio 0.4402, byte miss ratio 0.4402
result/cdn2_allcolo.ns1198.oracleGeneral.zst ARC cache size     2292, 2118317 req, miss ratio 0.3418, byte miss ratio 0.3418
result/cdn2_allcolo.ns1198.oracleGeneral.zst ARC cache size     7641, 2118317 req, miss ratio 0.2093, byte miss ratio 0.2093
result/cdn2_allcolo.ns1198.oracleGeneral.zst ARC cache size    15283, 2118317 req, miss ratio 0.1324, byte miss ratio 0.1324
result/cdn2_allcolo.ns1198.oracleGeneral.zst ARC cache size    30567, 2118317 req, miss ratio 0.0690, byte miss ratio 0.0690
result/cdn2_allcolo.ns1198.oracleGeneral.zst ARC cache size    61134, 2118317 req, miss ratio 0.0381, byte miss ratio 0.0381
result/cdn2_allcolo.ns1198.oracleGeneral.zst Cacheus cache size       76, 2118317 req, miss ratio 0.6069, byte miss ratio 0.6069
result/cdn2_allcolo.ns1198.oracleGeneral.zst Cacheus cache size      229, 2118317 req, miss ratio 0.5405, byte miss ratio 0.5405
result/cdn2_allcolo.ns1198.oracleGeneral.zst Cacheus cache size      764, 2118317 req, miss ratio 0.4582, byte miss ratio 0.4582
result/cdn2_allcolo.ns1198.oracleGeneral.zst Cacheus cache size     2292, 2118317 req, miss ratio 0.3464, byte miss ratio 0.3464
result/cdn2_allcolo.ns1198.oracleGeneral.zst Cacheus cache size     7641, 2118317 req, miss ratio 0.2247, byte miss ratio 0.2247
