result/cdn2_allcolo.ns1457.oracleGeneral.zst clock2 cache size       54, 8539974 req, miss ratio 0.1030, byte miss ratio 0.1030
result/cdn2_allcolo.ns1457.oracleGeneral.zst clock2 cache size      163, 8539974 req, miss ratio 0.0397, byte miss ratio 0.0397
result/cdn2_allcolo.ns1457.oracleGeneral.zst clock2 cache size      546, 8539974 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_allcolo.ns1457.oracleGeneral.zst clock2 cache size     1638, 8539974 req, miss ratio 0.0075, byte miss ratio 0.0075
result/cdn2_allcolo.ns1457.oracleGeneral.zst clock2 cache size     5462, 8539974 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_allcolo.ns1457.oracleGeneral.zst clock2 cache size    10924, 8539974 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns1457.oracleGeneral.zst clock2 cache size    21849, 8539974 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1457.oracleGeneral.zst clock2 cache size    43699, 8539974 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns1457.oracleGeneral.zst LIRS cache size       54, 8539974 req, miss ratio 0.0869, byte miss ratio 0.0869
result/cdn2_allcolo.ns1457.oracleGeneral.zst LIRS cache size      163, 8539974 req, miss ratio 0.0377, byte miss ratio 0.0377
result/cdn2_allcolo.ns1457.oracleGeneral.zst LIRS cache size      546, 8539974 req, miss ratio 0.0119, byte miss ratio 0.0119
result/cdn2_allcolo.ns1457.oracleGeneral.zst LIRS cache size     1638, 8539974 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cdn2_allcolo.ns1457.oracleGeneral.zst LIRS cache size     5462, 8539974 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_allcolo.ns1457.oracleGeneral.zst LIRS cache size    10924, 8539974 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns1457.oracleGeneral.zst LIRS cache size    21849, 8539974 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1457.oracleGeneral.zst LIRS cache size    43699, 8539974 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns1457.oracleGeneral.zst LRU cache size       54, 8539974 req, miss ratio 0.1286, byte miss ratio 0.1286
result/cdn2_allcolo.ns1457.oracleGeneral.zst LRU cache size      163, 8539974 req, miss ratio 0.0428, byte miss ratio 0.0428
result/cdn2_allcolo.ns1457.oracleGeneral.zst LRU cache size      546, 8539974 req, miss ratio 0.0115, byte miss ratio 0.0115
result/cdn2_allcolo.ns1457.oracleGeneral.zst LRU cache size     1638, 8539974 req, miss ratio 0.0075, byte miss ratio 0.0075
result/cdn2_allcolo.ns1457.oracleGeneral.zst LRU cache size     5462, 8539974 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_allcolo.ns1457.oracleGeneral.zst LRU cache size    10924, 8539974 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns1457.oracleGeneral.zst LRU cache size    21849, 8539974 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1457.oracleGeneral.zst LRU cache size    43699, 8539974 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-1 cache size       54, 8539974 req, miss ratio 0.0873, byte miss ratio 0.0873
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-1 cache size      163, 8539974 req, miss ratio 0.0373, byte miss ratio 0.0373
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-1 cache size      546, 8539974 req, miss ratio 0.0097, byte miss ratio 0.0097
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-1 cache size     1638, 8539974 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-1 cache size     5462, 8539974 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-1 cache size    10924, 8539974 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-1 cache size    21849, 8539974 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-1 cache size    43699, 8539974 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns1457.oracleGeneral.zst LHD cache size       54, 8539974 req, miss ratio 0.1168, byte miss ratio 0.1168
result/cdn2_allcolo.ns1457.oracleGeneral.zst LHD cache size      163, 8539974 req, miss ratio 0.0516, byte miss ratio 0.0516
result/cdn2_allcolo.ns1457.oracleGeneral.zst LHD cache size      546, 8539974 req, miss ratio 0.0125, byte miss ratio 0.0125
result/cdn2_allcolo.ns1457.oracleGeneral.zst LHD cache size     1638, 8539974 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns1457.oracleGeneral.zst LHD cache size     5462, 8539974 req, miss ratio 0.0068, byte miss ratio 0.0068
