result/cdn2_allcolo.ns1597.oracleGeneral.zst Cacheus cache size      330, 2226245 req, miss ratio 0.4564, byte miss ratio 0.4564
result/cdn2_allcolo.ns1597.oracleGeneral.zst Cacheus cache size      991, 2226245 req, miss ratio 0.3686, byte miss ratio 0.3686
result/cdn2_allcolo.ns1597.oracleGeneral.zst Cacheus cache size     3303, 2226245 req, miss ratio 0.2999, byte miss ratio 0.2999
result/cdn2_allcolo.ns1597.oracleGeneral.zst Cacheus cache size     9911, 2226245 req, miss ratio 0.2454, byte miss ratio 0.2454
result/cdn2_allcolo.ns1597.oracleGeneral.zst Cacheus cache size    33037, 2226245 req, miss ratio 0.1960, byte miss ratio 0.1960
result/cdn2_allcolo.ns1597.oracleGeneral.zst Cacheus cache size    66074, 2226245 req, miss ratio 0.1782, byte miss ratio 0.1782
result/cdn2_allcolo.ns1597.oracleGeneral.zst Cacheus cache size   132148, 2226245 req, miss ratio 0.1602, byte miss ratio 0.1602
result/cdn2_allcolo.ns1597.oracleGeneral.zst Cacheus cache size   264297, 2226245 req, miss ratio 0.1495, byte miss ratio 0.1495
result/cdn2_allcolo.ns1597.oracleGeneral.zst LHD cache size      330, 2226245 req, miss ratio 0.4621, byte miss ratio 0.4621
result/cdn2_allcolo.ns1597.oracleGeneral.zst LHD cache size      991, 2226245 req, miss ratio 0.3779, byte miss ratio 0.3779
result/cdn2_allcolo.ns1597.oracleGeneral.zst LHD cache size     3303, 2226245 req, miss ratio 0.3037, byte miss ratio 0.3037
result/cdn2_allcolo.ns1597.oracleGeneral.zst LHD cache size     9911, 2226245 req, miss ratio 0.2466, byte miss ratio 0.2466
result/cdn2_allcolo.ns1597.oracleGeneral.zst LHD cache size    33037, 2226245 req, miss ratio 0.1975, byte miss ratio 0.1975
result/cdn2_allcolo.ns1597.oracleGeneral.zst LHD cache size    66074, 2226245 req, miss ratio 0.1754, byte miss ratio 0.1754
result/cdn2_allcolo.ns1597.oracleGeneral.zst LHD cache size   132148, 2226245 req, miss ratio 0.1595, byte miss ratio 0.1595
result/cdn2_allcolo.ns1597.oracleGeneral.zst LHD cache size   264297, 2226245 req, miss ratio 0.1498, byte miss ratio 0.1498
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-1 cache size      330, 2226245 req, miss ratio 0.4351, byte miss ratio 0.4351
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-1 cache size      991, 2226245 req, miss ratio 0.3518, byte miss ratio 0.3518
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-1 cache size     3303, 2226245 req, miss ratio 0.2816, byte miss ratio 0.2816
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-1 cache size     9911, 2226245 req, miss ratio 0.2299, byte miss ratio 0.2299
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-1 cache size    33037, 2226245 req, miss ratio 0.1857, byte miss ratio 0.1857
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-1 cache size    66074, 2226245 req, miss ratio 0.1685, byte miss ratio 0.1685
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-1 cache size   132148, 2226245 req, miss ratio 0.1563, byte miss ratio 0.1563
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-1 cache size   264297, 2226245 req, miss ratio 0.1491, byte miss ratio 0.1491
result/cdn2_allcolo.ns1597.oracleGeneral.zst Clock cache size      330, 2226245 req, miss ratio 0.4588, byte miss ratio 0.4588
result/cdn2_allcolo.ns1597.oracleGeneral.zst Clock cache size      991, 2226245 req, miss ratio 0.3821, byte miss ratio 0.3821
result/cdn2_allcolo.ns1597.oracleGeneral.zst Clock cache size     3303, 2226245 req, miss ratio 0.3120, byte miss ratio 0.3120
result/cdn2_allcolo.ns1597.oracleGeneral.zst Clock cache size     9911, 2226245 req, miss ratio 0.2548, byte miss ratio 0.2548
result/cdn2_allcolo.ns1597.oracleGeneral.zst Clock cache size    33037, 2226245 req, miss ratio 0.2036, byte miss ratio 0.2036
result/cdn2_allcolo.ns1597.oracleGeneral.zst Clock cache size    66074, 2226245 req, miss ratio 0.1781, byte miss ratio 0.1781
result/cdn2_allcolo.ns1597.oracleGeneral.zst Clock cache size   132148, 2226245 req, miss ratio 0.1591, byte miss ratio 0.1591
result/cdn2_allcolo.ns1597.oracleGeneral.zst Clock cache size   264297, 2226245 req, miss ratio 0.1491, byte miss ratio 0.1491
result/cdn2_allcolo.ns1597.oracleGeneral.zst LIRS cache size      330, 2226245 req, miss ratio 0.5169, byte miss ratio 0.5169
result/cdn2_allcolo.ns1597.oracleGeneral.zst LIRS cache size      991, 2226245 req, miss ratio 0.4106, byte miss ratio 0.4106
result/cdn2_allcolo.ns1597.oracleGeneral.zst LIRS cache size     3303, 2226245 req, miss ratio 0.3042, byte miss ratio 0.3042
result/cdn2_allcolo.ns1597.oracleGeneral.zst LIRS cache size     9911, 2226245 req, miss ratio 0.2426, byte miss ratio 0.2426
result/cdn2_allcolo.ns1597.oracleGeneral.zst LIRS cache size    33037, 2226245 req, miss ratio 0.1906, byte miss ratio 0.1906
result/cdn2_allcolo.ns1597.oracleGeneral.zst LIRS cache size    66074, 2226245 req, miss ratio 0.1700, byte miss ratio 0.1700
result/cdn2_allcolo.ns1597.oracleGeneral.zst LIRS cache size   132148, 2226245 req, miss ratio 0.1572, byte miss ratio 0.1572
result/cdn2_allcolo.ns1597.oracleGeneral.zst LIRS cache size   264297, 2226245 req, miss ratio 0.1492, byte miss ratio 0.1492
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRU cache size      330, 2226245 req, miss ratio 0.4609, byte miss ratio 0.4609
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRU cache size      991, 2226245 req, miss ratio 0.3842, byte miss ratio 0.3842
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRU cache size     3303, 2226245 req, miss ratio 0.3140, byte miss ratio 0.3140
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRU cache size     9911, 2226245 req, miss ratio 0.2563, byte miss ratio 0.2563
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRU cache size    33037, 2226245 req, miss ratio 0.2052, byte miss ratio 0.2052
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRU cache size    66074, 2226245 req, miss ratio 0.1791, byte miss ratio 0.1791
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRU cache size   132148, 2226245 req, miss ratio 0.1596, byte miss ratio 0.1596
result/cdn2_allcolo.ns1597.oracleGeneral.zst LRU cache size   264297, 2226245 req, miss ratio 0.1492, byte miss ratio 0.1492
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO cache size      330, 2226245 req, miss ratio 0.4977, byte miss ratio 0.4977
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO cache size      991, 2226245 req, miss ratio 0.4169, byte miss ratio 0.4169
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO cache size     3303, 2226245 req, miss ratio 0.3419, byte miss ratio 0.3419
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO cache size     9911, 2226245 req, miss ratio 0.2810, byte miss ratio 0.2810
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO cache size    33037, 2226245 req, miss ratio 0.2247, byte miss ratio 0.2247
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO cache size    66074, 2226245 req, miss ratio 0.1966, byte miss ratio 0.1966
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO cache size   132148, 2226245 req, miss ratio 0.1725, byte miss ratio 0.1725
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO cache size   264297, 2226245 req, miss ratio 0.1552, byte miss ratio 0.1552
result/cdn2_allcolo.ns1597.oracleGeneral.zst LeCaR cache size      330, 2226245 req, miss ratio 0.4548, byte miss ratio 0.4548
result/cdn2_allcolo.ns1597.oracleGeneral.zst LeCaR cache size      991, 2226245 req, miss ratio 0.3754, byte miss ratio 0.3754
result/cdn2_allcolo.ns1597.oracleGeneral.zst LeCaR cache size     3303, 2226245 req, miss ratio 0.3047, byte miss ratio 0.3047
result/cdn2_allcolo.ns1597.oracleGeneral.zst LeCaR cache size     9911, 2226245 req, miss ratio 0.2492, byte miss ratio 0.2492
result/cdn2_allcolo.ns1597.oracleGeneral.zst LeCaR cache size    33037, 2226245 req, miss ratio 0.1972, byte miss ratio 0.1972
result/cdn2_allcolo.ns1597.oracleGeneral.zst LeCaR cache size    66074, 2226245 req, miss ratio 0.1753, byte miss ratio 0.1753
result/cdn2_allcolo.ns1597.oracleGeneral.zst LeCaR cache size   132148, 2226245 req, miss ratio 0.1587, byte miss ratio 0.1587
result/cdn2_allcolo.ns1597.oracleGeneral.zst LeCaR cache size   264297, 2226245 req, miss ratio 0.1492, byte miss ratio 0.1492
result/cdn2_allcolo.ns1597.oracleGeneral.zst ARC cache size      330, 2226245 req, miss ratio 0.4512, byte miss ratio 0.4512
result/cdn2_allcolo.ns1597.oracleGeneral.zst ARC cache size      991, 2226245 req, miss ratio 0.3733, byte miss ratio 0.3733
