result/cdn2_allcolo.ns238.oracleGeneral.zst LeCaR cache size        5, 1519690 req, miss ratio 0.6630, byte miss ratio 0.6630
result/cdn2_allcolo.ns238.oracleGeneral.zst LeCaR cache size       19, 1519690 req, miss ratio 0.3766, byte miss ratio 0.3766
result/cdn2_allcolo.ns238.oracleGeneral.zst LeCaR cache size       59, 1519690 req, miss ratio 0.0848, byte miss ratio 0.0848
result/cdn2_allcolo.ns238.oracleGeneral.zst LeCaR cache size      197, 1519690 req, miss ratio 0.0085, byte miss ratio 0.0085
result/cdn2_allcolo.ns238.oracleGeneral.zst LeCaR cache size      394, 1519690 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns238.oracleGeneral.zst LeCaR cache size      789, 1519690 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns238.oracleGeneral.zst LeCaR cache size     1579, 1519690 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns238.oracleGeneral.zst LHD cache size        5, 1519690 req, miss ratio 0.6446, byte miss ratio 0.6446
result/cdn2_allcolo.ns238.oracleGeneral.zst LHD cache size       19, 1519690 req, miss ratio 0.3556, byte miss ratio 0.3556
result/cdn2_allcolo.ns238.oracleGeneral.zst LHD cache size       59, 1519690 req, miss ratio 0.0782, byte miss ratio 0.0782
result/cdn2_allcolo.ns238.oracleGeneral.zst LHD cache size      197, 1519690 req, miss ratio 0.0098, byte miss ratio 0.0098
result/cdn2_allcolo.ns238.oracleGeneral.zst LHD cache size      394, 1519690 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns238.oracleGeneral.zst LHD cache size      789, 1519690 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns238.oracleGeneral.zst LHD cache size     1579, 1519690 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns238.oracleGeneral.zst Clock cache size        5, 1519690 req, miss ratio 0.7040, byte miss ratio 0.7040
result/cdn2_allcolo.ns238.oracleGeneral.zst Clock cache size       19, 1519690 req, miss ratio 0.3924, byte miss ratio 0.3924
result/cdn2_allcolo.ns238.oracleGeneral.zst Clock cache size       59, 1519690 req, miss ratio 0.0933, byte miss ratio 0.0933
result/cdn2_allcolo.ns238.oracleGeneral.zst Clock cache size      197, 1519690 req, miss ratio 0.0093, byte miss ratio 0.0093
result/cdn2_allcolo.ns238.oracleGeneral.zst Clock cache size      394, 1519690 req, miss ratio 0.0027, byte miss ratio 0.0027
