result/cdn2_allcolo.ns247.oracleGeneral.zst LHD cache size       13, 2347927 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns247.oracleGeneral.zst LHD cache size       39, 2347927 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns247.oracleGeneral.zst LHD cache size      132, 2347927 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns247.oracleGeneral.zst LHD cache size      264, 2347927 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns247.oracleGeneral.zst LHD cache size      528, 2347927 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns247.oracleGeneral.zst LHD cache size     1056, 2347927 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns247.oracleGeneral.zst ARC cache size       13, 2347927 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns247.oracleGeneral.zst ARC cache size       39, 2347927 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns247.oracleGeneral.zst ARC cache size      132, 2347927 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns247.oracleGeneral.zst ARC cache size      264, 2347927 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns247.oracleGeneral.zst ARC cache size      528, 2347927 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns247.oracleGeneral.zst ARC cache size     1056, 2347927 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns247.oracleGeneral.zst LeCaR cache size       13, 2347927 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns247.oracleGeneral.zst LeCaR cache size       39, 2347927 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns247.oracleGeneral.zst LeCaR cache size      132, 2347927 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns247.oracleGeneral.zst LeCaR cache size      264, 2347927 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns247.oracleGeneral.zst LeCaR cache size      528, 2347927 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns247.oracleGeneral.zst LeCaR cache size     1056, 2347927 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns247.oracleGeneral.zst Clock cache size       13, 2347927 req, miss ratio 0.0025, byte miss ratio 0.0025
