result/cdn2_allcolo.ns256.oracleGeneral.zst FIFO cache size      594, 21236651 req, miss ratio 0.7010, byte miss ratio 0.7010
result/cdn2_allcolo.ns256.oracleGeneral.zst FIFO cache size     1782, 21236651 req, miss ratio 0.5574, byte miss ratio 0.5574
result/cdn2_allcolo.ns256.oracleGeneral.zst FIFO cache size     5941, 21236651 req, miss ratio 0.3675, byte miss ratio 0.3675
result/cdn2_allcolo.ns256.oracleGeneral.zst FIFO cache size    17824, 21236651 req, miss ratio 0.2031, byte miss ratio 0.2031
result/cdn2_allcolo.ns256.oracleGeneral.zst FIFO cache size    59415, 21236651 req, miss ratio 0.0877, byte miss ratio 0.0877
result/cdn2_allcolo.ns256.oracleGeneral.zst FIFO cache size   118830, 21236651 req, miss ratio 0.0605, byte miss ratio 0.0605
result/cdn2_allcolo.ns256.oracleGeneral.zst FIFO cache size   237661, 21236651 req, miss ratio 0.0407, byte miss ratio 0.0407
result/cdn2_allcolo.ns256.oracleGeneral.zst FIFO cache size   475322, 21236651 req, miss ratio 0.0317, byte miss ratio 0.0317
result/cdn2_allcolo.ns256.oracleGeneral.zst Clock cache size      594, 21236651 req, miss ratio 0.6795, byte miss ratio 0.6795
result/cdn2_allcolo.ns256.oracleGeneral.zst Clock cache size     1782, 21236651 req, miss ratio 0.5214, byte miss ratio 0.5214
result/cdn2_allcolo.ns256.oracleGeneral.zst Clock cache size     5941, 21236651 req, miss ratio 0.3137, byte miss ratio 0.3137
result/cdn2_allcolo.ns256.oracleGeneral.zst Clock cache size    17824, 21236651 req, miss ratio 0.1562, byte miss ratio 0.1562
result/cdn2_allcolo.ns256.oracleGeneral.zst Clock cache size    59415, 21236651 req, miss ratio 0.0636, byte miss ratio 0.0636
result/cdn2_allcolo.ns256.oracleGeneral.zst Clock cache size   118830, 21236651 req, miss ratio 0.0465, byte miss ratio 0.0465
result/cdn2_allcolo.ns256.oracleGeneral.zst Clock cache size   237661, 21236651 req, miss ratio 0.0325, byte miss ratio 0.0325
result/cdn2_allcolo.ns256.oracleGeneral.zst Clock cache size   475322, 21236651 req, miss ratio 0.0282, byte miss ratio 0.0282
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-1 cache size      594, 21236651 req, miss ratio 0.6783, byte miss ratio 0.6783
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-1 cache size     1782, 21236651 req, miss ratio 0.4853, byte miss ratio 0.4853
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-1 cache size     5941, 21236651 req, miss ratio 0.2757, byte miss ratio 0.2757
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-1 cache size    17824, 21236651 req, miss ratio 0.1343, byte miss ratio 0.1343
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-1 cache size    59415, 21236651 req, miss ratio 0.0565, byte miss ratio 0.0565
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-1 cache size   118830, 21236651 req, miss ratio 0.0420, byte miss ratio 0.0420
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-1 cache size   237661, 21236651 req, miss ratio 0.0317, byte miss ratio 0.0317
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-1 cache size   475322, 21236651 req, miss ratio 0.0282, byte miss ratio 0.0282
result/cdn2_allcolo.ns256.oracleGeneral.zst LeCaR cache size      594, 21236651 req, miss ratio 0.6813, byte miss ratio 0.6813
result/cdn2_allcolo.ns256.oracleGeneral.zst LeCaR cache size     1782, 21236651 req, miss ratio 0.5226, byte miss ratio 0.5226
result/cdn2_allcolo.ns256.oracleGeneral.zst LeCaR cache size     5941, 21236651 req, miss ratio 0.3034, byte miss ratio 0.3034
result/cdn2_allcolo.ns256.oracleGeneral.zst LeCaR cache size    17824, 21236651 req, miss ratio 0.1456, byte miss ratio 0.1456
result/cdn2_allcolo.ns256.oracleGeneral.zst LeCaR cache size    59415, 21236651 req, miss ratio 0.0608, byte miss ratio 0.0608
result/cdn2_allcolo.ns256.oracleGeneral.zst LeCaR cache size   118830, 21236651 req, miss ratio 0.0434, byte miss ratio 0.0434
result/cdn2_allcolo.ns256.oracleGeneral.zst LeCaR cache size   237661, 21236651 req, miss ratio 0.0317, byte miss ratio 0.0317
result/cdn2_allcolo.ns256.oracleGeneral.zst LeCaR cache size   475322, 21236651 req, miss ratio 0.0282, byte miss ratio 0.0282
result/cdn2_allcolo.ns256.oracleGeneral.zst ARC cache size      594, 21236651 req, miss ratio 0.6710, byte miss ratio 0.6710
result/cdn2_allcolo.ns256.oracleGeneral.zst ARC cache size     1782, 21236651 req, miss ratio 0.5170, byte miss ratio 0.5170
result/cdn2_allcolo.ns256.oracleGeneral.zst ARC cache size     5941, 21236651 req, miss ratio 0.3090, byte miss ratio 0.3090
result/cdn2_allcolo.ns256.oracleGeneral.zst ARC cache size    17824, 21236651 req, miss ratio 0.1513, byte miss ratio 0.1513
result/cdn2_allcolo.ns256.oracleGeneral.zst ARC cache size    59415, 21236651 req, miss ratio 0.0649, byte miss ratio 0.0649
