result/cdn2_allcolo.ns283.oracleGeneral.zst FIFO cache size       91, 34337798 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn2_allcolo.ns283.oracleGeneral.zst FIFO cache size      274, 34337798 req, miss ratio 0.0850, byte miss ratio 0.0850
result/cdn2_allcolo.ns283.oracleGeneral.zst FIFO cache size      915, 34337798 req, miss ratio 0.0249, byte miss ratio 0.0249
result/cdn2_allcolo.ns283.oracleGeneral.zst FIFO cache size     2745, 34337798 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_allcolo.ns283.oracleGeneral.zst FIFO cache size     9151, 34337798 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns283.oracleGeneral.zst FIFO cache size    18302, 34337798 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_allcolo.ns283.oracleGeneral.zst FIFO cache size    36604, 34337798 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns283.oracleGeneral.zst FIFO cache size    73208, 34337798 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns283.oracleGeneral.zst ARC cache size       91, 34337798 req, miss ratio 0.1269, byte miss ratio 0.1269
result/cdn2_allcolo.ns283.oracleGeneral.zst ARC cache size      274, 34337798 req, miss ratio 0.0498, byte miss ratio 0.0498
result/cdn2_allcolo.ns283.oracleGeneral.zst ARC cache size      915, 34337798 req, miss ratio 0.0137, byte miss ratio 0.0137
result/cdn2_allcolo.ns283.oracleGeneral.zst ARC cache size     2745, 34337798 req, miss ratio 0.0050, byte miss ratio 0.0050
result/cdn2_allcolo.ns283.oracleGeneral.zst ARC cache size     9151, 34337798 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_allcolo.ns283.oracleGeneral.zst ARC cache size    18302, 34337798 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns283.oracleGeneral.zst ARC cache size    36604, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst ARC cache size    73208, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-1 cache size       91, 34337798 req, miss ratio 0.1207, byte miss ratio 0.1207
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-1 cache size      274, 34337798 req, miss ratio 0.0471, byte miss ratio 0.0471
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-1 cache size      915, 34337798 req, miss ratio 0.0131, byte miss ratio 0.0131
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-1 cache size     2745, 34337798 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-1 cache size     9151, 34337798 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-1 cache size    18302, 34337798 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-1 cache size    36604, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-1 cache size    73208, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
