result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-1 cache size      191, 4389451 req, miss ratio 0.7410, byte miss ratio 0.7410
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-1 cache size      573, 4389451 req, miss ratio 0.6293, byte miss ratio 0.6293
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-1 cache size     1912, 4389451 req, miss ratio 0.4816, byte miss ratio 0.4816
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-1 cache size     5738, 4389451 req, miss ratio 0.3325, byte miss ratio 0.3325
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-1 cache size    19126, 4389451 req, miss ratio 0.1755, byte miss ratio 0.1755
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-1 cache size    38253, 4389451 req, miss ratio 0.1062, byte miss ratio 0.1062
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-1 cache size    76507, 4389451 req, miss ratio 0.0628, byte miss ratio 0.0628
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-1 cache size   153014, 4389451 req, miss ratio 0.0449, byte miss ratio 0.0449
result/cdn2_allcolo.ns2901.oracleGeneral.zst LIRS cache size      191, 4389451 req, miss ratio 0.7540, byte miss ratio 0.7540
result/cdn2_allcolo.ns2901.oracleGeneral.zst LIRS cache size      573, 4389451 req, miss ratio 0.6421, byte miss ratio 0.6421
result/cdn2_allcolo.ns2901.oracleGeneral.zst LIRS cache size     1912, 4389451 req, miss ratio 0.4921, byte miss ratio 0.4921
result/cdn2_allcolo.ns2901.oracleGeneral.zst LIRS cache size     5738, 4389451 req, miss ratio 0.3416, byte miss ratio 0.3416
result/cdn2_allcolo.ns2901.oracleGeneral.zst LIRS cache size    19126, 4389451 req, miss ratio 0.1815, byte miss ratio 0.1815
result/cdn2_allcolo.ns2901.oracleGeneral.zst LIRS cache size    38253, 4389451 req, miss ratio 0.1082, byte miss ratio 0.1082
result/cdn2_allcolo.ns2901.oracleGeneral.zst LIRS cache size    76507, 4389451 req, miss ratio 0.0637, byte miss ratio 0.0637
result/cdn2_allcolo.ns2901.oracleGeneral.zst LIRS cache size   153014, 4389451 req, miss ratio 0.0455, byte miss ratio 0.0455
result/cdn2_allcolo.ns2901.oracleGeneral.zst Clock cache size      191, 4389451 req, miss ratio 0.8433, byte miss ratio 0.8433
result/cdn2_allcolo.ns2901.oracleGeneral.zst Clock cache size      573, 4389451 req, miss ratio 0.7295, byte miss ratio 0.7295
result/cdn2_allcolo.ns2901.oracleGeneral.zst Clock cache size     1912, 4389451 req, miss ratio 0.5685, byte miss ratio 0.5685
result/cdn2_allcolo.ns2901.oracleGeneral.zst Clock cache size     5738, 4389451 req, miss ratio 0.3944, byte miss ratio 0.3944
result/cdn2_allcolo.ns2901.oracleGeneral.zst Clock cache size    19126, 4389451 req, miss ratio 0.2069, byte miss ratio 0.2069
result/cdn2_allcolo.ns2901.oracleGeneral.zst Clock cache size    38253, 4389451 req, miss ratio 0.1220, byte miss ratio 0.1220
result/cdn2_allcolo.ns2901.oracleGeneral.zst Clock cache size    76507, 4389451 req, miss ratio 0.0668, byte miss ratio 0.0668
