result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-1 cache size        6, 1473529 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-1 cache size       20, 1473529 req, miss ratio 0.3461, byte miss ratio 0.3461
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-1 cache size       67, 1473529 req, miss ratio 0.1307, byte miss ratio 0.1307
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-1 cache size      134, 1473529 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-1 cache size      268, 1473529 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-1 cache size      537, 1473529 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3142.oracleGeneral.zst clock2 cache size        6, 1473529 req, miss ratio 0.7642, byte miss ratio 0.7642
result/cdn2_allcolo.ns3142.oracleGeneral.zst clock2 cache size       20, 1473529 req, miss ratio 0.3977, byte miss ratio 0.3977
result/cdn2_allcolo.ns3142.oracleGeneral.zst clock2 cache size       67, 1473529 req, miss ratio 0.1402, byte miss ratio 0.1402
result/cdn2_allcolo.ns3142.oracleGeneral.zst clock2 cache size      134, 1473529 req, miss ratio 0.0400, byte miss ratio 0.0400
result/cdn2_allcolo.ns3142.oracleGeneral.zst clock2 cache size      268, 1473529 req, miss ratio 0.0045, byte miss ratio 0.0045
result/cdn2_allcolo.ns3142.oracleGeneral.zst clock2 cache size      537, 1473529 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3142.oracleGeneral.zst FIFO cache size        6, 1473529 req, miss ratio 0.7961, byte miss ratio 0.7961
result/cdn2_allcolo.ns3142.oracleGeneral.zst FIFO cache size       20, 1473529 req, miss ratio 0.5223, byte miss ratio 0.5223
result/cdn2_allcolo.ns3142.oracleGeneral.zst FIFO cache size       67, 1473529 req, miss ratio 0.2165, byte miss ratio 0.2165
result/cdn2_allcolo.ns3142.oracleGeneral.zst FIFO cache size      134, 1473529 req, miss ratio 0.0826, byte miss ratio 0.0826
result/cdn2_allcolo.ns3142.oracleGeneral.zst FIFO cache size      268, 1473529 req, miss ratio 0.0135, byte miss ratio 0.0135
result/cdn2_allcolo.ns3142.oracleGeneral.zst FIFO cache size      537, 1473529 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns3142.oracleGeneral.zst LRU cache size        6, 1473529 req, miss ratio 0.7833, byte miss ratio 0.7833
result/cdn2_allcolo.ns3142.oracleGeneral.zst LRU cache size       20, 1473529 req, miss ratio 0.4539, byte miss ratio 0.4539
result/cdn2_allcolo.ns3142.oracleGeneral.zst LRU cache size       67, 1473529 req, miss ratio 0.1599, byte miss ratio 0.1599
result/cdn2_allcolo.ns3142.oracleGeneral.zst LRU cache size      134, 1473529 req, miss ratio 0.0484, byte miss ratio 0.0484
result/cdn2_allcolo.ns3142.oracleGeneral.zst LRU cache size      268, 1473529 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn2_allcolo.ns3142.oracleGeneral.zst LRU cache size      537, 1473529 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3142.oracleGeneral.zst LeCaR cache size        6, 1473529 req, miss ratio 0.7403, byte miss ratio 0.7403
result/cdn2_allcolo.ns3142.oracleGeneral.zst LeCaR cache size       20, 1473529 req, miss ratio 0.3992, byte miss ratio 0.3992
result/cdn2_allcolo.ns3142.oracleGeneral.zst LeCaR cache size       67, 1473529 req, miss ratio 0.1448, byte miss ratio 0.1448
result/cdn2_allcolo.ns3142.oracleGeneral.zst LeCaR cache size      134, 1473529 req, miss ratio 0.0418, byte miss ratio 0.0418
result/cdn2_allcolo.ns3142.oracleGeneral.zst LeCaR cache size      268, 1473529 req, miss ratio 0.0045, byte miss ratio 0.0045
result/cdn2_allcolo.ns3142.oracleGeneral.zst LeCaR cache size      537, 1473529 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3142.oracleGeneral.zst Cacheus cache size        6, 1473529 req, miss ratio 0.7067, byte miss ratio 0.7067
result/cdn2_allcolo.ns3142.oracleGeneral.zst Cacheus cache size       20, 1473529 req, miss ratio 0.3566, byte miss ratio 0.3566
result/cdn2_allcolo.ns3142.oracleGeneral.zst Cacheus cache size       67, 1473529 req, miss ratio 0.1557, byte miss ratio 0.1557
result/cdn2_allcolo.ns3142.oracleGeneral.zst Cacheus cache size      134, 1473529 req, miss ratio 0.0361, byte miss ratio 0.0361
result/cdn2_allcolo.ns3142.oracleGeneral.zst Cacheus cache size      268, 1473529 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns3142.oracleGeneral.zst Cacheus cache size      537, 1473529 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3142.oracleGeneral.zst LHD cache size        6, 1473529 req, miss ratio 0.6869, byte miss ratio 0.6869
result/cdn2_allcolo.ns3142.oracleGeneral.zst LHD cache size       20, 1473529 req, miss ratio 0.3727, byte miss ratio 0.3727
result/cdn2_allcolo.ns3142.oracleGeneral.zst LHD cache size       67, 1473529 req, miss ratio 0.1214, byte miss ratio 0.1214
result/cdn2_allcolo.ns3142.oracleGeneral.zst LHD cache size      134, 1473529 req, miss ratio 0.0437, byte miss ratio 0.0437
result/cdn2_allcolo.ns3142.oracleGeneral.zst LHD cache size      268, 1473529 req, miss ratio 0.0056, byte miss ratio 0.0056
result/cdn2_allcolo.ns3142.oracleGeneral.zst LHD cache size      537, 1473529 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3142.oracleGeneral.zst LIRS cache size        6, 1473529 req, miss ratio 0.6826, byte miss ratio 0.6826
result/cdn2_allcolo.ns3142.oracleGeneral.zst LIRS cache size       20, 1473529 req, miss ratio 0.3566, byte miss ratio 0.3566
result/cdn2_allcolo.ns3142.oracleGeneral.zst LIRS cache size       67, 1473529 req, miss ratio 0.1284, byte miss ratio 0.1284
result/cdn2_allcolo.ns3142.oracleGeneral.zst LIRS cache size      134, 1473529 req, miss ratio 0.0376, byte miss ratio 0.0376
result/cdn2_allcolo.ns3142.oracleGeneral.zst LIRS cache size      268, 1473529 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn2_allcolo.ns3142.oracleGeneral.zst LIRS cache size      537, 1473529 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3142.oracleGeneral.zst Clock cache size        6, 1473529 req, miss ratio 0.7741, byte miss ratio 0.7741
result/cdn2_allcolo.ns3142.oracleGeneral.zst Clock cache size       20, 1473529 req, miss ratio 0.4323, byte miss ratio 0.4323
result/cdn2_allcolo.ns3142.oracleGeneral.zst Clock cache size       67, 1473529 req, miss ratio 0.1526, byte miss ratio 0.1526
result/cdn2_allcolo.ns3142.oracleGeneral.zst Clock cache size      134, 1473529 req, miss ratio 0.0454, byte miss ratio 0.0454
result/cdn2_allcolo.ns3142.oracleGeneral.zst Clock cache size      268, 1473529 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_allcolo.ns3142.oracleGeneral.zst Clock cache size      537, 1473529 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3142.oracleGeneral.zst ARC cache size        6, 1473529 req, miss ratio 0.7051, byte miss ratio 0.7051
result/cdn2_allcolo.ns3142.oracleGeneral.zst ARC cache size       20, 1473529 req, miss ratio 0.3777, byte miss ratio 0.3777
result/cdn2_allcolo.ns3142.oracleGeneral.zst ARC cache size       67, 1473529 req, miss ratio 0.1422, byte miss ratio 0.1422
result/cdn2_allcolo.ns3142.oracleGeneral.zst ARC cache size      134, 1473529 req, miss ratio 0.0428, byte miss ratio 0.0428
result/cdn2_allcolo.ns3142.oracleGeneral.zst ARC cache size      268, 1473529 req, miss ratio 0.0050, byte miss ratio 0.0050
result/cdn2_allcolo.ns3142.oracleGeneral.zst ARC cache size      537, 1473529 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-d-1 cache size        6, 1473529 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-d-1 cache size       20, 1473529 req, miss ratio 0.3418, byte miss ratio 0.3418
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-d-1 cache size       67, 1473529 req, miss ratio 0.1313, byte miss ratio 0.1313
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-d-1 cache size      134, 1473529 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-d-1 cache size      268, 1473529 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-d-1 cache size      537, 1473529 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3142.oracleGeneral.zst LRB cache size        6, 1473529 req, miss ratio 0.6385, byte miss ratio 0.6385
result/cdn2_allcolo.ns3142.oracleGeneral.zst LRB cache size       20, 1473529 req, miss ratio 0.3285, byte miss ratio 0.3285
result/cdn2_allcolo.ns3142.oracleGeneral.zst LRB cache size       67, 1473529 req, miss ratio 0.1109, byte miss ratio 0.1109
result/cdn2_allcolo.ns3142.oracleGeneral.zst LRB cache size      134, 1473529 req, miss ratio 0.0333, byte miss ratio 0.0333
result/cdn2_allcolo.ns3142.oracleGeneral.zst LRB cache size      268, 1473529 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns3142.oracleGeneral.zst LRB cache size      537, 1473529 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3142.oracleGeneral.zst TwoQ cache size        6, 1473529 req, miss ratio 0.6998, byte miss ratio 0.6998
result/cdn2_allcolo.ns3142.oracleGeneral.zst TwoQ cache size       20, 1473529 req, miss ratio 0.3857, byte miss ratio 0.3857
result/cdn2_allcolo.ns3142.oracleGeneral.zst TwoQ cache size       67, 1473529 req, miss ratio 0.1496, byte miss ratio 0.1496
result/cdn2_allcolo.ns3142.oracleGeneral.zst TwoQ cache size      134, 1473529 req, miss ratio 0.0505, byte miss ratio 0.0505
result/cdn2_allcolo.ns3142.oracleGeneral.zst TwoQ cache size      268, 1473529 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns3142.oracleGeneral.zst TwoQ cache size      537, 1473529 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns3142.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        6, 1473529 req, miss ratio 0.7961, byte miss ratio 0.7961
result/cdn2_allcolo.ns3142.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       20, 1473529 req, miss ratio 0.5223, byte miss ratio 0.5223
result/cdn2_allcolo.ns3142.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       67, 1473529 req, miss ratio 0.2165, byte miss ratio 0.2165
result/cdn2_allcolo.ns3142.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      134, 1473529 req, miss ratio 0.0570, byte miss ratio 0.0570
result/cdn2_allcolo.ns3142.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      268, 1473529 req, miss ratio 0.0076, byte miss ratio 0.0076
result/cdn2_allcolo.ns3142.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      537, 1473529 req, miss ratio 0.0007, byte miss ratio 0.0007
