result/cdn2_allcolo.ns320.oracleGeneral.zst Cacheus cache size       25, 17861451 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns320.oracleGeneral.zst Cacheus cache size       76, 17861451 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns320.oracleGeneral.zst Cacheus cache size      253, 17861451 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns320.oracleGeneral.zst Cacheus cache size      760, 17861451 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns320.oracleGeneral.zst Cacheus cache size     2535, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst Cacheus cache size     5071, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst Cacheus cache size    10143, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst Cacheus cache size    20287, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst LHD cache size       25, 17861451 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns320.oracleGeneral.zst LHD cache size       76, 17861451 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns320.oracleGeneral.zst LHD cache size      253, 17861451 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns320.oracleGeneral.zst LHD cache size      760, 17861451 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns320.oracleGeneral.zst LHD cache size     2535, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst LHD cache size     5071, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst LHD cache size    10143, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst LHD cache size    20287, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-1 cache size       25, 17861451 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-1 cache size       76, 17861451 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-1 cache size      253, 17861451 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-1 cache size      760, 17861451 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-1 cache size     2535, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-1 cache size     5071, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-1 cache size    10143, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-1 cache size    20287, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst LIRS cache size       25, 17861451 req, miss ratio 0.0022, byte miss ratio 0.0022
