result/cdn2_allcolo.ns3273.oracleGeneral.zst Clock cache size      759, 2345499 req, miss ratio 0.3342, byte miss ratio 0.3342
result/cdn2_allcolo.ns3273.oracleGeneral.zst Clock cache size     2277, 2345499 req, miss ratio 0.3300, byte miss ratio 0.3300
result/cdn2_allcolo.ns3273.oracleGeneral.zst Clock cache size     7592, 2345499 req, miss ratio 0.3280, byte miss ratio 0.3280
result/cdn2_allcolo.ns3273.oracleGeneral.zst Clock cache size    22776, 2345499 req, miss ratio 0.3266, byte miss ratio 0.3266
result/cdn2_allcolo.ns3273.oracleGeneral.zst Clock cache size    75921, 2345499 req, miss ratio 0.3246, byte miss ratio 0.3246
result/cdn2_allcolo.ns3273.oracleGeneral.zst Clock cache size   151842, 2345499 req, miss ratio 0.3240, byte miss ratio 0.3240
result/cdn2_allcolo.ns3273.oracleGeneral.zst Clock cache size   303685, 2345499 req, miss ratio 0.3238, byte miss ratio 0.3238
result/cdn2_allcolo.ns3273.oracleGeneral.zst Clock cache size   607370, 2345499 req, miss ratio 0.3237, byte miss ratio 0.3237
result/cdn2_allcolo.ns3273.oracleGeneral.zst LHD cache size      759, 2345499 req, miss ratio 0.3326, byte miss ratio 0.3326
result/cdn2_allcolo.ns3273.oracleGeneral.zst LHD cache size     2277, 2345499 req, miss ratio 0.3295, byte miss ratio 0.3295
result/cdn2_allcolo.ns3273.oracleGeneral.zst LHD cache size     7592, 2345499 req, miss ratio 0.3279, byte miss ratio 0.3279
result/cdn2_allcolo.ns3273.oracleGeneral.zst LHD cache size    22776, 2345499 req, miss ratio 0.3265, byte miss ratio 0.3265
result/cdn2_allcolo.ns3273.oracleGeneral.zst LHD cache size    75921, 2345499 req, miss ratio 0.3247, byte miss ratio 0.3247
result/cdn2_allcolo.ns3273.oracleGeneral.zst LHD cache size   151842, 2345499 req, miss ratio 0.3240, byte miss ratio 0.3240
result/cdn2_allcolo.ns3273.oracleGeneral.zst LHD cache size   303685, 2345499 req, miss ratio 0.3239, byte miss ratio 0.3239
result/cdn2_allcolo.ns3273.oracleGeneral.zst LHD cache size   607370, 2345499 req, miss ratio 0.3237, byte miss ratio 0.3237
result/cdn2_allcolo.ns3273.oracleGeneral.zst LIRS cache size      759, 2345499 req, miss ratio 0.3332, byte miss ratio 0.3332
result/cdn2_allcolo.ns3273.oracleGeneral.zst LIRS cache size     2277, 2345499 req, miss ratio 0.3304, byte miss ratio 0.3304
result/cdn2_allcolo.ns3273.oracleGeneral.zst LIRS cache size     7592, 2345499 req, miss ratio 0.3281, byte miss ratio 0.3281
result/cdn2_allcolo.ns3273.oracleGeneral.zst LIRS cache size    22776, 2345499 req, miss ratio 0.3265, byte miss ratio 0.3265
result/cdn2_allcolo.ns3273.oracleGeneral.zst LIRS cache size    75921, 2345499 req, miss ratio 0.3255, byte miss ratio 0.3255
result/cdn2_allcolo.ns3273.oracleGeneral.zst LIRS cache size   151842, 2345499 req, miss ratio 0.3249, byte miss ratio 0.3249
result/cdn2_allcolo.ns3273.oracleGeneral.zst LIRS cache size   303685, 2345499 req, miss ratio 0.3245, byte miss ratio 0.3245
result/cdn2_allcolo.ns3273.oracleGeneral.zst LIRS cache size   607370, 2345499 req, miss ratio 0.3239, byte miss ratio 0.3239
result/cdn2_allcolo.ns3273.oracleGeneral.zst LRU cache size      759, 2345499 req, miss ratio 0.3350, byte miss ratio 0.3350
result/cdn2_allcolo.ns3273.oracleGeneral.zst LRU cache size     2277, 2345499 req, miss ratio 0.3305, byte miss ratio 0.3305
result/cdn2_allcolo.ns3273.oracleGeneral.zst LRU cache size     7592, 2345499 req, miss ratio 0.3283, byte miss ratio 0.3283
result/cdn2_allcolo.ns3273.oracleGeneral.zst LRU cache size    22776, 2345499 req, miss ratio 0.3268, byte miss ratio 0.3268
result/cdn2_allcolo.ns3273.oracleGeneral.zst LRU cache size    75921, 2345499 req, miss ratio 0.3247, byte miss ratio 0.3247
result/cdn2_allcolo.ns3273.oracleGeneral.zst LRU cache size   151842, 2345499 req, miss ratio 0.3241, byte miss ratio 0.3241
result/cdn2_allcolo.ns3273.oracleGeneral.zst LRU cache size   303685, 2345499 req, miss ratio 0.3238, byte miss ratio 0.3238
result/cdn2_allcolo.ns3273.oracleGeneral.zst LRU cache size   607370, 2345499 req, miss ratio 0.3237, byte miss ratio 0.3237
result/cdn2_allcolo.ns3273.oracleGeneral.zst ARC cache size      759, 2345499 req, miss ratio 0.3305, byte miss ratio 0.3305
