result/cdn2_allcolo.ns431.oracleGeneral.zst ARC cache size      634, 21901362 req, miss ratio 0.0692, byte miss ratio 0.0692
result/cdn2_allcolo.ns431.oracleGeneral.zst ARC cache size     1902, 21901362 req, miss ratio 0.0506, byte miss ratio 0.0506
result/cdn2_allcolo.ns431.oracleGeneral.zst ARC cache size     6340, 21901362 req, miss ratio 0.0328, byte miss ratio 0.0328
result/cdn2_allcolo.ns431.oracleGeneral.zst ARC cache size    19022, 21901362 req, miss ratio 0.0294, byte miss ratio 0.0294
result/cdn2_allcolo.ns431.oracleGeneral.zst ARC cache size    63409, 21901362 req, miss ratio 0.0292, byte miss ratio 0.0292
result/cdn2_allcolo.ns431.oracleGeneral.zst ARC cache size   126819, 21901362 req, miss ratio 0.0292, byte miss ratio 0.0292
result/cdn2_allcolo.ns431.oracleGeneral.zst ARC cache size   253639, 21901362 req, miss ratio 0.0291, byte miss ratio 0.0291
result/cdn2_allcolo.ns431.oracleGeneral.zst ARC cache size   507279, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst FIFO cache size      634, 21901362 req, miss ratio 0.0801, byte miss ratio 0.0801
result/cdn2_allcolo.ns431.oracleGeneral.zst FIFO cache size     1902, 21901362 req, miss ratio 0.0565, byte miss ratio 0.0565
result/cdn2_allcolo.ns431.oracleGeneral.zst FIFO cache size     6340, 21901362 req, miss ratio 0.0345, byte miss ratio 0.0345
result/cdn2_allcolo.ns431.oracleGeneral.zst FIFO cache size    19022, 21901362 req, miss ratio 0.0293, byte miss ratio 0.0293
result/cdn2_allcolo.ns431.oracleGeneral.zst FIFO cache size    63409, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst FIFO cache size   126819, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst FIFO cache size   253639, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst FIFO cache size   507279, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst LHD cache size      634, 21901362 req, miss ratio 0.0699, byte miss ratio 0.0699
result/cdn2_allcolo.ns431.oracleGeneral.zst LHD cache size     1902, 21901362 req, miss ratio 0.0509, byte miss ratio 0.0509
result/cdn2_allcolo.ns431.oracleGeneral.zst LHD cache size     6340, 21901362 req, miss ratio 0.0329, byte miss ratio 0.0329
result/cdn2_allcolo.ns431.oracleGeneral.zst LHD cache size    19022, 21901362 req, miss ratio 0.0292, byte miss ratio 0.0292
result/cdn2_allcolo.ns431.oracleGeneral.zst LHD cache size    63409, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst LHD cache size   126819, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst LHD cache size   253639, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst LHD cache size   507279, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst clock2 cache size      634, 21901362 req, miss ratio 0.0696, byte miss ratio 0.0696
result/cdn2_allcolo.ns431.oracleGeneral.zst clock2 cache size     1902, 21901362 req, miss ratio 0.0510, byte miss ratio 0.0510
result/cdn2_allcolo.ns431.oracleGeneral.zst clock2 cache size     6340, 21901362 req, miss ratio 0.0342, byte miss ratio 0.0342
result/cdn2_allcolo.ns431.oracleGeneral.zst clock2 cache size    19022, 21901362 req, miss ratio 0.0294, byte miss ratio 0.0294
result/cdn2_allcolo.ns431.oracleGeneral.zst clock2 cache size    63409, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst clock2 cache size   126819, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst clock2 cache size   253639, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst clock2 cache size   507279, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst Cacheus cache size      634, 21901362 req, miss ratio 0.0700, byte miss ratio 0.0700
result/cdn2_allcolo.ns431.oracleGeneral.zst Cacheus cache size     1902, 21901362 req, miss ratio 0.0517, byte miss ratio 0.0517
result/cdn2_allcolo.ns431.oracleGeneral.zst Cacheus cache size     6340, 21901362 req, miss ratio 0.0349, byte miss ratio 0.0349
result/cdn2_allcolo.ns431.oracleGeneral.zst Cacheus cache size    19022, 21901362 req, miss ratio 0.0295, byte miss ratio 0.0295
result/cdn2_allcolo.ns431.oracleGeneral.zst Cacheus cache size    63409, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
