result/cdn2_allcolo.ns4644.oracleGeneral.zst LRU cache size       15, 1073735 req, miss ratio 0.3162, byte miss ratio 0.3162
result/cdn2_allcolo.ns4644.oracleGeneral.zst LRU cache size       45, 1073735 req, miss ratio 0.2051, byte miss ratio 0.2051
result/cdn2_allcolo.ns4644.oracleGeneral.zst LRU cache size      151, 1073735 req, miss ratio 0.1437, byte miss ratio 0.1437
result/cdn2_allcolo.ns4644.oracleGeneral.zst LRU cache size      454, 1073735 req, miss ratio 0.0769, byte miss ratio 0.0769
result/cdn2_allcolo.ns4644.oracleGeneral.zst LRU cache size     1515, 1073735 req, miss ratio 0.0441, byte miss ratio 0.0441
result/cdn2_allcolo.ns4644.oracleGeneral.zst LRU cache size     3030, 1073735 req, miss ratio 0.0323, byte miss ratio 0.0323
result/cdn2_allcolo.ns4644.oracleGeneral.zst LRU cache size     6060, 1073735 req, miss ratio 0.0208, byte miss ratio 0.0208
result/cdn2_allcolo.ns4644.oracleGeneral.zst LRU cache size    12120, 1073735 req, miss ratio 0.0146, byte miss ratio 0.0146
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-1 cache size       15, 1073735 req, miss ratio 0.2504, byte miss ratio 0.2504
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-1 cache size       45, 1073735 req, miss ratio 0.1771, byte miss ratio 0.1771
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-1 cache size      151, 1073735 req, miss ratio 0.1204, byte miss ratio 0.1204
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-1 cache size      454, 1073735 req, miss ratio 0.0667, byte miss ratio 0.0667
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-1 cache size     1515, 1073735 req, miss ratio 0.0387, byte miss ratio 0.0387
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-1 cache size     3030, 1073735 req, miss ratio 0.0279, byte miss ratio 0.0279
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-1 cache size     6060, 1073735 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-1 cache size    12120, 1073735 req, miss ratio 0.0146, byte miss ratio 0.0146
result/cdn2_allcolo.ns4644.oracleGeneral.zst LHD cache size       15, 1073735 req, miss ratio 0.3041, byte miss ratio 0.3041
result/cdn2_allcolo.ns4644.oracleGeneral.zst LHD cache size       45, 1073735 req, miss ratio 0.1900, byte miss ratio 0.1900
result/cdn2_allcolo.ns4644.oracleGeneral.zst LHD cache size      151, 1073735 req, miss ratio 0.1375, byte miss ratio 0.1375
result/cdn2_allcolo.ns4644.oracleGeneral.zst LHD cache size      454, 1073735 req, miss ratio 0.0756, byte miss ratio 0.0756
