result/cdn2_allcolo.ns4805.oracleGeneral.zst ARC cache size        8, 1324035 req, miss ratio 0.0098, byte miss ratio 0.0098
result/cdn2_allcolo.ns4805.oracleGeneral.zst ARC cache size       29, 1324035 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_allcolo.ns4805.oracleGeneral.zst ARC cache size       88, 1324035 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_allcolo.ns4805.oracleGeneral.zst ARC cache size      296, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst ARC cache size      593, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst ARC cache size     1186, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst ARC cache size     2372, 1324035 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns4805.oracleGeneral.zst Cacheus cache size        8, 1324035 req, miss ratio 0.0097, byte miss ratio 0.0097
result/cdn2_allcolo.ns4805.oracleGeneral.zst Cacheus cache size       29, 1324035 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn2_allcolo.ns4805.oracleGeneral.zst Cacheus cache size       88, 1324035 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns4805.oracleGeneral.zst Cacheus cache size      296, 1324035 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns4805.oracleGeneral.zst Cacheus cache size      593, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst Cacheus cache size     1186, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst Cacheus cache size     2372, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst LHD cache size        8, 1324035 req, miss ratio 0.0099, byte miss ratio 0.0099
result/cdn2_allcolo.ns4805.oracleGeneral.zst LHD cache size       29, 1324035 req, miss ratio 0.0054, byte miss ratio 0.0054
