result/cdn2_allcolo.ns493.oracleGeneral.zst LeCaR cache size       27, 1880174 req, miss ratio 0.0788, byte miss ratio 0.0788
result/cdn2_allcolo.ns493.oracleGeneral.zst LeCaR cache size       81, 1880174 req, miss ratio 0.0401, byte miss ratio 0.0401
result/cdn2_allcolo.ns493.oracleGeneral.zst LeCaR cache size      271, 1880174 req, miss ratio 0.0239, byte miss ratio 0.0239
result/cdn2_allcolo.ns493.oracleGeneral.zst LeCaR cache size      815, 1880174 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cdn2_allcolo.ns493.oracleGeneral.zst LeCaR cache size     2718, 1880174 req, miss ratio 0.0164, byte miss ratio 0.0164
result/cdn2_allcolo.ns493.oracleGeneral.zst LeCaR cache size     5437, 1880174 req, miss ratio 0.0152, byte miss ratio 0.0152
result/cdn2_allcolo.ns493.oracleGeneral.zst LeCaR cache size    10874, 1880174 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns493.oracleGeneral.zst LeCaR cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns493.oracleGeneral.zst LRU cache size       27, 1880174 req, miss ratio 0.0831, byte miss ratio 0.0831
result/cdn2_allcolo.ns493.oracleGeneral.zst LRU cache size       81, 1880174 req, miss ratio 0.0416, byte miss ratio 0.0416
result/cdn2_allcolo.ns493.oracleGeneral.zst LRU cache size      271, 1880174 req, miss ratio 0.0246, byte miss ratio 0.0246
result/cdn2_allcolo.ns493.oracleGeneral.zst LRU cache size      815, 1880174 req, miss ratio 0.0191, byte miss ratio 0.0191
result/cdn2_allcolo.ns493.oracleGeneral.zst LRU cache size     2718, 1880174 req, miss ratio 0.0165, byte miss ratio 0.0165
result/cdn2_allcolo.ns493.oracleGeneral.zst LRU cache size     5437, 1880174 req, miss ratio 0.0152, byte miss ratio 0.0152
result/cdn2_allcolo.ns493.oracleGeneral.zst LRU cache size    10874, 1880174 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns493.oracleGeneral.zst LRU cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns493.oracleGeneral.zst FIFO cache size       27, 1880174 req, miss ratio 0.1137, byte miss ratio 0.1137
result/cdn2_allcolo.ns493.oracleGeneral.zst FIFO cache size       81, 1880174 req, miss ratio 0.0566, byte miss ratio 0.0566
result/cdn2_allcolo.ns493.oracleGeneral.zst FIFO cache size      271, 1880174 req, miss ratio 0.0317, byte miss ratio 0.0317
result/cdn2_allcolo.ns493.oracleGeneral.zst FIFO cache size      815, 1880174 req, miss ratio 0.0224, byte miss ratio 0.0224
result/cdn2_allcolo.ns493.oracleGeneral.zst FIFO cache size     2718, 1880174 req, miss ratio 0.0181, byte miss ratio 0.0181
result/cdn2_allcolo.ns493.oracleGeneral.zst FIFO cache size     5437, 1880174 req, miss ratio 0.0164, byte miss ratio 0.0164
result/cdn2_allcolo.ns493.oracleGeneral.zst FIFO cache size    10874, 1880174 req, miss ratio 0.0155, byte miss ratio 0.0155
result/cdn2_allcolo.ns493.oracleGeneral.zst FIFO cache size    21748, 1880174 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn2_allcolo.ns493.oracleGeneral.zst LIRS cache size       27, 1880174 req, miss ratio 0.0798, byte miss ratio 0.0798
result/cdn2_allcolo.ns493.oracleGeneral.zst LIRS cache size       81, 1880174 req, miss ratio 0.0398, byte miss ratio 0.0398
result/cdn2_allcolo.ns493.oracleGeneral.zst LIRS cache size      271, 1880174 req, miss ratio 0.0232, byte miss ratio 0.0232
result/cdn2_allcolo.ns493.oracleGeneral.zst LIRS cache size      815, 1880174 req, miss ratio 0.0185, byte miss ratio 0.0185
result/cdn2_allcolo.ns493.oracleGeneral.zst LIRS cache size     2718, 1880174 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_allcolo.ns493.oracleGeneral.zst LIRS cache size     5437, 1880174 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_allcolo.ns493.oracleGeneral.zst LIRS cache size    10874, 1880174 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns493.oracleGeneral.zst LIRS cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns493.oracleGeneral.zst LHD cache size       27, 1880174 req, miss ratio 0.1143, byte miss ratio 0.1143
result/cdn2_allcolo.ns493.oracleGeneral.zst LHD cache size       81, 1880174 req, miss ratio 0.0422, byte miss ratio 0.0422
result/cdn2_allcolo.ns493.oracleGeneral.zst LHD cache size      271, 1880174 req, miss ratio 0.0239, byte miss ratio 0.0239
result/cdn2_allcolo.ns493.oracleGeneral.zst LHD cache size      815, 1880174 req, miss ratio 0.0187, byte miss ratio 0.0187
result/cdn2_allcolo.ns493.oracleGeneral.zst LHD cache size     2718, 1880174 req, miss ratio 0.0164, byte miss ratio 0.0164
result/cdn2_allcolo.ns493.oracleGeneral.zst LHD cache size     5437, 1880174 req, miss ratio 0.0154, byte miss ratio 0.0154
result/cdn2_allcolo.ns493.oracleGeneral.zst LHD cache size    10874, 1880174 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn2_allcolo.ns493.oracleGeneral.zst LHD cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-1 cache size       27, 1880174 req, miss ratio 0.0726, byte miss ratio 0.0726
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-1 cache size       81, 1880174 req, miss ratio 0.0360, byte miss ratio 0.0360
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-1 cache size      271, 1880174 req, miss ratio 0.0217, byte miss ratio 0.0217
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-1 cache size      815, 1880174 req, miss ratio 0.0178, byte miss ratio 0.0178
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-1 cache size     2718, 1880174 req, miss ratio 0.0159, byte miss ratio 0.0159
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-1 cache size     5437, 1880174 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-1 cache size    10874, 1880174 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns493.oracleGeneral.zst S3FIFO-1 cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns493.oracleGeneral.zst clock2 cache size       27, 1880174 req, miss ratio 0.0774, byte miss ratio 0.0774
result/cdn2_allcolo.ns493.oracleGeneral.zst clock2 cache size       81, 1880174 req, miss ratio 0.0385, byte miss ratio 0.0385
result/cdn2_allcolo.ns493.oracleGeneral.zst clock2 cache size      271, 1880174 req, miss ratio 0.0231, byte miss ratio 0.0231
result/cdn2_allcolo.ns493.oracleGeneral.zst clock2 cache size      815, 1880174 req, miss ratio 0.0185, byte miss ratio 0.0185
result/cdn2_allcolo.ns493.oracleGeneral.zst clock2 cache size     2718, 1880174 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn2_allcolo.ns493.oracleGeneral.zst clock2 cache size     5437, 1880174 req, miss ratio 0.0153, byte miss ratio 0.0153
result/cdn2_allcolo.ns493.oracleGeneral.zst clock2 cache size    10874, 1880174 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns493.oracleGeneral.zst clock2 cache size    21748, 1880174 req, miss ratio 0.0145, byte miss ratio 0.0145
