result/cdn2_allcolo.ns5275.oracleGeneral.zst Clock cache size       13, 2549234 req, miss ratio 0.1718, byte miss ratio 0.1718
result/cdn2_allcolo.ns5275.oracleGeneral.zst Clock cache size       44, 2549234 req, miss ratio 0.0285, byte miss ratio 0.0285
result/cdn2_allcolo.ns5275.oracleGeneral.zst Clock cache size      134, 2549234 req, miss ratio 0.0060, byte miss ratio 0.0060
result/cdn2_allcolo.ns5275.oracleGeneral.zst Clock cache size      449, 2549234 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns5275.oracleGeneral.zst Clock cache size      898, 2549234 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns5275.oracleGeneral.zst Clock cache size     1797, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst Clock cache size     3595, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst LIRS cache size       13, 2549234 req, miss ratio 0.1434, byte miss ratio 0.1434
result/cdn2_allcolo.ns5275.oracleGeneral.zst LIRS cache size       44, 2549234 req, miss ratio 0.0227, byte miss ratio 0.0227
result/cdn2_allcolo.ns5275.oracleGeneral.zst LIRS cache size      134, 2549234 req, miss ratio 0.0050, byte miss ratio 0.0050
result/cdn2_allcolo.ns5275.oracleGeneral.zst LIRS cache size      449, 2549234 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns5275.oracleGeneral.zst LIRS cache size      898, 2549234 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns5275.oracleGeneral.zst LIRS cache size     1797, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst LIRS cache size     3595, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst LeCaR cache size       13, 2549234 req, miss ratio 0.1562, byte miss ratio 0.1562
result/cdn2_allcolo.ns5275.oracleGeneral.zst LeCaR cache size       44, 2549234 req, miss ratio 0.0259, byte miss ratio 0.0259
result/cdn2_allcolo.ns5275.oracleGeneral.zst LeCaR cache size      134, 2549234 req, miss ratio 0.0058, byte miss ratio 0.0058
result/cdn2_allcolo.ns5275.oracleGeneral.zst LeCaR cache size      449, 2549234 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns5275.oracleGeneral.zst LeCaR cache size      898, 2549234 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns5275.oracleGeneral.zst LeCaR cache size     1797, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst LeCaR cache size     3595, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-1 cache size       13, 2549234 req, miss ratio 0.1444, byte miss ratio 0.1444
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-1 cache size       44, 2549234 req, miss ratio 0.0237, byte miss ratio 0.0237
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-1 cache size      134, 2549234 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-1 cache size      449, 2549234 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-1 cache size      898, 2549234 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-1 cache size     1797, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-1 cache size     3595, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst clock2 cache size       13, 2549234 req, miss ratio 0.1581, byte miss ratio 0.1581
result/cdn2_allcolo.ns5275.oracleGeneral.zst clock2 cache size       44, 2549234 req, miss ratio 0.0256, byte miss ratio 0.0256
result/cdn2_allcolo.ns5275.oracleGeneral.zst clock2 cache size      134, 2549234 req, miss ratio 0.0056, byte miss ratio 0.0056
result/cdn2_allcolo.ns5275.oracleGeneral.zst clock2 cache size      449, 2549234 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns5275.oracleGeneral.zst clock2 cache size      898, 2549234 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns5275.oracleGeneral.zst clock2 cache size     1797, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst clock2 cache size     3595, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst LRU cache size       13, 2549234 req, miss ratio 0.1785, byte miss ratio 0.1785
result/cdn2_allcolo.ns5275.oracleGeneral.zst LRU cache size       44, 2549234 req, miss ratio 0.0303, byte miss ratio 0.0303
result/cdn2_allcolo.ns5275.oracleGeneral.zst LRU cache size      134, 2549234 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns5275.oracleGeneral.zst LRU cache size      449, 2549234 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns5275.oracleGeneral.zst LRU cache size      898, 2549234 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns5275.oracleGeneral.zst LRU cache size     1797, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst LRU cache size     3595, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst LHD cache size       13, 2549234 req, miss ratio 0.1538, byte miss ratio 0.1538
result/cdn2_allcolo.ns5275.oracleGeneral.zst LHD cache size       44, 2549234 req, miss ratio 0.0239, byte miss ratio 0.0239
result/cdn2_allcolo.ns5275.oracleGeneral.zst LHD cache size      134, 2549234 req, miss ratio 0.0058, byte miss ratio 0.0058
result/cdn2_allcolo.ns5275.oracleGeneral.zst LHD cache size      449, 2549234 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns5275.oracleGeneral.zst LHD cache size      898, 2549234 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns5275.oracleGeneral.zst LHD cache size     1797, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst LHD cache size     3595, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst Cacheus cache size       13, 2549234 req, miss ratio 0.1826, byte miss ratio 0.1826
result/cdn2_allcolo.ns5275.oracleGeneral.zst Cacheus cache size       44, 2549234 req, miss ratio 0.0219, byte miss ratio 0.0219
result/cdn2_allcolo.ns5275.oracleGeneral.zst Cacheus cache size      134, 2549234 req, miss ratio 0.0048, byte miss ratio 0.0048
result/cdn2_allcolo.ns5275.oracleGeneral.zst Cacheus cache size      449, 2549234 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns5275.oracleGeneral.zst Cacheus cache size      898, 2549234 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns5275.oracleGeneral.zst Cacheus cache size     1797, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst Cacheus cache size     3595, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst FIFO cache size       13, 2549234 req, miss ratio 0.2318, byte miss ratio 0.2318
result/cdn2_allcolo.ns5275.oracleGeneral.zst FIFO cache size       44, 2549234 req, miss ratio 0.0531, byte miss ratio 0.0531
result/cdn2_allcolo.ns5275.oracleGeneral.zst FIFO cache size      134, 2549234 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_allcolo.ns5275.oracleGeneral.zst FIFO cache size      449, 2549234 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns5275.oracleGeneral.zst FIFO cache size      898, 2549234 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns5275.oracleGeneral.zst FIFO cache size     1797, 2549234 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns5275.oracleGeneral.zst FIFO cache size     3595, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst ARC cache size       13, 2549234 req, miss ratio 0.1582, byte miss ratio 0.1582
result/cdn2_allcolo.ns5275.oracleGeneral.zst ARC cache size       44, 2549234 req, miss ratio 0.0253, byte miss ratio 0.0253
result/cdn2_allcolo.ns5275.oracleGeneral.zst ARC cache size      134, 2549234 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_allcolo.ns5275.oracleGeneral.zst ARC cache size      449, 2549234 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns5275.oracleGeneral.zst ARC cache size      898, 2549234 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns5275.oracleGeneral.zst ARC cache size     1797, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst ARC cache size     3595, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-d-1 cache size       13, 2549234 req, miss ratio 0.1440, byte miss ratio 0.1440
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-d-1 cache size       44, 2549234 req, miss ratio 0.0236, byte miss ratio 0.0236
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-d-1 cache size      134, 2549234 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-d-1 cache size      449, 2549234 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-d-1 cache size      898, 2549234 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-d-1 cache size     1797, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-d-1 cache size     3595, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
