result/cdn2_allcolo.ns703.oracleGeneral.zst FIFO cache size        6, 7557016 req, miss ratio 0.5460, byte miss ratio 0.5460
result/cdn2_allcolo.ns703.oracleGeneral.zst FIFO cache size       22, 7557016 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn2_allcolo.ns703.oracleGeneral.zst FIFO cache size       67, 7557016 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns703.oracleGeneral.zst FIFO cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst FIFO cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst FIFO cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst FIFO cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst clock2 cache size        6, 7557016 req, miss ratio 0.5626, byte miss ratio 0.5626
result/cdn2_allcolo.ns703.oracleGeneral.zst clock2 cache size       22, 7557016 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns703.oracleGeneral.zst clock2 cache size       67, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst clock2 cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst clock2 cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst clock2 cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst clock2 cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LHD cache size        6, 7557016 req, miss ratio 0.5439, byte miss ratio 0.5439
result/cdn2_allcolo.ns703.oracleGeneral.zst LHD cache size       22, 7557016 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns703.oracleGeneral.zst LHD cache size       67, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LHD cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LHD cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LHD cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LHD cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LeCaR cache size        6, 7557016 req, miss ratio 0.4915, byte miss ratio 0.4915
result/cdn2_allcolo.ns703.oracleGeneral.zst LeCaR cache size       22, 7557016 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns703.oracleGeneral.zst LeCaR cache size       67, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LeCaR cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LeCaR cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LeCaR cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LeCaR cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst Cacheus cache size        6, 7557016 req, miss ratio 0.4667, byte miss ratio 0.4667
result/cdn2_allcolo.ns703.oracleGeneral.zst Cacheus cache size       22, 7557016 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns703.oracleGeneral.zst Cacheus cache size       67, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst Cacheus cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst Cacheus cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst Cacheus cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst Cacheus cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
