result/cdn2_allcolo.ns796.oracleGeneral.zst LIRS cache size        6, 9419593 req, miss ratio 0.1465, byte miss ratio 0.1465
result/cdn2_allcolo.ns796.oracleGeneral.zst LIRS cache size       23, 9419593 req, miss ratio 0.0152, byte miss ratio 0.0152
result/cdn2_allcolo.ns796.oracleGeneral.zst LIRS cache size       46, 9419593 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns796.oracleGeneral.zst LIRS cache size       92, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst LIRS cache size      184, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst clock2 cache size        6, 9419593 req, miss ratio 0.1438, byte miss ratio 0.1438
result/cdn2_allcolo.ns796.oracleGeneral.zst clock2 cache size       23, 9419593 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns796.oracleGeneral.zst clock2 cache size       46, 9419593 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns796.oracleGeneral.zst clock2 cache size       92, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst clock2 cache size      184, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst FIFO cache size        6, 9419593 req, miss ratio 0.1655, byte miss ratio 0.1655
result/cdn2_allcolo.ns796.oracleGeneral.zst FIFO cache size       23, 9419593 req, miss ratio 0.0274, byte miss ratio 0.0274
result/cdn2_allcolo.ns796.oracleGeneral.zst FIFO cache size       46, 9419593 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns796.oracleGeneral.zst FIFO cache size       92, 9419593 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns796.oracleGeneral.zst FIFO cache size      184, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst Cacheus cache size        6, 9419593 req, miss ratio 0.1408, byte miss ratio 0.1408
result/cdn2_allcolo.ns796.oracleGeneral.zst Cacheus cache size       23, 9419593 req, miss ratio 0.0179, byte miss ratio 0.0179
result/cdn2_allcolo.ns796.oracleGeneral.zst Cacheus cache size       46, 9419593 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns796.oracleGeneral.zst Cacheus cache size       92, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst Cacheus cache size      184, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst LeCaR cache size        6, 9419593 req, miss ratio 0.1384, byte miss ratio 0.1384
result/cdn2_allcolo.ns796.oracleGeneral.zst LeCaR cache size       23, 9419593 req, miss ratio 0.0139, byte miss ratio 0.0139
result/cdn2_allcolo.ns796.oracleGeneral.zst LeCaR cache size       46, 9419593 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns796.oracleGeneral.zst LeCaR cache size       92, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
