result/cdn2_allcolo.ns951.oracleGeneral.zst clock2 cache size        7, 1072474 req, miss ratio 0.3528, byte miss ratio 0.3528
result/cdn2_allcolo.ns951.oracleGeneral.zst clock2 cache size       23, 1072474 req, miss ratio 0.2161, byte miss ratio 0.2161
result/cdn2_allcolo.ns951.oracleGeneral.zst clock2 cache size       77, 1072474 req, miss ratio 0.0920, byte miss ratio 0.0920
result/cdn2_allcolo.ns951.oracleGeneral.zst clock2 cache size      154, 1072474 req, miss ratio 0.0372, byte miss ratio 0.0372
result/cdn2_allcolo.ns951.oracleGeneral.zst clock2 cache size      308, 1072474 req, miss ratio 0.0091, byte miss ratio 0.0091
result/cdn2_allcolo.ns951.oracleGeneral.zst clock2 cache size      616, 1072474 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns951.oracleGeneral.zst ARC cache size        7, 1072474 req, miss ratio 0.3245, byte miss ratio 0.3245
result/cdn2_allcolo.ns951.oracleGeneral.zst ARC cache size       23, 1072474 req, miss ratio 0.2032, byte miss ratio 0.2032
result/cdn2_allcolo.ns951.oracleGeneral.zst ARC cache size       77, 1072474 req, miss ratio 0.0914, byte miss ratio 0.0914
result/cdn2_allcolo.ns951.oracleGeneral.zst ARC cache size      154, 1072474 req, miss ratio 0.0389, byte miss ratio 0.0389
result/cdn2_allcolo.ns951.oracleGeneral.zst ARC cache size      308, 1072474 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns951.oracleGeneral.zst ARC cache size      616, 1072474 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns951.oracleGeneral.zst LHD cache size        7, 1072474 req, miss ratio 0.3275, byte miss ratio 0.3275
result/cdn2_allcolo.ns951.oracleGeneral.zst LHD cache size       23, 1072474 req, miss ratio 0.1999, byte miss ratio 0.1999
result/cdn2_allcolo.ns951.oracleGeneral.zst LHD cache size       77, 1072474 req, miss ratio 0.0886, byte miss ratio 0.0886
result/cdn2_allcolo.ns951.oracleGeneral.zst LHD cache size      154, 1072474 req, miss ratio 0.0415, byte miss ratio 0.0415
result/cdn2_allcolo.ns951.oracleGeneral.zst LHD cache size      308, 1072474 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cdn2_allcolo.ns951.oracleGeneral.zst LHD cache size      616, 1072474 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns951.oracleGeneral.zst LeCaR cache size        7, 1072474 req, miss ratio 0.3397, byte miss ratio 0.3397
result/cdn2_allcolo.ns951.oracleGeneral.zst LeCaR cache size       23, 1072474 req, miss ratio 0.2184, byte miss ratio 0.2184
result/cdn2_allcolo.ns951.oracleGeneral.zst LeCaR cache size       77, 1072474 req, miss ratio 0.0955, byte miss ratio 0.0955
result/cdn2_allcolo.ns951.oracleGeneral.zst LeCaR cache size      154, 1072474 req, miss ratio 0.0384, byte miss ratio 0.0384
result/cdn2_allcolo.ns951.oracleGeneral.zst LeCaR cache size      308, 1072474 req, miss ratio 0.0088, byte miss ratio 0.0088
result/cdn2_allcolo.ns951.oracleGeneral.zst LeCaR cache size      616, 1072474 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-1 cache size        7, 1072474 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-1 cache size       23, 1072474 req, miss ratio 0.1909, byte miss ratio 0.1909
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-1 cache size       77, 1072474 req, miss ratio 0.0844, byte miss ratio 0.0844
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-1 cache size      154, 1072474 req, miss ratio 0.0358, byte miss ratio 0.0358
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-1 cache size      308, 1072474 req, miss ratio 0.0090, byte miss ratio 0.0090
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-1 cache size      616, 1072474 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns951.oracleGeneral.zst LIRS cache size        7, 1072474 req, miss ratio 0.3151, byte miss ratio 0.3151
result/cdn2_allcolo.ns951.oracleGeneral.zst LIRS cache size       23, 1072474 req, miss ratio 0.1969, byte miss ratio 0.1969
result/cdn2_allcolo.ns951.oracleGeneral.zst LIRS cache size       77, 1072474 req, miss ratio 0.0855, byte miss ratio 0.0855
result/cdn2_allcolo.ns951.oracleGeneral.zst LIRS cache size      154, 1072474 req, miss ratio 0.0354, byte miss ratio 0.0354
result/cdn2_allcolo.ns951.oracleGeneral.zst LIRS cache size      308, 1072474 req, miss ratio 0.0087, byte miss ratio 0.0087
result/cdn2_allcolo.ns951.oracleGeneral.zst LIRS cache size      616, 1072474 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns951.oracleGeneral.zst Cacheus cache size        7, 1072474 req, miss ratio 0.3605, byte miss ratio 0.3605
result/cdn2_allcolo.ns951.oracleGeneral.zst Cacheus cache size       23, 1072474 req, miss ratio 0.2206, byte miss ratio 0.2206
result/cdn2_allcolo.ns951.oracleGeneral.zst Cacheus cache size       77, 1072474 req, miss ratio 0.0990, byte miss ratio 0.0990
result/cdn2_allcolo.ns951.oracleGeneral.zst Cacheus cache size      154, 1072474 req, miss ratio 0.0333, byte miss ratio 0.0333
result/cdn2_allcolo.ns951.oracleGeneral.zst Cacheus cache size      308, 1072474 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns951.oracleGeneral.zst Cacheus cache size      616, 1072474 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns951.oracleGeneral.zst Clock cache size        7, 1072474 req, miss ratio 0.3689, byte miss ratio 0.3689
result/cdn2_allcolo.ns951.oracleGeneral.zst Clock cache size       23, 1072474 req, miss ratio 0.2264, byte miss ratio 0.2264
result/cdn2_allcolo.ns951.oracleGeneral.zst Clock cache size       77, 1072474 req, miss ratio 0.0992, byte miss ratio 0.0992
result/cdn2_allcolo.ns951.oracleGeneral.zst Clock cache size      154, 1072474 req, miss ratio 0.0411, byte miss ratio 0.0411
result/cdn2_allcolo.ns951.oracleGeneral.zst Clock cache size      308, 1072474 req, miss ratio 0.0102, byte miss ratio 0.0102
result/cdn2_allcolo.ns951.oracleGeneral.zst Clock cache size      616, 1072474 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns951.oracleGeneral.zst LRU cache size        7, 1072474 req, miss ratio 0.3785, byte miss ratio 0.3785
result/cdn2_allcolo.ns951.oracleGeneral.zst LRU cache size       23, 1072474 req, miss ratio 0.2336, byte miss ratio 0.2336
result/cdn2_allcolo.ns951.oracleGeneral.zst LRU cache size       77, 1072474 req, miss ratio 0.1036, byte miss ratio 0.1036
result/cdn2_allcolo.ns951.oracleGeneral.zst LRU cache size      154, 1072474 req, miss ratio 0.0433, byte miss ratio 0.0433
result/cdn2_allcolo.ns951.oracleGeneral.zst LRU cache size      308, 1072474 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cdn2_allcolo.ns951.oracleGeneral.zst LRU cache size      616, 1072474 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns951.oracleGeneral.zst FIFO cache size        7, 1072474 req, miss ratio 0.4246, byte miss ratio 0.4246
result/cdn2_allcolo.ns951.oracleGeneral.zst FIFO cache size       23, 1072474 req, miss ratio 0.2745, byte miss ratio 0.2745
result/cdn2_allcolo.ns951.oracleGeneral.zst FIFO cache size       77, 1072474 req, miss ratio 0.1327, byte miss ratio 0.1327
result/cdn2_allcolo.ns951.oracleGeneral.zst FIFO cache size      154, 1072474 req, miss ratio 0.0645, byte miss ratio 0.0645
result/cdn2_allcolo.ns951.oracleGeneral.zst FIFO cache size      308, 1072474 req, miss ratio 0.0195, byte miss ratio 0.0195
result/cdn2_allcolo.ns951.oracleGeneral.zst FIFO cache size      616, 1072474 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-d-1 cache size        7, 1072474 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-d-1 cache size       23, 1072474 req, miss ratio 0.1907, byte miss ratio 0.1907
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-d-1 cache size       77, 1072474 req, miss ratio 0.0847, byte miss ratio 0.0847
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-d-1 cache size      154, 1072474 req, miss ratio 0.0358, byte miss ratio 0.0358
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-d-1 cache size      308, 1072474 req, miss ratio 0.0089, byte miss ratio 0.0089
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-d-1 cache size      616, 1072474 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns951.oracleGeneral.zst LRB cache size        7, 1072474 req, miss ratio 0.3217, byte miss ratio 0.3217
result/cdn2_allcolo.ns951.oracleGeneral.zst LRB cache size       23, 1072474 req, miss ratio 0.1880, byte miss ratio 0.1880
result/cdn2_allcolo.ns951.oracleGeneral.zst LRB cache size       77, 1072474 req, miss ratio 0.0778, byte miss ratio 0.0778
result/cdn2_allcolo.ns951.oracleGeneral.zst LRB cache size      154, 1072474 req, miss ratio 0.0323, byte miss ratio 0.0323
result/cdn2_allcolo.ns951.oracleGeneral.zst LRB cache size      308, 1072474 req, miss ratio 0.0083, byte miss ratio 0.0083
result/cdn2_allcolo.ns951.oracleGeneral.zst LRB cache size      616, 1072474 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns951.oracleGeneral.zst TwoQ cache size        7, 1072474 req, miss ratio 0.3209, byte miss ratio 0.3209
result/cdn2_allcolo.ns951.oracleGeneral.zst TwoQ cache size       23, 1072474 req, miss ratio 0.2029, byte miss ratio 0.2029
result/cdn2_allcolo.ns951.oracleGeneral.zst TwoQ cache size       77, 1072474 req, miss ratio 0.0937, byte miss ratio 0.0937
result/cdn2_allcolo.ns951.oracleGeneral.zst TwoQ cache size      154, 1072474 req, miss ratio 0.0422, byte miss ratio 0.0422
result/cdn2_allcolo.ns951.oracleGeneral.zst TwoQ cache size      308, 1072474 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_allcolo.ns951.oracleGeneral.zst TwoQ cache size      616, 1072474 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns951.oracleGeneral.zst B-LRU cache size        7, 1072474 req, miss ratio 0.3783, byte miss ratio 0.3783
result/cdn2_allcolo.ns951.oracleGeneral.zst B-LRU cache size       23, 1072474 req, miss ratio 0.2334, byte miss ratio 0.2334
result/cdn2_allcolo.ns951.oracleGeneral.zst B-LRU cache size       77, 1072474 req, miss ratio 0.1034, byte miss ratio 0.1034
result/cdn2_allcolo.ns951.oracleGeneral.zst B-LRU cache size      154, 1072474 req, miss ratio 0.0432, byte miss ratio 0.0432
result/cdn2_allcolo.ns951.oracleGeneral.zst B-LRU cache size      308, 1072474 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cdn2_allcolo.ns951.oracleGeneral.zst B-LRU cache size      616, 1072474 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns951.oracleGeneral.zst S4LRU(25:25:25:25) cache size        7, 1072474 req, miss ratio 0.3478, byte miss ratio 0.3478
result/cdn2_allcolo.ns951.oracleGeneral.zst S4LRU(25:25:25:25) cache size       23, 1072474 req, miss ratio 0.2009, byte miss ratio 0.2009
result/cdn2_allcolo.ns951.oracleGeneral.zst S4LRU(25:25:25:25) cache size       77, 1072474 req, miss ratio 0.0855, byte miss ratio 0.0855
result/cdn2_allcolo.ns951.oracleGeneral.zst S4LRU(25:25:25:25) cache size      154, 1072474 req, miss ratio 0.0364, byte miss ratio 0.0364
result/cdn2_allcolo.ns951.oracleGeneral.zst S4LRU(25:25:25:25) cache size      308, 1072474 req, miss ratio 0.0093, byte miss ratio 0.0093
result/cdn2_allcolo.ns951.oracleGeneral.zst S4LRU(25:25:25:25) cache size      616, 1072474 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns951.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        7, 1072474 req, miss ratio 0.4246, byte miss ratio 0.4246
result/cdn2_allcolo.ns951.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       23, 1072474 req, miss ratio 0.2745, byte miss ratio 0.2745
result/cdn2_allcolo.ns951.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       77, 1072474 req, miss ratio 0.1327, byte miss ratio 0.1327
result/cdn2_allcolo.ns951.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      154, 1072474 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn2_allcolo.ns951.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      308, 1072474 req, miss ratio 0.0129, byte miss ratio 0.0129
result/cdn2_allcolo.ns951.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      616, 1072474 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-d cache size        7, 1072474 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-d cache size       23, 1072474 req, miss ratio 0.1916, byte miss ratio 0.1916
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-d cache size       77, 1072474 req, miss ratio 0.0934, byte miss ratio 0.0934
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-d cache size      154, 1072474 req, miss ratio 0.0392, byte miss ratio 0.0392
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-d cache size      308, 1072474 req, miss ratio 0.0093, byte miss ratio 0.0093
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO-d cache size      616, 1072474 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO cache size        7, 1072474 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO cache size       23, 1072474 req, miss ratio 0.1897, byte miss ratio 0.1897
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO cache size       77, 1072474 req, miss ratio 0.0839, byte miss ratio 0.0839
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO cache size      154, 1072474 req, miss ratio 0.0357, byte miss ratio 0.0357
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO cache size      308, 1072474 req, miss ratio 0.0090, byte miss ratio 0.0090
result/cdn2_allcolo.ns951.oracleGeneral.zst S3FIFO cache size      616, 1072474 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns951.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        7, 1072474 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns951.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       23, 1072474 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns951.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       77, 1072474 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns951.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      154, 1072474 req, miss ratio 0.0337, byte miss ratio 0.0337
result/cdn2_allcolo.ns951.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      308, 1072474 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns951.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      616, 1072474 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns951.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        7, 1072474 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns951.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       23, 1072474 req, miss ratio 0.1902, byte miss ratio 0.1902
result/cdn2_allcolo.ns951.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       77, 1072474 req, miss ratio 0.0742, byte miss ratio 0.0742
result/cdn2_allcolo.ns951.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      154, 1072474 req, miss ratio 0.0338, byte miss ratio 0.0338
