result/cdn2_colo28.ns1129.oracleGeneral.zst Cacheus cache size      965, 1206240 req, miss ratio 0.8064, byte miss ratio 0.8064
result/cdn2_colo28.ns1129.oracleGeneral.zst Cacheus cache size     2896, 1206240 req, miss ratio 0.8060, byte miss ratio 0.8060
result/cdn2_colo28.ns1129.oracleGeneral.zst Cacheus cache size     9653, 1206240 req, miss ratio 0.8053, byte miss ratio 0.8053
result/cdn2_colo28.ns1129.oracleGeneral.zst Cacheus cache size    28961, 1206240 req, miss ratio 0.8048, byte miss ratio 0.8048
result/cdn2_colo28.ns1129.oracleGeneral.zst Cacheus cache size    96539, 1206240 req, miss ratio 0.8042, byte miss ratio 0.8042
result/cdn2_colo28.ns1129.oracleGeneral.zst Cacheus cache size   193079, 1206240 req, miss ratio 0.8037, byte miss ratio 0.8037
result/cdn2_colo28.ns1129.oracleGeneral.zst Cacheus cache size   386158, 1206240 req, miss ratio 0.8016, byte miss ratio 0.8016
result/cdn2_colo28.ns1129.oracleGeneral.zst Cacheus cache size   772316, 1206240 req, miss ratio 0.8006, byte miss ratio 0.8006
result/cdn2_colo28.ns1129.oracleGeneral.zst LHD cache size      965, 1206240 req, miss ratio 0.8064, byte miss ratio 0.8064
result/cdn2_colo28.ns1129.oracleGeneral.zst LHD cache size     2896, 1206240 req, miss ratio 0.8059, byte miss ratio 0.8059
result/cdn2_colo28.ns1129.oracleGeneral.zst LHD cache size     9653, 1206240 req, miss ratio 0.8053, byte miss ratio 0.8053
result/cdn2_colo28.ns1129.oracleGeneral.zst LHD cache size    28961, 1206240 req, miss ratio 0.8047, byte miss ratio 0.8047
result/cdn2_colo28.ns1129.oracleGeneral.zst LHD cache size    96539, 1206240 req, miss ratio 0.8038, byte miss ratio 0.8038
result/cdn2_colo28.ns1129.oracleGeneral.zst LHD cache size   193079, 1206240 req, miss ratio 0.8018, byte miss ratio 0.8018
result/cdn2_colo28.ns1129.oracleGeneral.zst LHD cache size   386158, 1206240 req, miss ratio 0.8007, byte miss ratio 0.8007
result/cdn2_colo28.ns1129.oracleGeneral.zst LHD cache size   772316, 1206240 req, miss ratio 0.8003, byte miss ratio 0.8003
result/cdn2_colo28.ns1129.oracleGeneral.zst FIFO cache size      965, 1206240 req, miss ratio 0.8094, byte miss ratio 0.8094
result/cdn2_colo28.ns1129.oracleGeneral.zst FIFO cache size     2896, 1206240 req, miss ratio 0.8069, byte miss ratio 0.8069
result/cdn2_colo28.ns1129.oracleGeneral.zst FIFO cache size     9653, 1206240 req, miss ratio 0.8056, byte miss ratio 0.8056
result/cdn2_colo28.ns1129.oracleGeneral.zst FIFO cache size    28961, 1206240 req, miss ratio 0.8049, byte miss ratio 0.8049
result/cdn2_colo28.ns1129.oracleGeneral.zst FIFO cache size    96539, 1206240 req, miss ratio 0.8041, byte miss ratio 0.8041
result/cdn2_colo28.ns1129.oracleGeneral.zst FIFO cache size   193079, 1206240 req, miss ratio 0.8018, byte miss ratio 0.8018
result/cdn2_colo28.ns1129.oracleGeneral.zst FIFO cache size   386158, 1206240 req, miss ratio 0.8007, byte miss ratio 0.8007
result/cdn2_colo28.ns1129.oracleGeneral.zst FIFO cache size   772316, 1206240 req, miss ratio 0.8004, byte miss ratio 0.8004
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-1 cache size      965, 1206240 req, miss ratio 0.8070, byte miss ratio 0.8070
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-1 cache size     2896, 1206240 req, miss ratio 0.8063, byte miss ratio 0.8063
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-1 cache size     9653, 1206240 req, miss ratio 0.8055, byte miss ratio 0.8055
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-1 cache size    28961, 1206240 req, miss ratio 0.8047, byte miss ratio 0.8047
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-1 cache size    96539, 1206240 req, miss ratio 0.8039, byte miss ratio 0.8039
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-1 cache size   193079, 1206240 req, miss ratio 0.8017, byte miss ratio 0.8017
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-1 cache size   386158, 1206240 req, miss ratio 0.8006, byte miss ratio 0.8006
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-1 cache size   772316, 1206240 req, miss ratio 0.8003, byte miss ratio 0.8003
result/cdn2_colo28.ns1129.oracleGeneral.zst ARC cache size      965, 1206240 req, miss ratio 0.8066, byte miss ratio 0.8066
result/cdn2_colo28.ns1129.oracleGeneral.zst ARC cache size     2896, 1206240 req, miss ratio 0.8062, byte miss ratio 0.8062
result/cdn2_colo28.ns1129.oracleGeneral.zst ARC cache size     9653, 1206240 req, miss ratio 0.8056, byte miss ratio 0.8056
result/cdn2_colo28.ns1129.oracleGeneral.zst ARC cache size    28961, 1206240 req, miss ratio 0.8047, byte miss ratio 0.8047
result/cdn2_colo28.ns1129.oracleGeneral.zst ARC cache size    96539, 1206240 req, miss ratio 0.8040, byte miss ratio 0.8040
result/cdn2_colo28.ns1129.oracleGeneral.zst ARC cache size   193079, 1206240 req, miss ratio 0.8017, byte miss ratio 0.8017
result/cdn2_colo28.ns1129.oracleGeneral.zst ARC cache size   386158, 1206240 req, miss ratio 0.8006, byte miss ratio 0.8006
result/cdn2_colo28.ns1129.oracleGeneral.zst ARC cache size   772316, 1206240 req, miss ratio 0.8003, byte miss ratio 0.8003
result/cdn2_colo28.ns1129.oracleGeneral.zst LIRS cache size      965, 1206240 req, miss ratio 0.8098, byte miss ratio 0.8098
result/cdn2_colo28.ns1129.oracleGeneral.zst LIRS cache size     2896, 1206240 req, miss ratio 0.8079, byte miss ratio 0.8079
result/cdn2_colo28.ns1129.oracleGeneral.zst LIRS cache size     9653, 1206240 req, miss ratio 0.8068, byte miss ratio 0.8068
result/cdn2_colo28.ns1129.oracleGeneral.zst LIRS cache size    28961, 1206240 req, miss ratio 0.8061, byte miss ratio 0.8061
result/cdn2_colo28.ns1129.oracleGeneral.zst LIRS cache size    96539, 1206240 req, miss ratio 0.8050, byte miss ratio 0.8050
result/cdn2_colo28.ns1129.oracleGeneral.zst LIRS cache size   193079, 1206240 req, miss ratio 0.8041, byte miss ratio 0.8041
result/cdn2_colo28.ns1129.oracleGeneral.zst LIRS cache size   386158, 1206240 req, miss ratio 0.8027, byte miss ratio 0.8027
result/cdn2_colo28.ns1129.oracleGeneral.zst LIRS cache size   772316, 1206240 req, miss ratio 0.8007, byte miss ratio 0.8007
result/cdn2_colo28.ns1129.oracleGeneral.zst Clock cache size      965, 1206240 req, miss ratio 0.8063, byte miss ratio 0.8063
result/cdn2_colo28.ns1129.oracleGeneral.zst Clock cache size     2896, 1206240 req, miss ratio 0.8059, byte miss ratio 0.8059
result/cdn2_colo28.ns1129.oracleGeneral.zst Clock cache size     9653, 1206240 req, miss ratio 0.8052, byte miss ratio 0.8052
result/cdn2_colo28.ns1129.oracleGeneral.zst Clock cache size    28961, 1206240 req, miss ratio 0.8047, byte miss ratio 0.8047
result/cdn2_colo28.ns1129.oracleGeneral.zst Clock cache size    96539, 1206240 req, miss ratio 0.8039, byte miss ratio 0.8039
result/cdn2_colo28.ns1129.oracleGeneral.zst Clock cache size   193079, 1206240 req, miss ratio 0.8017, byte miss ratio 0.8017
result/cdn2_colo28.ns1129.oracleGeneral.zst Clock cache size   386158, 1206240 req, miss ratio 0.8006, byte miss ratio 0.8006
result/cdn2_colo28.ns1129.oracleGeneral.zst Clock cache size   772316, 1206240 req, miss ratio 0.8003, byte miss ratio 0.8003
result/cdn2_colo28.ns1129.oracleGeneral.zst LeCaR cache size      965, 1206240 req, miss ratio 0.8064, byte miss ratio 0.8064
result/cdn2_colo28.ns1129.oracleGeneral.zst LeCaR cache size     2896, 1206240 req, miss ratio 0.8059, byte miss ratio 0.8059
result/cdn2_colo28.ns1129.oracleGeneral.zst LeCaR cache size     9653, 1206240 req, miss ratio 0.8053, byte miss ratio 0.8053
result/cdn2_colo28.ns1129.oracleGeneral.zst LeCaR cache size    28961, 1206240 req, miss ratio 0.8047, byte miss ratio 0.8047
result/cdn2_colo28.ns1129.oracleGeneral.zst LeCaR cache size    96539, 1206240 req, miss ratio 0.8040, byte miss ratio 0.8040
result/cdn2_colo28.ns1129.oracleGeneral.zst LeCaR cache size   193079, 1206240 req, miss ratio 0.8017, byte miss ratio 0.8017
result/cdn2_colo28.ns1129.oracleGeneral.zst LeCaR cache size   386158, 1206240 req, miss ratio 0.8007, byte miss ratio 0.8007
result/cdn2_colo28.ns1129.oracleGeneral.zst LeCaR cache size   772316, 1206240 req, miss ratio 0.8003, byte miss ratio 0.8003
result/cdn2_colo28.ns1129.oracleGeneral.zst clock2 cache size      965, 1206240 req, miss ratio 0.8063, byte miss ratio 0.8063
result/cdn2_colo28.ns1129.oracleGeneral.zst clock2 cache size     2896, 1206240 req, miss ratio 0.8059, byte miss ratio 0.8059
result/cdn2_colo28.ns1129.oracleGeneral.zst clock2 cache size     9653, 1206240 req, miss ratio 0.8052, byte miss ratio 0.8052
result/cdn2_colo28.ns1129.oracleGeneral.zst clock2 cache size    28961, 1206240 req, miss ratio 0.8047, byte miss ratio 0.8047
result/cdn2_colo28.ns1129.oracleGeneral.zst clock2 cache size    96539, 1206240 req, miss ratio 0.8039, byte miss ratio 0.8039
result/cdn2_colo28.ns1129.oracleGeneral.zst clock2 cache size   193079, 1206240 req, miss ratio 0.8017, byte miss ratio 0.8017
result/cdn2_colo28.ns1129.oracleGeneral.zst clock2 cache size   386158, 1206240 req, miss ratio 0.8006, byte miss ratio 0.8006
result/cdn2_colo28.ns1129.oracleGeneral.zst clock2 cache size   772316, 1206240 req, miss ratio 0.8003, byte miss ratio 0.8003
result/cdn2_colo28.ns1129.oracleGeneral.zst LRU cache size      965, 1206240 req, miss ratio 0.8064, byte miss ratio 0.8064
result/cdn2_colo28.ns1129.oracleGeneral.zst LRU cache size     2896, 1206240 req, miss ratio 0.8059, byte miss ratio 0.8059
result/cdn2_colo28.ns1129.oracleGeneral.zst LRU cache size     9653, 1206240 req, miss ratio 0.8053, byte miss ratio 0.8053
result/cdn2_colo28.ns1129.oracleGeneral.zst LRU cache size    28961, 1206240 req, miss ratio 0.8047, byte miss ratio 0.8047
result/cdn2_colo28.ns1129.oracleGeneral.zst LRU cache size    96539, 1206240 req, miss ratio 0.8040, byte miss ratio 0.8040
result/cdn2_colo28.ns1129.oracleGeneral.zst LRU cache size   193079, 1206240 req, miss ratio 0.8017, byte miss ratio 0.8017
result/cdn2_colo28.ns1129.oracleGeneral.zst LRU cache size   386158, 1206240 req, miss ratio 0.8007, byte miss ratio 0.8007
result/cdn2_colo28.ns1129.oracleGeneral.zst LRU cache size   772316, 1206240 req, miss ratio 0.8003, byte miss ratio 0.8003
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-d-1 cache size      965, 1206240 req, miss ratio 0.8070, byte miss ratio 0.8070
