result/cdn2_colo28.ns16525.oracleGeneral.zst Clock cache size        7, 21470614 req, miss ratio 0.6151, byte miss ratio 0.6151
result/cdn2_colo28.ns16525.oracleGeneral.zst Clock cache size       22, 21470614 req, miss ratio 0.4434, byte miss ratio 0.4434
result/cdn2_colo28.ns16525.oracleGeneral.zst Clock cache size       76, 21470614 req, miss ratio 0.0736, byte miss ratio 0.0736
result/cdn2_colo28.ns16525.oracleGeneral.zst Clock cache size      228, 21470614 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_colo28.ns16525.oracleGeneral.zst Clock cache size      762, 21470614 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_colo28.ns16525.oracleGeneral.zst Clock cache size     1525, 21470614 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns16525.oracleGeneral.zst Clock cache size     3051, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst Clock cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst FIFO cache size        7, 21470614 req, miss ratio 0.6166, byte miss ratio 0.6166
result/cdn2_colo28.ns16525.oracleGeneral.zst FIFO cache size       22, 21470614 req, miss ratio 0.4746, byte miss ratio 0.4746
result/cdn2_colo28.ns16525.oracleGeneral.zst FIFO cache size       76, 21470614 req, miss ratio 0.1249, byte miss ratio 0.1249
result/cdn2_colo28.ns16525.oracleGeneral.zst FIFO cache size      228, 21470614 req, miss ratio 0.0101, byte miss ratio 0.0101
result/cdn2_colo28.ns16525.oracleGeneral.zst FIFO cache size      762, 21470614 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_colo28.ns16525.oracleGeneral.zst FIFO cache size     1525, 21470614 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_colo28.ns16525.oracleGeneral.zst FIFO cache size     3051, 21470614 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns16525.oracleGeneral.zst FIFO cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst LRU cache size        7, 21470614 req, miss ratio 0.6173, byte miss ratio 0.6173
result/cdn2_colo28.ns16525.oracleGeneral.zst LRU cache size       22, 21470614 req, miss ratio 0.4804, byte miss ratio 0.4804
result/cdn2_colo28.ns16525.oracleGeneral.zst LRU cache size       76, 21470614 req, miss ratio 0.0787, byte miss ratio 0.0787
result/cdn2_colo28.ns16525.oracleGeneral.zst LRU cache size      228, 21470614 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn2_colo28.ns16525.oracleGeneral.zst LRU cache size      762, 21470614 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_colo28.ns16525.oracleGeneral.zst LRU cache size     1525, 21470614 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns16525.oracleGeneral.zst LRU cache size     3051, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst LRU cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst clock2 cache size        7, 21470614 req, miss ratio 0.6119, byte miss ratio 0.6119
result/cdn2_colo28.ns16525.oracleGeneral.zst clock2 cache size       22, 21470614 req, miss ratio 0.4032, byte miss ratio 0.4032
result/cdn2_colo28.ns16525.oracleGeneral.zst clock2 cache size       76, 21470614 req, miss ratio 0.0655, byte miss ratio 0.0655
result/cdn2_colo28.ns16525.oracleGeneral.zst clock2 cache size      228, 21470614 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_colo28.ns16525.oracleGeneral.zst clock2 cache size      762, 21470614 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns16525.oracleGeneral.zst clock2 cache size     1525, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst clock2 cache size     3051, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst clock2 cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-1 cache size        7, 21470614 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-1 cache size       22, 21470614 req, miss ratio 0.3419, byte miss ratio 0.3419
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-1 cache size       76, 21470614 req, miss ratio 0.0631, byte miss ratio 0.0631
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-1 cache size      228, 21470614 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-1 cache size      762, 21470614 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-1 cache size     1525, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-1 cache size     3051, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-1 cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst LeCaR cache size        7, 21470614 req, miss ratio 0.5100, byte miss ratio 0.5100
result/cdn2_colo28.ns16525.oracleGeneral.zst LeCaR cache size       22, 21470614 req, miss ratio 0.2923, byte miss ratio 0.2923
result/cdn2_colo28.ns16525.oracleGeneral.zst LeCaR cache size       76, 21470614 req, miss ratio 0.0669, byte miss ratio 0.0669
result/cdn2_colo28.ns16525.oracleGeneral.zst LeCaR cache size      228, 21470614 req, miss ratio 0.0036, byte miss ratio 0.0036
