result/cdn2_colo28.ns2841.oracleGeneral.zst LIRS cache size        5, 1099690 req, miss ratio 0.8074, byte miss ratio 0.8074
result/cdn2_colo28.ns2841.oracleGeneral.zst LIRS cache size       17, 1099690 req, miss ratio 0.1696, byte miss ratio 0.1696
result/cdn2_colo28.ns2841.oracleGeneral.zst LIRS cache size       57, 1099690 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns2841.oracleGeneral.zst LIRS cache size      114, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst LIRS cache size      228, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst LIRS cache size      456, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst Clock cache size        5, 1099690 req, miss ratio 0.9332, byte miss ratio 0.9332
result/cdn2_colo28.ns2841.oracleGeneral.zst Clock cache size       17, 1099690 req, miss ratio 0.3617, byte miss ratio 0.3617
result/cdn2_colo28.ns2841.oracleGeneral.zst Clock cache size       57, 1099690 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns2841.oracleGeneral.zst Clock cache size      114, 1099690 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_colo28.ns2841.oracleGeneral.zst Clock cache size      228, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst Clock cache size      456, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst clock2 cache size        5, 1099690 req, miss ratio 0.9331, byte miss ratio 0.9331
result/cdn2_colo28.ns2841.oracleGeneral.zst clock2 cache size       17, 1099690 req, miss ratio 0.3284, byte miss ratio 0.3284
result/cdn2_colo28.ns2841.oracleGeneral.zst clock2 cache size       57, 1099690 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_colo28.ns2841.oracleGeneral.zst clock2 cache size      114, 1099690 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns2841.oracleGeneral.zst clock2 cache size      228, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst clock2 cache size      456, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst LRU cache size        5, 1099690 req, miss ratio 0.9330, byte miss ratio 0.9330
result/cdn2_colo28.ns2841.oracleGeneral.zst LRU cache size       17, 1099690 req, miss ratio 0.4120, byte miss ratio 0.4120
result/cdn2_colo28.ns2841.oracleGeneral.zst LRU cache size       57, 1099690 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns2841.oracleGeneral.zst LRU cache size      114, 1099690 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_colo28.ns2841.oracleGeneral.zst LRU cache size      228, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst LRU cache size      456, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst Cacheus cache size        5, 1099690 req, miss ratio 0.8855, byte miss ratio 0.8855
result/cdn2_colo28.ns2841.oracleGeneral.zst Cacheus cache size       17, 1099690 req, miss ratio 0.5313, byte miss ratio 0.5313
result/cdn2_colo28.ns2841.oracleGeneral.zst Cacheus cache size       57, 1099690 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns2841.oracleGeneral.zst Cacheus cache size      114, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst Cacheus cache size      228, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst Cacheus cache size      456, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-1 cache size        5, 1099690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-1 cache size       17, 1099690 req, miss ratio 0.2218, byte miss ratio 0.2218
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-1 cache size       57, 1099690 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-1 cache size      114, 1099690 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-1 cache size      228, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-1 cache size      456, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst LHD cache size        5, 1099690 req, miss ratio 0.8029, byte miss ratio 0.8029
