result/cdn2_colo28.ns34.oracleGeneral.zst LRU cache size       74, 22199791 req, miss ratio 0.4500, byte miss ratio 0.4500
result/cdn2_colo28.ns34.oracleGeneral.zst LRU cache size      222, 22199791 req, miss ratio 0.4028, byte miss ratio 0.4028
result/cdn2_colo28.ns34.oracleGeneral.zst LRU cache size      741, 22199791 req, miss ratio 0.3302, byte miss ratio 0.3302
result/cdn2_colo28.ns34.oracleGeneral.zst LRU cache size     2225, 22199791 req, miss ratio 0.2304, byte miss ratio 0.2304
result/cdn2_colo28.ns34.oracleGeneral.zst LRU cache size     7419, 22199791 req, miss ratio 0.0861, byte miss ratio 0.0861
result/cdn2_colo28.ns34.oracleGeneral.zst LRU cache size    14838, 22199791 req, miss ratio 0.0280, byte miss ratio 0.0280
result/cdn2_colo28.ns34.oracleGeneral.zst LRU cache size    29677, 22199791 req, miss ratio 0.0091, byte miss ratio 0.0091
result/cdn2_colo28.ns34.oracleGeneral.zst LRU cache size    59354, 22199791 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_colo28.ns34.oracleGeneral.zst ARC cache size       74, 22199791 req, miss ratio 0.4542, byte miss ratio 0.4542
result/cdn2_colo28.ns34.oracleGeneral.zst ARC cache size      222, 22199791 req, miss ratio 0.4067, byte miss ratio 0.4067
result/cdn2_colo28.ns34.oracleGeneral.zst ARC cache size      741, 22199791 req, miss ratio 0.3334, byte miss ratio 0.3334
result/cdn2_colo28.ns34.oracleGeneral.zst ARC cache size     2225, 22199791 req, miss ratio 0.2322, byte miss ratio 0.2322
result/cdn2_colo28.ns34.oracleGeneral.zst ARC cache size     7419, 22199791 req, miss ratio 0.0863, byte miss ratio 0.0863
result/cdn2_colo28.ns34.oracleGeneral.zst ARC cache size    14838, 22199791 req, miss ratio 0.0281, byte miss ratio 0.0281
result/cdn2_colo28.ns34.oracleGeneral.zst ARC cache size    29677, 22199791 req, miss ratio 0.0091, byte miss ratio 0.0091
result/cdn2_colo28.ns34.oracleGeneral.zst ARC cache size    59354, 22199791 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_colo28.ns34.oracleGeneral.zst LHD cache size       74, 22199791 req, miss ratio 0.4465, byte miss ratio 0.4465
result/cdn2_colo28.ns34.oracleGeneral.zst LHD cache size      222, 22199791 req, miss ratio 0.3979, byte miss ratio 0.3979
result/cdn2_colo28.ns34.oracleGeneral.zst LHD cache size      741, 22199791 req, miss ratio 0.3190, byte miss ratio 0.3190
result/cdn2_colo28.ns34.oracleGeneral.zst LHD cache size     2225, 22199791 req, miss ratio 0.2149, byte miss ratio 0.2149
result/cdn2_colo28.ns34.oracleGeneral.zst LHD cache size     7419, 22199791 req, miss ratio 0.0774, byte miss ratio 0.0774
result/cdn2_colo28.ns34.oracleGeneral.zst LHD cache size    14838, 22199791 req, miss ratio 0.0264, byte miss ratio 0.0264
result/cdn2_colo28.ns34.oracleGeneral.zst LHD cache size    29677, 22199791 req, miss ratio 0.0091, byte miss ratio 0.0091
result/cdn2_colo28.ns34.oracleGeneral.zst LHD cache size    59354, 22199791 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_colo28.ns34.oracleGeneral.zst Clock cache size       74, 22199791 req, miss ratio 0.4530, byte miss ratio 0.4530
