result/cdn2_colo28.ns3538.oracleGeneral.zst clock2 cache size      118, 1060216 req, miss ratio 0.2044, byte miss ratio 0.2044
result/cdn2_colo28.ns3538.oracleGeneral.zst clock2 cache size      356, 1060216 req, miss ratio 0.1594, byte miss ratio 0.1594
result/cdn2_colo28.ns3538.oracleGeneral.zst clock2 cache size     1188, 1060216 req, miss ratio 0.1365, byte miss ratio 0.1365
result/cdn2_colo28.ns3538.oracleGeneral.zst clock2 cache size     3564, 1060216 req, miss ratio 0.1241, byte miss ratio 0.1241
result/cdn2_colo28.ns3538.oracleGeneral.zst clock2 cache size    11881, 1060216 req, miss ratio 0.1157, byte miss ratio 0.1157
result/cdn2_colo28.ns3538.oracleGeneral.zst clock2 cache size    23762, 1060216 req, miss ratio 0.1132, byte miss ratio 0.1132
result/cdn2_colo28.ns3538.oracleGeneral.zst clock2 cache size    47525, 1060216 req, miss ratio 0.1125, byte miss ratio 0.1125
result/cdn2_colo28.ns3538.oracleGeneral.zst clock2 cache size    95050, 1060216 req, miss ratio 0.1121, byte miss ratio 0.1121
result/cdn2_colo28.ns3538.oracleGeneral.zst LRU cache size      118, 1060216 req, miss ratio 0.2207, byte miss ratio 0.2207
result/cdn2_colo28.ns3538.oracleGeneral.zst LRU cache size      356, 1060216 req, miss ratio 0.1694, byte miss ratio 0.1694
result/cdn2_colo28.ns3538.oracleGeneral.zst LRU cache size     1188, 1060216 req, miss ratio 0.1416, byte miss ratio 0.1416
result/cdn2_colo28.ns3538.oracleGeneral.zst LRU cache size     3564, 1060216 req, miss ratio 0.1282, byte miss ratio 0.1282
result/cdn2_colo28.ns3538.oracleGeneral.zst LRU cache size    11881, 1060216 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns3538.oracleGeneral.zst LRU cache size    23762, 1060216 req, miss ratio 0.1140, byte miss ratio 0.1140
result/cdn2_colo28.ns3538.oracleGeneral.zst LRU cache size    47525, 1060216 req, miss ratio 0.1127, byte miss ratio 0.1127
result/cdn2_colo28.ns3538.oracleGeneral.zst LRU cache size    95050, 1060216 req, miss ratio 0.1121, byte miss ratio 0.1121
result/cdn2_colo28.ns3538.oracleGeneral.zst LeCaR cache size      118, 1060216 req, miss ratio 0.2027, byte miss ratio 0.2027
