result/cdn2_colo28.ns3628.oracleGeneral.zst FIFO cache size       64, 1377456 req, miss ratio 0.2715, byte miss ratio 0.2715
result/cdn2_colo28.ns3628.oracleGeneral.zst FIFO cache size      192, 1377456 req, miss ratio 0.1170, byte miss ratio 0.1170
result/cdn2_colo28.ns3628.oracleGeneral.zst FIFO cache size      643, 1377456 req, miss ratio 0.0795, byte miss ratio 0.0795
result/cdn2_colo28.ns3628.oracleGeneral.zst FIFO cache size     1929, 1377456 req, miss ratio 0.0667, byte miss ratio 0.0667
result/cdn2_colo28.ns3628.oracleGeneral.zst FIFO cache size     6431, 1377456 req, miss ratio 0.0589, byte miss ratio 0.0589
result/cdn2_colo28.ns3628.oracleGeneral.zst FIFO cache size    12862, 1377456 req, miss ratio 0.0555, byte miss ratio 0.0555
result/cdn2_colo28.ns3628.oracleGeneral.zst FIFO cache size    25724, 1377456 req, miss ratio 0.0522, byte miss ratio 0.0522
result/cdn2_colo28.ns3628.oracleGeneral.zst FIFO cache size    51448, 1377456 req, miss ratio 0.0476, byte miss ratio 0.0476
result/cdn2_colo28.ns3628.oracleGeneral.zst LeCaR cache size       64, 1377456 req, miss ratio 0.1504, byte miss ratio 0.1504
result/cdn2_colo28.ns3628.oracleGeneral.zst LeCaR cache size      192, 1377456 req, miss ratio 0.0846, byte miss ratio 0.0846
result/cdn2_colo28.ns3628.oracleGeneral.zst LeCaR cache size      643, 1377456 req, miss ratio 0.0683, byte miss ratio 0.0683
result/cdn2_colo28.ns3628.oracleGeneral.zst LeCaR cache size     1929, 1377456 req, miss ratio 0.0615, byte miss ratio 0.0615
result/cdn2_colo28.ns3628.oracleGeneral.zst LeCaR cache size     6431, 1377456 req, miss ratio 0.0564, byte miss ratio 0.0564
result/cdn2_colo28.ns3628.oracleGeneral.zst LeCaR cache size    12862, 1377456 req, miss ratio 0.0536, byte miss ratio 0.0536
result/cdn2_colo28.ns3628.oracleGeneral.zst LeCaR cache size    25724, 1377456 req, miss ratio 0.0505, byte miss ratio 0.0505
result/cdn2_colo28.ns3628.oracleGeneral.zst LeCaR cache size    51448, 1377456 req, miss ratio 0.0469, byte miss ratio 0.0469
result/cdn2_colo28.ns3628.oracleGeneral.zst Clock cache size       64, 1377456 req, miss ratio 0.2560, byte miss ratio 0.2560
result/cdn2_colo28.ns3628.oracleGeneral.zst Clock cache size      192, 1377456 req, miss ratio 0.0867, byte miss ratio 0.0867
result/cdn2_colo28.ns3628.oracleGeneral.zst Clock cache size      643, 1377456 req, miss ratio 0.0690, byte miss ratio 0.0690
result/cdn2_colo28.ns3628.oracleGeneral.zst Clock cache size     1929, 1377456 req, miss ratio 0.0618, byte miss ratio 0.0618
result/cdn2_colo28.ns3628.oracleGeneral.zst Clock cache size     6431, 1377456 req, miss ratio 0.0567, byte miss ratio 0.0567
result/cdn2_colo28.ns3628.oracleGeneral.zst Clock cache size    12862, 1377456 req, miss ratio 0.0540, byte miss ratio 0.0540
result/cdn2_colo28.ns3628.oracleGeneral.zst Clock cache size    25724, 1377456 req, miss ratio 0.0510, byte miss ratio 0.0510
result/cdn2_colo28.ns3628.oracleGeneral.zst Clock cache size    51448, 1377456 req, miss ratio 0.0471, byte miss ratio 0.0471
result/cdn2_colo28.ns3628.oracleGeneral.zst LRU cache size       64, 1377456 req, miss ratio 0.2524, byte miss ratio 0.2524
result/cdn2_colo28.ns3628.oracleGeneral.zst LRU cache size      192, 1377456 req, miss ratio 0.0836, byte miss ratio 0.0836
result/cdn2_colo28.ns3628.oracleGeneral.zst LRU cache size      643, 1377456 req, miss ratio 0.0678, byte miss ratio 0.0678
result/cdn2_colo28.ns3628.oracleGeneral.zst LRU cache size     1929, 1377456 req, miss ratio 0.0613, byte miss ratio 0.0613
result/cdn2_colo28.ns3628.oracleGeneral.zst LRU cache size     6431, 1377456 req, miss ratio 0.0562, byte miss ratio 0.0562
result/cdn2_colo28.ns3628.oracleGeneral.zst LRU cache size    12862, 1377456 req, miss ratio 0.0535, byte miss ratio 0.0535
