result/cdn2_colo28.ns387.oracleGeneral.zst LRU cache size      528, 3131344 req, miss ratio 0.5771, byte miss ratio 0.5771
result/cdn2_colo28.ns387.oracleGeneral.zst LRU cache size     1585, 3131344 req, miss ratio 0.5612, byte miss ratio 0.5612
result/cdn2_colo28.ns387.oracleGeneral.zst LRU cache size     5284, 3131344 req, miss ratio 0.5470, byte miss ratio 0.5470
result/cdn2_colo28.ns387.oracleGeneral.zst LRU cache size    15852, 3131344 req, miss ratio 0.5329, byte miss ratio 0.5329
result/cdn2_colo28.ns387.oracleGeneral.zst LRU cache size    52843, 3131344 req, miss ratio 0.2845, byte miss ratio 0.2845
result/cdn2_colo28.ns387.oracleGeneral.zst LRU cache size   105686, 3131344 req, miss ratio 0.1976, byte miss ratio 0.1976
result/cdn2_colo28.ns387.oracleGeneral.zst LRU cache size   211372, 3131344 req, miss ratio 0.1748, byte miss ratio 0.1748
result/cdn2_colo28.ns387.oracleGeneral.zst LRU cache size   422745, 3131344 req, miss ratio 0.1690, byte miss ratio 0.1690
result/cdn2_colo28.ns387.oracleGeneral.zst ARC cache size      528, 3131344 req, miss ratio 0.5765, byte miss ratio 0.5765
result/cdn2_colo28.ns387.oracleGeneral.zst ARC cache size     1585, 3131344 req, miss ratio 0.5598, byte miss ratio 0.5598
result/cdn2_colo28.ns387.oracleGeneral.zst ARC cache size     5284, 3131344 req, miss ratio 0.5469, byte miss ratio 0.5469
result/cdn2_colo28.ns387.oracleGeneral.zst ARC cache size    15852, 3131344 req, miss ratio 0.5299, byte miss ratio 0.5299
result/cdn2_colo28.ns387.oracleGeneral.zst ARC cache size    52843, 3131344 req, miss ratio 0.2263, byte miss ratio 0.2263
result/cdn2_colo28.ns387.oracleGeneral.zst ARC cache size   105686, 3131344 req, miss ratio 0.1807, byte miss ratio 0.1807
result/cdn2_colo28.ns387.oracleGeneral.zst ARC cache size   211372, 3131344 req, miss ratio 0.1712, byte miss ratio 0.1712
result/cdn2_colo28.ns387.oracleGeneral.zst ARC cache size   422745, 3131344 req, miss ratio 0.1689, byte miss ratio 0.1689
result/cdn2_colo28.ns387.oracleGeneral.zst LHD cache size      528, 3131344 req, miss ratio 0.5849, byte miss ratio 0.5849
result/cdn2_colo28.ns387.oracleGeneral.zst LHD cache size     1585, 3131344 req, miss ratio 0.5604, byte miss ratio 0.5604
result/cdn2_colo28.ns387.oracleGeneral.zst LHD cache size     5284, 3131344 req, miss ratio 0.5460, byte miss ratio 0.5460
result/cdn2_colo28.ns387.oracleGeneral.zst LHD cache size    15852, 3131344 req, miss ratio 0.4952, byte miss ratio 0.4952
result/cdn2_colo28.ns387.oracleGeneral.zst LHD cache size    52843, 3131344 req, miss ratio 0.2576, byte miss ratio 0.2576
result/cdn2_colo28.ns387.oracleGeneral.zst LHD cache size   105686, 3131344 req, miss ratio 0.1881, byte miss ratio 0.1881
result/cdn2_colo28.ns387.oracleGeneral.zst LHD cache size   211372, 3131344 req, miss ratio 0.1745, byte miss ratio 0.1745
result/cdn2_colo28.ns387.oracleGeneral.zst LHD cache size   422745, 3131344 req, miss ratio 0.1692, byte miss ratio 0.1692
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-1 cache size      528, 3131344 req, miss ratio 0.5879, byte miss ratio 0.5879
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-1 cache size     1585, 3131344 req, miss ratio 0.5650, byte miss ratio 0.5650
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-1 cache size     5284, 3131344 req, miss ratio 0.5496, byte miss ratio 0.5496
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-1 cache size    15852, 3131344 req, miss ratio 0.5129, byte miss ratio 0.5129
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-1 cache size    52843, 3131344 req, miss ratio 0.2269, byte miss ratio 0.2269
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-1 cache size   105686, 3131344 req, miss ratio 0.1818, byte miss ratio 0.1818
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-1 cache size   211372, 3131344 req, miss ratio 0.1712, byte miss ratio 0.1712
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-1 cache size   422745, 3131344 req, miss ratio 0.1689, byte miss ratio 0.1689
