result/cdn2_colo28.ns495.oracleGeneral.zst clock2 cache size       18, 2714293 req, miss ratio 0.0707, byte miss ratio 0.0707
result/cdn2_colo28.ns495.oracleGeneral.zst clock2 cache size       54, 2714293 req, miss ratio 0.0406, byte miss ratio 0.0406
result/cdn2_colo28.ns495.oracleGeneral.zst clock2 cache size      181, 2714293 req, miss ratio 0.0182, byte miss ratio 0.0182
result/cdn2_colo28.ns495.oracleGeneral.zst clock2 cache size      545, 2714293 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_colo28.ns495.oracleGeneral.zst clock2 cache size     1816, 2714293 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_colo28.ns495.oracleGeneral.zst clock2 cache size     3633, 2714293 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn2_colo28.ns495.oracleGeneral.zst clock2 cache size     7267, 2714293 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn2_colo28.ns495.oracleGeneral.zst clock2 cache size    14535, 2714293 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns495.oracleGeneral.zst LRU cache size       18, 2714293 req, miss ratio 0.0805, byte miss ratio 0.0805
result/cdn2_colo28.ns495.oracleGeneral.zst LRU cache size       54, 2714293 req, miss ratio 0.0430, byte miss ratio 0.0430
result/cdn2_colo28.ns495.oracleGeneral.zst LRU cache size      181, 2714293 req, miss ratio 0.0196, byte miss ratio 0.0196
result/cdn2_colo28.ns495.oracleGeneral.zst LRU cache size      545, 2714293 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_colo28.ns495.oracleGeneral.zst LRU cache size     1816, 2714293 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cdn2_colo28.ns495.oracleGeneral.zst LRU cache size     3633, 2714293 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn2_colo28.ns495.oracleGeneral.zst LRU cache size     7267, 2714293 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn2_colo28.ns495.oracleGeneral.zst LRU cache size    14535, 2714293 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns495.oracleGeneral.zst LHD cache size       18, 2714293 req, miss ratio 0.0662, byte miss ratio 0.0662
result/cdn2_colo28.ns495.oracleGeneral.zst LHD cache size       54, 2714293 req, miss ratio 0.0396, byte miss ratio 0.0396
result/cdn2_colo28.ns495.oracleGeneral.zst LHD cache size      181, 2714293 req, miss ratio 0.0184, byte miss ratio 0.0184
result/cdn2_colo28.ns495.oracleGeneral.zst LHD cache size      545, 2714293 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_colo28.ns495.oracleGeneral.zst LHD cache size     1816, 2714293 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_colo28.ns495.oracleGeneral.zst LHD cache size     3633, 2714293 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn2_colo28.ns495.oracleGeneral.zst LHD cache size     7267, 2714293 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn2_colo28.ns495.oracleGeneral.zst LHD cache size    14535, 2714293 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns495.oracleGeneral.zst Cacheus cache size       18, 2714293 req, miss ratio 0.0629, byte miss ratio 0.0629
result/cdn2_colo28.ns495.oracleGeneral.zst Cacheus cache size       54, 2714293 req, miss ratio 0.0371, byte miss ratio 0.0371
result/cdn2_colo28.ns495.oracleGeneral.zst Cacheus cache size      181, 2714293 req, miss ratio 0.0182, byte miss ratio 0.0182
result/cdn2_colo28.ns495.oracleGeneral.zst Cacheus cache size      545, 2714293 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_colo28.ns495.oracleGeneral.zst Cacheus cache size     1816, 2714293 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_colo28.ns495.oracleGeneral.zst Cacheus cache size     3633, 2714293 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_colo28.ns495.oracleGeneral.zst Cacheus cache size     7267, 2714293 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_colo28.ns495.oracleGeneral.zst Cacheus cache size    14535, 2714293 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns495.oracleGeneral.zst Clock cache size       18, 2714293 req, miss ratio 0.0767, byte miss ratio 0.0767
result/cdn2_colo28.ns495.oracleGeneral.zst Clock cache size       54, 2714293 req, miss ratio 0.0419, byte miss ratio 0.0419
result/cdn2_colo28.ns495.oracleGeneral.zst Clock cache size      181, 2714293 req, miss ratio 0.0191, byte miss ratio 0.0191
result/cdn2_colo28.ns495.oracleGeneral.zst Clock cache size      545, 2714293 req, miss ratio 0.0115, byte miss ratio 0.0115
result/cdn2_colo28.ns495.oracleGeneral.zst Clock cache size     1816, 2714293 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_colo28.ns495.oracleGeneral.zst Clock cache size     3633, 2714293 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn2_colo28.ns495.oracleGeneral.zst Clock cache size     7267, 2714293 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn2_colo28.ns495.oracleGeneral.zst Clock cache size    14535, 2714293 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns495.oracleGeneral.zst LeCaR cache size       18, 2714293 req, miss ratio 0.0687, byte miss ratio 0.0687
result/cdn2_colo28.ns495.oracleGeneral.zst LeCaR cache size       54, 2714293 req, miss ratio 0.0403, byte miss ratio 0.0403
result/cdn2_colo28.ns495.oracleGeneral.zst LeCaR cache size      181, 2714293 req, miss ratio 0.0185, byte miss ratio 0.0185
result/cdn2_colo28.ns495.oracleGeneral.zst LeCaR cache size      545, 2714293 req, miss ratio 0.0115, byte miss ratio 0.0115
result/cdn2_colo28.ns495.oracleGeneral.zst LeCaR cache size     1816, 2714293 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_colo28.ns495.oracleGeneral.zst LeCaR cache size     3633, 2714293 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn2_colo28.ns495.oracleGeneral.zst LeCaR cache size     7267, 2714293 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn2_colo28.ns495.oracleGeneral.zst LeCaR cache size    14535, 2714293 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns495.oracleGeneral.zst LIRS cache size       18, 2714293 req, miss ratio 0.0615, byte miss ratio 0.0615
result/cdn2_colo28.ns495.oracleGeneral.zst LIRS cache size       54, 2714293 req, miss ratio 0.0364, byte miss ratio 0.0364
result/cdn2_colo28.ns495.oracleGeneral.zst LIRS cache size      181, 2714293 req, miss ratio 0.0178, byte miss ratio 0.0178
result/cdn2_colo28.ns495.oracleGeneral.zst LIRS cache size      545, 2714293 req, miss ratio 0.0113, byte miss ratio 0.0113
result/cdn2_colo28.ns495.oracleGeneral.zst LIRS cache size     1816, 2714293 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_colo28.ns495.oracleGeneral.zst LIRS cache size     3633, 2714293 req, miss ratio 0.0073, byte miss ratio 0.0073
result/cdn2_colo28.ns495.oracleGeneral.zst LIRS cache size     7267, 2714293 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_colo28.ns495.oracleGeneral.zst LIRS cache size    14535, 2714293 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns495.oracleGeneral.zst ARC cache size       18, 2714293 req, miss ratio 0.0642, byte miss ratio 0.0642
result/cdn2_colo28.ns495.oracleGeneral.zst ARC cache size       54, 2714293 req, miss ratio 0.0372, byte miss ratio 0.0372
result/cdn2_colo28.ns495.oracleGeneral.zst ARC cache size      181, 2714293 req, miss ratio 0.0170, byte miss ratio 0.0170
result/cdn2_colo28.ns495.oracleGeneral.zst ARC cache size      545, 2714293 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cdn2_colo28.ns495.oracleGeneral.zst ARC cache size     1816, 2714293 req, miss ratio 0.0076, byte miss ratio 0.0076
result/cdn2_colo28.ns495.oracleGeneral.zst ARC cache size     3633, 2714293 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_colo28.ns495.oracleGeneral.zst ARC cache size     7267, 2714293 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_colo28.ns495.oracleGeneral.zst ARC cache size    14535, 2714293 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns495.oracleGeneral.zst FIFO cache size       18, 2714293 req, miss ratio 0.1102, byte miss ratio 0.1102
result/cdn2_colo28.ns495.oracleGeneral.zst FIFO cache size       54, 2714293 req, miss ratio 0.0559, byte miss ratio 0.0559
result/cdn2_colo28.ns495.oracleGeneral.zst FIFO cache size      181, 2714293 req, miss ratio 0.0262, byte miss ratio 0.0262
result/cdn2_colo28.ns495.oracleGeneral.zst FIFO cache size      545, 2714293 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_colo28.ns495.oracleGeneral.zst FIFO cache size     1816, 2714293 req, miss ratio 0.0095, byte miss ratio 0.0095
result/cdn2_colo28.ns495.oracleGeneral.zst FIFO cache size     3633, 2714293 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_colo28.ns495.oracleGeneral.zst FIFO cache size     7267, 2714293 req, miss ratio 0.0073, byte miss ratio 0.0073
result/cdn2_colo28.ns495.oracleGeneral.zst FIFO cache size    14535, 2714293 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO-1 cache size       18, 2714293 req, miss ratio 0.0605, byte miss ratio 0.0605
