result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-1 cache size       51, 1185248 req, miss ratio 0.5237, byte miss ratio 0.5237
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-1 cache size      155, 1185248 req, miss ratio 0.4215, byte miss ratio 0.4215
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-1 cache size      517, 1185248 req, miss ratio 0.3218, byte miss ratio 0.3218
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-1 cache size     1552, 1185248 req, miss ratio 0.2240, byte miss ratio 0.2240
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-1 cache size     5176, 1185248 req, miss ratio 0.1321, byte miss ratio 0.1321
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-1 cache size    10353, 1185248 req, miss ratio 0.0899, byte miss ratio 0.0899
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-1 cache size    20706, 1185248 req, miss ratio 0.0586, byte miss ratio 0.0586
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-1 cache size    41412, 1185248 req, miss ratio 0.0446, byte miss ratio 0.0446
result/cdn2_colo28.ns4984.oracleGeneral.zst LIRS cache size       51, 1185248 req, miss ratio 0.5250, byte miss ratio 0.5250
result/cdn2_colo28.ns4984.oracleGeneral.zst LIRS cache size      155, 1185248 req, miss ratio 0.4319, byte miss ratio 0.4319
result/cdn2_colo28.ns4984.oracleGeneral.zst LIRS cache size      517, 1185248 req, miss ratio 0.3381, byte miss ratio 0.3381
result/cdn2_colo28.ns4984.oracleGeneral.zst LIRS cache size     1552, 1185248 req, miss ratio 0.2372, byte miss ratio 0.2372
result/cdn2_colo28.ns4984.oracleGeneral.zst LIRS cache size     5176, 1185248 req, miss ratio 0.1379, byte miss ratio 0.1379
result/cdn2_colo28.ns4984.oracleGeneral.zst LIRS cache size    10353, 1185248 req, miss ratio 0.0917, byte miss ratio 0.0917
result/cdn2_colo28.ns4984.oracleGeneral.zst LIRS cache size    20706, 1185248 req, miss ratio 0.0599, byte miss ratio 0.0599
result/cdn2_colo28.ns4984.oracleGeneral.zst LIRS cache size    41412, 1185248 req, miss ratio 0.0455, byte miss ratio 0.0455
result/cdn2_colo28.ns4984.oracleGeneral.zst LHD cache size       51, 1185248 req, miss ratio 0.5537, byte miss ratio 0.5537
result/cdn2_colo28.ns4984.oracleGeneral.zst LHD cache size      155, 1185248 req, miss ratio 0.4416, byte miss ratio 0.4416
result/cdn2_colo28.ns4984.oracleGeneral.zst LHD cache size      517, 1185248 req, miss ratio 0.3626, byte miss ratio 0.3626
result/cdn2_colo28.ns4984.oracleGeneral.zst LHD cache size     1552, 1185248 req, miss ratio 0.2572, byte miss ratio 0.2572
result/cdn2_colo28.ns4984.oracleGeneral.zst LHD cache size     5176, 1185248 req, miss ratio 0.1498, byte miss ratio 0.1498
result/cdn2_colo28.ns4984.oracleGeneral.zst LHD cache size    10353, 1185248 req, miss ratio 0.1010, byte miss ratio 0.1010
result/cdn2_colo28.ns4984.oracleGeneral.zst LHD cache size    20706, 1185248 req, miss ratio 0.0626, byte miss ratio 0.0626
result/cdn2_colo28.ns4984.oracleGeneral.zst LHD cache size    41412, 1185248 req, miss ratio 0.0449, byte miss ratio 0.0449
result/cdn2_colo28.ns4984.oracleGeneral.zst ARC cache size       51, 1185248 req, miss ratio 0.5340, byte miss ratio 0.5340
result/cdn2_colo28.ns4984.oracleGeneral.zst ARC cache size      155, 1185248 req, miss ratio 0.4249, byte miss ratio 0.4249
result/cdn2_colo28.ns4984.oracleGeneral.zst ARC cache size      517, 1185248 req, miss ratio 0.3298, byte miss ratio 0.3298
