result/cdn2_colo28.ns629.oracleGeneral.zst LIRS cache size     2177, 3722658 req, miss ratio 0.7467, byte miss ratio 0.7467
result/cdn2_colo28.ns629.oracleGeneral.zst LIRS cache size     6533, 3722658 req, miss ratio 0.7076, byte miss ratio 0.7076
result/cdn2_colo28.ns629.oracleGeneral.zst LIRS cache size    21778, 3722658 req, miss ratio 0.6876, byte miss ratio 0.6876
result/cdn2_colo28.ns629.oracleGeneral.zst LIRS cache size    65334, 3722658 req, miss ratio 0.6697, byte miss ratio 0.6697
result/cdn2_colo28.ns629.oracleGeneral.zst LIRS cache size   217780, 3722658 req, miss ratio 0.6390, byte miss ratio 0.6390
result/cdn2_colo28.ns629.oracleGeneral.zst LIRS cache size   435560, 3722658 req, miss ratio 0.6157, byte miss ratio 0.6157
result/cdn2_colo28.ns629.oracleGeneral.zst LIRS cache size   871121, 3722658 req, miss ratio 0.5960, byte miss ratio 0.5960
result/cdn2_colo28.ns629.oracleGeneral.zst LIRS cache size  1742243, 3722658 req, miss ratio 0.5867, byte miss ratio 0.5867
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-1 cache size     2177, 3722658 req, miss ratio 0.7360, byte miss ratio 0.7360
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-1 cache size     6533, 3722658 req, miss ratio 0.6842, byte miss ratio 0.6842
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-1 cache size    21778, 3722658 req, miss ratio 0.6435, byte miss ratio 0.6435
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-1 cache size    65334, 3722658 req, miss ratio 0.6070, byte miss ratio 0.6070
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-1 cache size   217780, 3722658 req, miss ratio 0.5899, byte miss ratio 0.5899
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-1 cache size   435560, 3722658 req, miss ratio 0.5861, byte miss ratio 0.5861
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-1 cache size   871121, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-1 cache size  1742243, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst LeCaR cache size     2177, 3722658 req, miss ratio 0.7422, byte miss ratio 0.7422
result/cdn2_colo28.ns629.oracleGeneral.zst LeCaR cache size     6533, 3722658 req, miss ratio 0.6473, byte miss ratio 0.6473
result/cdn2_colo28.ns629.oracleGeneral.zst LeCaR cache size    21778, 3722658 req, miss ratio 0.6013, byte miss ratio 0.6013
result/cdn2_colo28.ns629.oracleGeneral.zst LeCaR cache size    65334, 3722658 req, miss ratio 0.5904, byte miss ratio 0.5904
result/cdn2_colo28.ns629.oracleGeneral.zst LeCaR cache size   217780, 3722658 req, miss ratio 0.5856, byte miss ratio 0.5856
result/cdn2_colo28.ns629.oracleGeneral.zst LeCaR cache size   435560, 3722658 req, miss ratio 0.5852, byte miss ratio 0.5852
