result/cdn2_colo28.ns667.oracleGeneral.zst Cacheus cache size       38, 2296440 req, miss ratio 0.8154, byte miss ratio 0.8154
result/cdn2_colo28.ns667.oracleGeneral.zst Cacheus cache size      115, 2296440 req, miss ratio 0.7257, byte miss ratio 0.7257
result/cdn2_colo28.ns667.oracleGeneral.zst Cacheus cache size      386, 2296440 req, miss ratio 0.5209, byte miss ratio 0.5209
result/cdn2_colo28.ns667.oracleGeneral.zst Cacheus cache size     1158, 2296440 req, miss ratio 0.3575, byte miss ratio 0.3575
result/cdn2_colo28.ns667.oracleGeneral.zst Cacheus cache size     3861, 2296440 req, miss ratio 0.2138, byte miss ratio 0.2138
result/cdn2_colo28.ns667.oracleGeneral.zst Cacheus cache size     7722, 2296440 req, miss ratio 0.1064, byte miss ratio 0.1064
result/cdn2_colo28.ns667.oracleGeneral.zst Cacheus cache size    15444, 2296440 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn2_colo28.ns667.oracleGeneral.zst Cacheus cache size    30888, 2296440 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn2_colo28.ns667.oracleGeneral.zst clock2 cache size       38, 2296440 req, miss ratio 0.9136, byte miss ratio 0.9136
result/cdn2_colo28.ns667.oracleGeneral.zst clock2 cache size      115, 2296440 req, miss ratio 0.7672, byte miss ratio 0.7672
result/cdn2_colo28.ns667.oracleGeneral.zst clock2 cache size      386, 2296440 req, miss ratio 0.5851, byte miss ratio 0.5851
result/cdn2_colo28.ns667.oracleGeneral.zst clock2 cache size     1158, 2296440 req, miss ratio 0.4055, byte miss ratio 0.4055
result/cdn2_colo28.ns667.oracleGeneral.zst clock2 cache size     3861, 2296440 req, miss ratio 0.2070, byte miss ratio 0.2070
result/cdn2_colo28.ns667.oracleGeneral.zst clock2 cache size     7722, 2296440 req, miss ratio 0.1176, byte miss ratio 0.1176
result/cdn2_colo28.ns667.oracleGeneral.zst clock2 cache size    15444, 2296440 req, miss ratio 0.0526, byte miss ratio 0.0526
result/cdn2_colo28.ns667.oracleGeneral.zst clock2 cache size    30888, 2296440 req, miss ratio 0.0190, byte miss ratio 0.0190
result/cdn2_colo28.ns667.oracleGeneral.zst FIFO cache size       38, 2296440 req, miss ratio 0.9264, byte miss ratio 0.9264
result/cdn2_colo28.ns667.oracleGeneral.zst FIFO cache size      115, 2296440 req, miss ratio 0.8285, byte miss ratio 0.8285
result/cdn2_colo28.ns667.oracleGeneral.zst FIFO cache size      386, 2296440 req, miss ratio 0.6686, byte miss ratio 0.6686
result/cdn2_colo28.ns667.oracleGeneral.zst FIFO cache size     1158, 2296440 req, miss ratio 0.4904, byte miss ratio 0.4904
result/cdn2_colo28.ns667.oracleGeneral.zst FIFO cache size     3861, 2296440 req, miss ratio 0.2820, byte miss ratio 0.2820
result/cdn2_colo28.ns667.oracleGeneral.zst FIFO cache size     7722, 2296440 req, miss ratio 0.1727, byte miss ratio 0.1727
result/cdn2_colo28.ns667.oracleGeneral.zst FIFO cache size    15444, 2296440 req, miss ratio 0.0858, byte miss ratio 0.0858
result/cdn2_colo28.ns667.oracleGeneral.zst FIFO cache size    30888, 2296440 req, miss ratio 0.0265, byte miss ratio 0.0265
result/cdn2_colo28.ns667.oracleGeneral.zst LeCaR cache size       38, 2296440 req, miss ratio 0.8861, byte miss ratio 0.8861
result/cdn2_colo28.ns667.oracleGeneral.zst LeCaR cache size      115, 2296440 req, miss ratio 0.7745, byte miss ratio 0.7745
result/cdn2_colo28.ns667.oracleGeneral.zst LeCaR cache size      386, 2296440 req, miss ratio 0.6049, byte miss ratio 0.6049
result/cdn2_colo28.ns667.oracleGeneral.zst LeCaR cache size     1158, 2296440 req, miss ratio 0.4268, byte miss ratio 0.4268
result/cdn2_colo28.ns667.oracleGeneral.zst LeCaR cache size     3861, 2296440 req, miss ratio 0.2193, byte miss ratio 0.2193
result/cdn2_colo28.ns667.oracleGeneral.zst LeCaR cache size     7722, 2296440 req, miss ratio 0.1242, byte miss ratio 0.1242
result/cdn2_colo28.ns667.oracleGeneral.zst LeCaR cache size    15444, 2296440 req, miss ratio 0.0544, byte miss ratio 0.0544
result/cdn2_colo28.ns667.oracleGeneral.zst LeCaR cache size    30888, 2296440 req, miss ratio 0.0193, byte miss ratio 0.0193
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-1 cache size       38, 2296440 req, miss ratio 0.7858, byte miss ratio 0.7858
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-1 cache size      115, 2296440 req, miss ratio 0.6609, byte miss ratio 0.6609
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-1 cache size      386, 2296440 req, miss ratio 0.5060, byte miss ratio 0.5060
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-1 cache size     1158, 2296440 req, miss ratio 0.3523, byte miss ratio 0.3523
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-1 cache size     3861, 2296440 req, miss ratio 0.1854, byte miss ratio 0.1854
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-1 cache size     7722, 2296440 req, miss ratio 0.1095, byte miss ratio 0.1095
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-1 cache size    15444, 2296440 req, miss ratio 0.0509, byte miss ratio 0.0509
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-1 cache size    30888, 2296440 req, miss ratio 0.0191, byte miss ratio 0.0191
result/cdn2_colo28.ns667.oracleGeneral.zst ARC cache size       38, 2296440 req, miss ratio 0.8002, byte miss ratio 0.8002
result/cdn2_colo28.ns667.oracleGeneral.zst ARC cache size      115, 2296440 req, miss ratio 0.6744, byte miss ratio 0.6744
result/cdn2_colo28.ns667.oracleGeneral.zst ARC cache size      386, 2296440 req, miss ratio 0.5168, byte miss ratio 0.5168
result/cdn2_colo28.ns667.oracleGeneral.zst ARC cache size     1158, 2296440 req, miss ratio 0.3619, byte miss ratio 0.3619
result/cdn2_colo28.ns667.oracleGeneral.zst ARC cache size     3861, 2296440 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn2_colo28.ns667.oracleGeneral.zst ARC cache size     7722, 2296440 req, miss ratio 0.1162, byte miss ratio 0.1162
result/cdn2_colo28.ns667.oracleGeneral.zst ARC cache size    15444, 2296440 req, miss ratio 0.0540, byte miss ratio 0.0540
