result/cdn2_colo28.ns703.oracleGeneral.zst LHD cache size       11, 1643873 req, miss ratio 0.8125, byte miss ratio 0.8125
result/cdn2_colo28.ns703.oracleGeneral.zst LHD cache size       34, 1643873 req, miss ratio 0.6527, byte miss ratio 0.6527
result/cdn2_colo28.ns703.oracleGeneral.zst LHD cache size      115, 1643873 req, miss ratio 0.4845, byte miss ratio 0.4845
result/cdn2_colo28.ns703.oracleGeneral.zst LHD cache size      345, 1643873 req, miss ratio 0.2981, byte miss ratio 0.2981
result/cdn2_colo28.ns703.oracleGeneral.zst LHD cache size     1151, 1643873 req, miss ratio 0.0650, byte miss ratio 0.0650
result/cdn2_colo28.ns703.oracleGeneral.zst LHD cache size     2303, 1643873 req, miss ratio 0.0255, byte miss ratio 0.0255
result/cdn2_colo28.ns703.oracleGeneral.zst LHD cache size     4607, 1643873 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_colo28.ns703.oracleGeneral.zst LHD cache size     9214, 1643873 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn2_colo28.ns703.oracleGeneral.zst FIFO cache size       11, 1643873 req, miss ratio 0.9248, byte miss ratio 0.9248
result/cdn2_colo28.ns703.oracleGeneral.zst FIFO cache size       34, 1643873 req, miss ratio 0.7988, byte miss ratio 0.7988
result/cdn2_colo28.ns703.oracleGeneral.zst FIFO cache size      115, 1643873 req, miss ratio 0.6122, byte miss ratio 0.6122
result/cdn2_colo28.ns703.oracleGeneral.zst FIFO cache size      345, 1643873 req, miss ratio 0.3773, byte miss ratio 0.3773
result/cdn2_colo28.ns703.oracleGeneral.zst FIFO cache size     1151, 1643873 req, miss ratio 0.1151, byte miss ratio 0.1151
result/cdn2_colo28.ns703.oracleGeneral.zst FIFO cache size     2303, 1643873 req, miss ratio 0.0441, byte miss ratio 0.0441
result/cdn2_colo28.ns703.oracleGeneral.zst FIFO cache size     4607, 1643873 req, miss ratio 0.0168, byte miss ratio 0.0168
result/cdn2_colo28.ns703.oracleGeneral.zst FIFO cache size     9214, 1643873 req, miss ratio 0.0090, byte miss ratio 0.0090
result/cdn2_colo28.ns703.oracleGeneral.zst LeCaR cache size       11, 1643873 req, miss ratio 0.8579, byte miss ratio 0.8579
result/cdn2_colo28.ns703.oracleGeneral.zst LeCaR cache size       34, 1643873 req, miss ratio 0.7236, byte miss ratio 0.7236
result/cdn2_colo28.ns703.oracleGeneral.zst LeCaR cache size      115, 1643873 req, miss ratio 0.5475, byte miss ratio 0.5475
result/cdn2_colo28.ns703.oracleGeneral.zst LeCaR cache size      345, 1643873 req, miss ratio 0.3054, byte miss ratio 0.3054
result/cdn2_colo28.ns703.oracleGeneral.zst LeCaR cache size     1151, 1643873 req, miss ratio 0.0595, byte miss ratio 0.0595
result/cdn2_colo28.ns703.oracleGeneral.zst LeCaR cache size     2303, 1643873 req, miss ratio 0.0241, byte miss ratio 0.0241
result/cdn2_colo28.ns703.oracleGeneral.zst LeCaR cache size     4607, 1643873 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn2_colo28.ns703.oracleGeneral.zst LeCaR cache size     9214, 1643873 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_colo28.ns703.oracleGeneral.zst ARC cache size       11, 1643873 req, miss ratio 0.7906, byte miss ratio 0.7906
result/cdn2_colo28.ns703.oracleGeneral.zst ARC cache size       34, 1643873 req, miss ratio 0.6621, byte miss ratio 0.6621
result/cdn2_colo28.ns703.oracleGeneral.zst ARC cache size      115, 1643873 req, miss ratio 0.4947, byte miss ratio 0.4947
result/cdn2_colo28.ns703.oracleGeneral.zst ARC cache size      345, 1643873 req, miss ratio 0.2787, byte miss ratio 0.2787
result/cdn2_colo28.ns703.oracleGeneral.zst ARC cache size     1151, 1643873 req, miss ratio 0.0577, byte miss ratio 0.0577
result/cdn2_colo28.ns703.oracleGeneral.zst ARC cache size     2303, 1643873 req, miss ratio 0.0234, byte miss ratio 0.0234
result/cdn2_colo28.ns703.oracleGeneral.zst ARC cache size     4607, 1643873 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn2_colo28.ns703.oracleGeneral.zst ARC cache size     9214, 1643873 req, miss ratio 0.0071, byte miss ratio 0.0071
