result/cdn2_colo28.ns975.oracleGeneral.zst Clock cache size       32, 2315384 req, miss ratio 0.6426, byte miss ratio 0.6426
result/cdn2_colo28.ns975.oracleGeneral.zst Clock cache size       98, 2315384 req, miss ratio 0.4794, byte miss ratio 0.4794
result/cdn2_colo28.ns975.oracleGeneral.zst Clock cache size      328, 2315384 req, miss ratio 0.3891, byte miss ratio 0.3891
result/cdn2_colo28.ns975.oracleGeneral.zst Clock cache size      986, 2315384 req, miss ratio 0.2676, byte miss ratio 0.2676
result/cdn2_colo28.ns975.oracleGeneral.zst Clock cache size     3289, 2315384 req, miss ratio 0.1151, byte miss ratio 0.1151
result/cdn2_colo28.ns975.oracleGeneral.zst Clock cache size     6578, 2315384 req, miss ratio 0.0592, byte miss ratio 0.0592
result/cdn2_colo28.ns975.oracleGeneral.zst Clock cache size    13156, 2315384 req, miss ratio 0.0286, byte miss ratio 0.0286
result/cdn2_colo28.ns975.oracleGeneral.zst Clock cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-1 cache size       32, 2315384 req, miss ratio 0.4928, byte miss ratio 0.4928
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-1 cache size       98, 2315384 req, miss ratio 0.4241, byte miss ratio 0.4241
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-1 cache size      328, 2315384 req, miss ratio 0.3363, byte miss ratio 0.3363
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-1 cache size      986, 2315384 req, miss ratio 0.2227, byte miss ratio 0.2227
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-1 cache size     3289, 2315384 req, miss ratio 0.0938, byte miss ratio 0.0938
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-1 cache size     6578, 2315384 req, miss ratio 0.0514, byte miss ratio 0.0514
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-1 cache size    13156, 2315384 req, miss ratio 0.0260, byte miss ratio 0.0260
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-1 cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_colo28.ns975.oracleGeneral.zst LeCaR cache size       32, 2315384 req, miss ratio 0.5755, byte miss ratio 0.5755
result/cdn2_colo28.ns975.oracleGeneral.zst LeCaR cache size       98, 2315384 req, miss ratio 0.4741, byte miss ratio 0.4741
result/cdn2_colo28.ns975.oracleGeneral.zst LeCaR cache size      328, 2315384 req, miss ratio 0.3919, byte miss ratio 0.3919
result/cdn2_colo28.ns975.oracleGeneral.zst LeCaR cache size      986, 2315384 req, miss ratio 0.2696, byte miss ratio 0.2696
result/cdn2_colo28.ns975.oracleGeneral.zst LeCaR cache size     3289, 2315384 req, miss ratio 0.1110, byte miss ratio 0.1110
result/cdn2_colo28.ns975.oracleGeneral.zst LeCaR cache size     6578, 2315384 req, miss ratio 0.0577, byte miss ratio 0.0577
result/cdn2_colo28.ns975.oracleGeneral.zst LeCaR cache size    13156, 2315384 req, miss ratio 0.0280, byte miss ratio 0.0280
result/cdn2_colo28.ns975.oracleGeneral.zst LeCaR cache size    26313, 2315384 req, miss ratio 0.0150, byte miss ratio 0.0150
result/cdn2_colo28.ns975.oracleGeneral.zst LHD cache size       32, 2315384 req, miss ratio 0.5054, byte miss ratio 0.5054
result/cdn2_colo28.ns975.oracleGeneral.zst LHD cache size       98, 2315384 req, miss ratio 0.4506, byte miss ratio 0.4506
result/cdn2_colo28.ns975.oracleGeneral.zst LHD cache size      328, 2315384 req, miss ratio 0.3854, byte miss ratio 0.3854
result/cdn2_colo28.ns975.oracleGeneral.zst LHD cache size      986, 2315384 req, miss ratio 0.2547, byte miss ratio 0.2547
result/cdn2_colo28.ns975.oracleGeneral.zst LHD cache size     3289, 2315384 req, miss ratio 0.1088, byte miss ratio 0.1088
result/cdn2_colo28.ns975.oracleGeneral.zst LHD cache size     6578, 2315384 req, miss ratio 0.0577, byte miss ratio 0.0577
result/cdn2_colo28.ns975.oracleGeneral.zst LHD cache size    13156, 2315384 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn2_colo28.ns975.oracleGeneral.zst LHD cache size    26313, 2315384 req, miss ratio 0.0154, byte miss ratio 0.0154
result/cdn2_colo28.ns975.oracleGeneral.zst ARC cache size       32, 2315384 req, miss ratio 0.4983, byte miss ratio 0.4983
result/cdn2_colo28.ns975.oracleGeneral.zst ARC cache size       98, 2315384 req, miss ratio 0.4308, byte miss ratio 0.4308
result/cdn2_colo28.ns975.oracleGeneral.zst ARC cache size      328, 2315384 req, miss ratio 0.3438, byte miss ratio 0.3438
result/cdn2_colo28.ns975.oracleGeneral.zst ARC cache size      986, 2315384 req, miss ratio 0.2304, byte miss ratio 0.2304
result/cdn2_colo28.ns975.oracleGeneral.zst ARC cache size     3289, 2315384 req, miss ratio 0.0982, byte miss ratio 0.0982
result/cdn2_colo28.ns975.oracleGeneral.zst ARC cache size     6578, 2315384 req, miss ratio 0.0536, byte miss ratio 0.0536
result/cdn2_colo28.ns975.oracleGeneral.zst ARC cache size    13156, 2315384 req, miss ratio 0.0264, byte miss ratio 0.0264
result/cdn2_colo28.ns975.oracleGeneral.zst ARC cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_colo28.ns975.oracleGeneral.zst LRU cache size       32, 2315384 req, miss ratio 0.6678, byte miss ratio 0.6678
result/cdn2_colo28.ns975.oracleGeneral.zst LRU cache size       98, 2315384 req, miss ratio 0.4908, byte miss ratio 0.4908
result/cdn2_colo28.ns975.oracleGeneral.zst LRU cache size      328, 2315384 req, miss ratio 0.3957, byte miss ratio 0.3957
result/cdn2_colo28.ns975.oracleGeneral.zst LRU cache size      986, 2315384 req, miss ratio 0.2766, byte miss ratio 0.2766
result/cdn2_colo28.ns975.oracleGeneral.zst LRU cache size     3289, 2315384 req, miss ratio 0.1218, byte miss ratio 0.1218
result/cdn2_colo28.ns975.oracleGeneral.zst LRU cache size     6578, 2315384 req, miss ratio 0.0620, byte miss ratio 0.0620
result/cdn2_colo28.ns975.oracleGeneral.zst LRU cache size    13156, 2315384 req, miss ratio 0.0298, byte miss ratio 0.0298
result/cdn2_colo28.ns975.oracleGeneral.zst LRU cache size    26313, 2315384 req, miss ratio 0.0150, byte miss ratio 0.0150
result/cdn2_colo28.ns975.oracleGeneral.zst clock2 cache size       32, 2315384 req, miss ratio 0.6145, byte miss ratio 0.6145
result/cdn2_colo28.ns975.oracleGeneral.zst clock2 cache size       98, 2315384 req, miss ratio 0.4710, byte miss ratio 0.4710
result/cdn2_colo28.ns975.oracleGeneral.zst clock2 cache size      328, 2315384 req, miss ratio 0.3819, byte miss ratio 0.3819
result/cdn2_colo28.ns975.oracleGeneral.zst clock2 cache size      986, 2315384 req, miss ratio 0.2562, byte miss ratio 0.2562
result/cdn2_colo28.ns975.oracleGeneral.zst clock2 cache size     3289, 2315384 req, miss ratio 0.1057, byte miss ratio 0.1057
result/cdn2_colo28.ns975.oracleGeneral.zst clock2 cache size     6578, 2315384 req, miss ratio 0.0551, byte miss ratio 0.0551
result/cdn2_colo28.ns975.oracleGeneral.zst clock2 cache size    13156, 2315384 req, miss ratio 0.0269, byte miss ratio 0.0269
result/cdn2_colo28.ns975.oracleGeneral.zst clock2 cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_colo28.ns975.oracleGeneral.zst LIRS cache size       32, 2315384 req, miss ratio 0.4947, byte miss ratio 0.4947
result/cdn2_colo28.ns975.oracleGeneral.zst LIRS cache size       98, 2315384 req, miss ratio 0.4283, byte miss ratio 0.4283
result/cdn2_colo28.ns975.oracleGeneral.zst LIRS cache size      328, 2315384 req, miss ratio 0.3422, byte miss ratio 0.3422
result/cdn2_colo28.ns975.oracleGeneral.zst LIRS cache size      986, 2315384 req, miss ratio 0.2298, byte miss ratio 0.2298
result/cdn2_colo28.ns975.oracleGeneral.zst LIRS cache size     3289, 2315384 req, miss ratio 0.0957, byte miss ratio 0.0957
result/cdn2_colo28.ns975.oracleGeneral.zst LIRS cache size     6578, 2315384 req, miss ratio 0.0518, byte miss ratio 0.0518
result/cdn2_colo28.ns975.oracleGeneral.zst LIRS cache size    13156, 2315384 req, miss ratio 0.0258, byte miss ratio 0.0258
result/cdn2_colo28.ns975.oracleGeneral.zst LIRS cache size    26313, 2315384 req, miss ratio 0.0150, byte miss ratio 0.0150
result/cdn2_colo28.ns975.oracleGeneral.zst Cacheus cache size       32, 2315384 req, miss ratio 0.5035, byte miss ratio 0.5035
result/cdn2_colo28.ns975.oracleGeneral.zst Cacheus cache size       98, 2315384 req, miss ratio 0.4353, byte miss ratio 0.4353
result/cdn2_colo28.ns975.oracleGeneral.zst Cacheus cache size      328, 2315384 req, miss ratio 0.3455, byte miss ratio 0.3455
result/cdn2_colo28.ns975.oracleGeneral.zst Cacheus cache size      986, 2315384 req, miss ratio 0.2241, byte miss ratio 0.2241
result/cdn2_colo28.ns975.oracleGeneral.zst Cacheus cache size     3289, 2315384 req, miss ratio 0.1126, byte miss ratio 0.1126
result/cdn2_colo28.ns975.oracleGeneral.zst Cacheus cache size     6578, 2315384 req, miss ratio 0.0502, byte miss ratio 0.0502
result/cdn2_colo28.ns975.oracleGeneral.zst Cacheus cache size    13156, 2315384 req, miss ratio 0.0255, byte miss ratio 0.0255
result/cdn2_colo28.ns975.oracleGeneral.zst Cacheus cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO cache size       32, 2315384 req, miss ratio 0.7228, byte miss ratio 0.7228
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO cache size       98, 2315384 req, miss ratio 0.5631, byte miss ratio 0.5631
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO cache size      328, 2315384 req, miss ratio 0.4326, byte miss ratio 0.4326
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO cache size      986, 2315384 req, miss ratio 0.3094, byte miss ratio 0.3094
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO cache size     3289, 2315384 req, miss ratio 0.1586, byte miss ratio 0.1586
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO cache size     6578, 2315384 req, miss ratio 0.0889, byte miss ratio 0.0889
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO cache size    13156, 2315384 req, miss ratio 0.0432, byte miss ratio 0.0432
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO cache size    26313, 2315384 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d-1 cache size       32, 2315384 req, miss ratio 0.4925, byte miss ratio 0.4925
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d-1 cache size       98, 2315384 req, miss ratio 0.4248, byte miss ratio 0.4248
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d-1 cache size      328, 2315384 req, miss ratio 0.3363, byte miss ratio 0.3363
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d-1 cache size      986, 2315384 req, miss ratio 0.2231, byte miss ratio 0.2231
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d-1 cache size     3289, 2315384 req, miss ratio 0.0940, byte miss ratio 0.0940
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d-1 cache size     6578, 2315384 req, miss ratio 0.0514, byte miss ratio 0.0514
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d-1 cache size    13156, 2315384 req, miss ratio 0.0260, byte miss ratio 0.0260
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d-1 cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_colo28.ns975.oracleGeneral.zst LRB cache size       32, 2315384 req, miss ratio 0.4964, byte miss ratio 0.4964
result/cdn2_colo28.ns975.oracleGeneral.zst LRB cache size       98, 2315384 req, miss ratio 0.4222, byte miss ratio 0.4222
result/cdn2_colo28.ns975.oracleGeneral.zst LRB cache size      328, 2315384 req, miss ratio 0.3288, byte miss ratio 0.3288
result/cdn2_colo28.ns975.oracleGeneral.zst LRB cache size      986, 2315384 req, miss ratio 0.2124, byte miss ratio 0.2124
result/cdn2_colo28.ns975.oracleGeneral.zst LRB cache size     3289, 2315384 req, miss ratio 0.0883, byte miss ratio 0.0883
result/cdn2_colo28.ns975.oracleGeneral.zst LRB cache size     6578, 2315384 req, miss ratio 0.0501, byte miss ratio 0.0501
result/cdn2_colo28.ns975.oracleGeneral.zst LRB cache size    13156, 2315384 req, miss ratio 0.0272, byte miss ratio 0.0272
result/cdn2_colo28.ns975.oracleGeneral.zst LRB cache size    26313, 2315384 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_colo28.ns975.oracleGeneral.zst B-LRU cache size       32, 2315384 req, miss ratio 0.6648, byte miss ratio 0.6648
result/cdn2_colo28.ns975.oracleGeneral.zst B-LRU cache size       98, 2315384 req, miss ratio 0.4889, byte miss ratio 0.4889
result/cdn2_colo28.ns975.oracleGeneral.zst B-LRU cache size      328, 2315384 req, miss ratio 0.3932, byte miss ratio 0.3932
result/cdn2_colo28.ns975.oracleGeneral.zst B-LRU cache size      986, 2315384 req, miss ratio 0.2723, byte miss ratio 0.2723
result/cdn2_colo28.ns975.oracleGeneral.zst B-LRU cache size     3289, 2315384 req, miss ratio 0.1168, byte miss ratio 0.1168
result/cdn2_colo28.ns975.oracleGeneral.zst B-LRU cache size     6578, 2315384 req, miss ratio 0.0597, byte miss ratio 0.0597
result/cdn2_colo28.ns975.oracleGeneral.zst B-LRU cache size    13156, 2315384 req, miss ratio 0.0310, byte miss ratio 0.0310
result/cdn2_colo28.ns975.oracleGeneral.zst B-LRU cache size    26313, 2315384 req, miss ratio 0.0240, byte miss ratio 0.0240
