result/cdn2_colo28.ns988.oracleGeneral.zst Clock cache size      115, 2367987 req, miss ratio 0.4602, byte miss ratio 0.4602
result/cdn2_colo28.ns988.oracleGeneral.zst Clock cache size      345, 2367987 req, miss ratio 0.3611, byte miss ratio 0.3611
result/cdn2_colo28.ns988.oracleGeneral.zst Clock cache size     1152, 2367987 req, miss ratio 0.2554, byte miss ratio 0.2554
result/cdn2_colo28.ns988.oracleGeneral.zst Clock cache size     3458, 2367987 req, miss ratio 0.1810, byte miss ratio 0.1810
result/cdn2_colo28.ns988.oracleGeneral.zst Clock cache size    11528, 2367987 req, miss ratio 0.1152, byte miss ratio 0.1152
result/cdn2_colo28.ns988.oracleGeneral.zst Clock cache size    23057, 2367987 req, miss ratio 0.0820, byte miss ratio 0.0820
result/cdn2_colo28.ns988.oracleGeneral.zst Clock cache size    46114, 2367987 req, miss ratio 0.0611, byte miss ratio 0.0611
result/cdn2_colo28.ns988.oracleGeneral.zst Clock cache size    92228, 2367987 req, miss ratio 0.0493, byte miss ratio 0.0493
result/cdn2_colo28.ns988.oracleGeneral.zst LIRS cache size      115, 2367987 req, miss ratio 0.4017, byte miss ratio 0.4017
result/cdn2_colo28.ns988.oracleGeneral.zst LIRS cache size      345, 2367987 req, miss ratio 0.3088, byte miss ratio 0.3088
result/cdn2_colo28.ns988.oracleGeneral.zst LIRS cache size     1152, 2367987 req, miss ratio 0.2233, byte miss ratio 0.2233
result/cdn2_colo28.ns988.oracleGeneral.zst LIRS cache size     3458, 2367987 req, miss ratio 0.1619, byte miss ratio 0.1619
result/cdn2_colo28.ns988.oracleGeneral.zst LIRS cache size    11528, 2367987 req, miss ratio 0.0994, byte miss ratio 0.0994
result/cdn2_colo28.ns988.oracleGeneral.zst LIRS cache size    23057, 2367987 req, miss ratio 0.0728, byte miss ratio 0.0728
result/cdn2_colo28.ns988.oracleGeneral.zst LIRS cache size    46114, 2367987 req, miss ratio 0.0580, byte miss ratio 0.0580
result/cdn2_colo28.ns988.oracleGeneral.zst LIRS cache size    92228, 2367987 req, miss ratio 0.0496, byte miss ratio 0.0496
result/cdn2_colo28.ns988.oracleGeneral.zst LHD cache size      115, 2367987 req, miss ratio 0.4296, byte miss ratio 0.4296
result/cdn2_colo28.ns988.oracleGeneral.zst LHD cache size      345, 2367987 req, miss ratio 0.3486, byte miss ratio 0.3486
result/cdn2_colo28.ns988.oracleGeneral.zst LHD cache size     1152, 2367987 req, miss ratio 0.2460, byte miss ratio 0.2460
result/cdn2_colo28.ns988.oracleGeneral.zst LHD cache size     3458, 2367987 req, miss ratio 0.1750, byte miss ratio 0.1750
result/cdn2_colo28.ns988.oracleGeneral.zst LHD cache size    11528, 2367987 req, miss ratio 0.1104, byte miss ratio 0.1104
result/cdn2_colo28.ns988.oracleGeneral.zst LHD cache size    23057, 2367987 req, miss ratio 0.0799, byte miss ratio 0.0799
result/cdn2_colo28.ns988.oracleGeneral.zst LHD cache size    46114, 2367987 req, miss ratio 0.0609, byte miss ratio 0.0609
result/cdn2_colo28.ns988.oracleGeneral.zst LHD cache size    92228, 2367987 req, miss ratio 0.0501, byte miss ratio 0.0501
