result/io_traces.ns127.oracleGeneral.zst ARC cache size      214, 3800000 req, miss ratio 0.4672, byte miss ratio 0.4672
result/io_traces.ns127.oracleGeneral.zst ARC cache size      644, 3800000 req, miss ratio 0.4601, byte miss ratio 0.4601
result/io_traces.ns127.oracleGeneral.zst ARC cache size     2149, 3800000 req, miss ratio 0.4374, byte miss ratio 0.4374
result/io_traces.ns127.oracleGeneral.zst ARC cache size     6448, 3800000 req, miss ratio 0.4145, byte miss ratio 0.4145
result/io_traces.ns127.oracleGeneral.zst ARC cache size    21493, 3800000 req, miss ratio 0.2935, byte miss ratio 0.2935
result/io_traces.ns127.oracleGeneral.zst ARC cache size    42987, 3800000 req, miss ratio 0.1414, byte miss ratio 0.1414
result/io_traces.ns127.oracleGeneral.zst ARC cache size    85974, 3800000 req, miss ratio 0.0688, byte miss ratio 0.0688
result/io_traces.ns127.oracleGeneral.zst ARC cache size   171948, 3800000 req, miss ratio 0.0577, byte miss ratio 0.0577
result/io_traces.ns127.oracleGeneral.zst Cacheus cache size      214, 3800000 req, miss ratio 0.4679, byte miss ratio 0.4679
result/io_traces.ns127.oracleGeneral.zst Cacheus cache size      644, 3800000 req, miss ratio 0.4598, byte miss ratio 0.4598
result/io_traces.ns127.oracleGeneral.zst Cacheus cache size     2149, 3800000 req, miss ratio 0.4403, byte miss ratio 0.4403
result/io_traces.ns127.oracleGeneral.zst Cacheus cache size     6448, 3800000 req, miss ratio 0.4160, byte miss ratio 0.4160
result/io_traces.ns127.oracleGeneral.zst Cacheus cache size    21493, 3800000 req, miss ratio 0.2942, byte miss ratio 0.2942
result/io_traces.ns127.oracleGeneral.zst Cacheus cache size    42987, 3800000 req, miss ratio 0.1425, byte miss ratio 0.1425
result/io_traces.ns127.oracleGeneral.zst Cacheus cache size    85974, 3800000 req, miss ratio 0.0708, byte miss ratio 0.0708
result/io_traces.ns127.oracleGeneral.zst Cacheus cache size   171948, 3800000 req, miss ratio 0.0584, byte miss ratio 0.0584
result/io_traces.ns127.oracleGeneral.zst LIRS cache size      214, 3800000 req, miss ratio 0.4966, byte miss ratio 0.4966
result/io_traces.ns127.oracleGeneral.zst LIRS cache size      644, 3800000 req, miss ratio 0.4771, byte miss ratio 0.4771
result/io_traces.ns127.oracleGeneral.zst LIRS cache size     2149, 3800000 req, miss ratio 0.4413, byte miss ratio 0.4413
