result/io_traces.ns13.oracleGeneral.zst clock2 cache size     8757, 14600000 req, miss ratio 0.8324, byte miss ratio 0.8324
result/io_traces.ns13.oracleGeneral.zst clock2 cache size    26272, 14600000 req, miss ratio 0.8294, byte miss ratio 0.8294
result/io_traces.ns13.oracleGeneral.zst clock2 cache size    87575, 14600000 req, miss ratio 0.8096, byte miss ratio 0.8096
result/io_traces.ns13.oracleGeneral.zst clock2 cache size   262726, 14600000 req, miss ratio 0.7590, byte miss ratio 0.7590
result/io_traces.ns13.oracleGeneral.zst clock2 cache size   875755, 14600000 req, miss ratio 0.7332, byte miss ratio 0.7332
result/io_traces.ns13.oracleGeneral.zst clock2 cache size  1751511, 14600000 req, miss ratio 0.7199, byte miss ratio 0.7199
result/io_traces.ns13.oracleGeneral.zst clock2 cache size  3503022, 14600000 req, miss ratio 0.6566, byte miss ratio 0.6566
result/io_traces.ns13.oracleGeneral.zst clock2 cache size  7006044, 14600000 req, miss ratio 0.6063, byte miss ratio 0.6063
result/io_traces.ns13.oracleGeneral.zst Cacheus cache size     8757, 14600000 req, miss ratio 0.8323, byte miss ratio 0.8323
result/io_traces.ns13.oracleGeneral.zst Cacheus cache size    26272, 14600000 req, miss ratio 0.8283, byte miss ratio 0.8283
result/io_traces.ns13.oracleGeneral.zst Cacheus cache size    87575, 14600000 req, miss ratio 0.7899, byte miss ratio 0.7899
result/io_traces.ns13.oracleGeneral.zst Cacheus cache size   262726, 14600000 req, miss ratio 0.7408, byte miss ratio 0.7408
result/io_traces.ns13.oracleGeneral.zst Cacheus cache size   875755, 14600000 req, miss ratio 0.7231, byte miss ratio 0.7231
result/io_traces.ns13.oracleGeneral.zst Cacheus cache size  1751511, 14600000 req, miss ratio 0.7044, byte miss ratio 0.7044
result/io_traces.ns13.oracleGeneral.zst Cacheus cache size  3503022, 14600000 req, miss ratio 0.6617, byte miss ratio 0.6617
result/io_traces.ns13.oracleGeneral.zst Cacheus cache size  7006044, 14600000 req, miss ratio 0.6257, byte miss ratio 0.6257
result/io_traces.ns13.oracleGeneral.zst ARC cache size     8757, 14600000 req, miss ratio 0.8324, byte miss ratio 0.8324
result/io_traces.ns13.oracleGeneral.zst ARC cache size    26272, 14600000 req, miss ratio 0.8274, byte miss ratio 0.8274
result/io_traces.ns13.oracleGeneral.zst ARC cache size    87575, 14600000 req, miss ratio 0.7758, byte miss ratio 0.7758
result/io_traces.ns13.oracleGeneral.zst ARC cache size   262726, 14600000 req, miss ratio 0.7377, byte miss ratio 0.7377
result/io_traces.ns13.oracleGeneral.zst ARC cache size   875755, 14600000 req, miss ratio 0.7163, byte miss ratio 0.7163
result/io_traces.ns13.oracleGeneral.zst ARC cache size  1751511, 14600000 req, miss ratio 0.7016, byte miss ratio 0.7016
result/io_traces.ns13.oracleGeneral.zst ARC cache size  3503022, 14600000 req, miss ratio 0.6541, byte miss ratio 0.6541
result/io_traces.ns13.oracleGeneral.zst ARC cache size  7006044, 14600000 req, miss ratio 0.6063, byte miss ratio 0.6063
result/io_traces.ns13.oracleGeneral.zst LRU cache size     8757, 14600000 req, miss ratio 0.8325, byte miss ratio 0.8325
result/io_traces.ns13.oracleGeneral.zst LRU cache size    26272, 14600000 req, miss ratio 0.8290, byte miss ratio 0.8290
result/io_traces.ns13.oracleGeneral.zst LRU cache size    87575, 14600000 req, miss ratio 0.8096, byte miss ratio 0.8096
result/io_traces.ns13.oracleGeneral.zst LRU cache size   262726, 14600000 req, miss ratio 0.7717, byte miss ratio 0.7717
result/io_traces.ns13.oracleGeneral.zst LRU cache size   875755, 14600000 req, miss ratio 0.7380, byte miss ratio 0.7380
result/io_traces.ns13.oracleGeneral.zst LRU cache size  1751511, 14600000 req, miss ratio 0.7212, byte miss ratio 0.7212
result/io_traces.ns13.oracleGeneral.zst LRU cache size  3503022, 14600000 req, miss ratio 0.6554, byte miss ratio 0.6554
result/io_traces.ns13.oracleGeneral.zst LRU cache size  7006044, 14600000 req, miss ratio 0.6060, byte miss ratio 0.6060
result/io_traces.ns13.oracleGeneral.zst FIFO cache size     8757, 14600000 req, miss ratio 0.8336, byte miss ratio 0.8336
result/io_traces.ns13.oracleGeneral.zst FIFO cache size    26272, 14600000 req, miss ratio 0.8296, byte miss ratio 0.8296
result/io_traces.ns13.oracleGeneral.zst FIFO cache size    87575, 14600000 req, miss ratio 0.8128, byte miss ratio 0.8128
result/io_traces.ns13.oracleGeneral.zst FIFO cache size   262726, 14600000 req, miss ratio 0.7850, byte miss ratio 0.7850
result/io_traces.ns13.oracleGeneral.zst FIFO cache size   875755, 14600000 req, miss ratio 0.7563, byte miss ratio 0.7563
result/io_traces.ns13.oracleGeneral.zst FIFO cache size  1751511, 14600000 req, miss ratio 0.7313, byte miss ratio 0.7313
result/io_traces.ns13.oracleGeneral.zst FIFO cache size  3503022, 14600000 req, miss ratio 0.6607, byte miss ratio 0.6607
result/io_traces.ns13.oracleGeneral.zst FIFO cache size  7006044, 14600000 req, miss ratio 0.6115, byte miss ratio 0.6115
result/io_traces.ns13.oracleGeneral.zst S3FIFO-1 cache size     8757, 14600000 req, miss ratio 0.8325, byte miss ratio 0.8325
