result/io_traces.ns25.oracleGeneral.zst LHD cache size     4352, 10200000 req, miss ratio 0.7058, byte miss ratio 0.7058
result/io_traces.ns25.oracleGeneral.zst LHD cache size    13057, 10200000 req, miss ratio 0.6977, byte miss ratio 0.6977
result/io_traces.ns25.oracleGeneral.zst LHD cache size    43526, 10200000 req, miss ratio 0.6587, byte miss ratio 0.6587
result/io_traces.ns25.oracleGeneral.zst LHD cache size   130578, 10200000 req, miss ratio 0.6063, byte miss ratio 0.6063
result/io_traces.ns25.oracleGeneral.zst LHD cache size   435262, 10200000 req, miss ratio 0.5771, byte miss ratio 0.5771
result/io_traces.ns25.oracleGeneral.zst LHD cache size   870524, 10200000 req, miss ratio 0.5469, byte miss ratio 0.5469
result/io_traces.ns25.oracleGeneral.zst LHD cache size  1741049, 10200000 req, miss ratio 0.4958, byte miss ratio 0.4958
result/io_traces.ns25.oracleGeneral.zst LHD cache size  3482098, 10200000 req, miss ratio 0.4346, byte miss ratio 0.4346
result/io_traces.ns25.oracleGeneral.zst S3FIFO-1 cache size     4352, 10200000 req, miss ratio 0.7070, byte miss ratio 0.7070
result/io_traces.ns25.oracleGeneral.zst S3FIFO-1 cache size    13057, 10200000 req, miss ratio 0.7028, byte miss ratio 0.7028
result/io_traces.ns25.oracleGeneral.zst S3FIFO-1 cache size    43526, 10200000 req, miss ratio 0.6708, byte miss ratio 0.6708
result/io_traces.ns25.oracleGeneral.zst S3FIFO-1 cache size   130578, 10200000 req, miss ratio 0.5946, byte miss ratio 0.5946
result/io_traces.ns25.oracleGeneral.zst S3FIFO-1 cache size   435262, 10200000 req, miss ratio 0.5736, byte miss ratio 0.5736
result/io_traces.ns25.oracleGeneral.zst S3FIFO-1 cache size   870524, 10200000 req, miss ratio 0.5545, byte miss ratio 0.5545
result/io_traces.ns25.oracleGeneral.zst S3FIFO-1 cache size  1741049, 10200000 req, miss ratio 0.5050, byte miss ratio 0.5050
result/io_traces.ns25.oracleGeneral.zst S3FIFO-1 cache size  3482098, 10200000 req, miss ratio 0.4375, byte miss ratio 0.4375
result/io_traces.ns25.oracleGeneral.zst Cacheus cache size     4352, 10200000 req, miss ratio 0.7065, byte miss ratio 0.7065
result/io_traces.ns25.oracleGeneral.zst Cacheus cache size    13057, 10200000 req, miss ratio 0.7028, byte miss ratio 0.7028
result/io_traces.ns25.oracleGeneral.zst Cacheus cache size    43526, 10200000 req, miss ratio 0.6887, byte miss ratio 0.6887
result/io_traces.ns25.oracleGeneral.zst Cacheus cache size   130578, 10200000 req, miss ratio 0.6275, byte miss ratio 0.6275
result/io_traces.ns25.oracleGeneral.zst Cacheus cache size   435262, 10200000 req, miss ratio 0.5903, byte miss ratio 0.5903
result/io_traces.ns25.oracleGeneral.zst Cacheus cache size   870524, 10200000 req, miss ratio 0.5761, byte miss ratio 0.5761
result/io_traces.ns25.oracleGeneral.zst Cacheus cache size  1741049, 10200000 req, miss ratio 0.5079, byte miss ratio 0.5079
result/io_traces.ns25.oracleGeneral.zst Cacheus cache size  3482098, 10200000 req, miss ratio 0.4435, byte miss ratio 0.4435
