result/io_traces.ns310.oracleGeneral.zst LHD cache size      773, 10400000 req, miss ratio 0.5417, byte miss ratio 0.5417
result/io_traces.ns310.oracleGeneral.zst LHD cache size     2319, 10400000 req, miss ratio 0.3484, byte miss ratio 0.3484
result/io_traces.ns310.oracleGeneral.zst LHD cache size     7732, 10400000 req, miss ratio 0.2778, byte miss ratio 0.2778
result/io_traces.ns310.oracleGeneral.zst LHD cache size    23198, 10400000 req, miss ratio 0.2064, byte miss ratio 0.2064
result/io_traces.ns310.oracleGeneral.zst LHD cache size    77329, 10400000 req, miss ratio 0.0950, byte miss ratio 0.0950
result/io_traces.ns310.oracleGeneral.zst LHD cache size   154658, 10400000 req, miss ratio 0.0817, byte miss ratio 0.0817
result/io_traces.ns310.oracleGeneral.zst LHD cache size   309316, 10400000 req, miss ratio 0.0758, byte miss ratio 0.0758
result/io_traces.ns310.oracleGeneral.zst LHD cache size   618632, 10400000 req, miss ratio 0.0744, byte miss ratio 0.0744
result/io_traces.ns310.oracleGeneral.zst Cacheus cache size      773, 10400000 req, miss ratio 0.5069, byte miss ratio 0.5069
result/io_traces.ns310.oracleGeneral.zst Cacheus cache size     2319, 10400000 req, miss ratio 0.3315, byte miss ratio 0.3315
result/io_traces.ns310.oracleGeneral.zst Cacheus cache size     7732, 10400000 req, miss ratio 0.2729, byte miss ratio 0.2729
result/io_traces.ns310.oracleGeneral.zst Cacheus cache size    23198, 10400000 req, miss ratio 0.2099, byte miss ratio 0.2099
result/io_traces.ns310.oracleGeneral.zst Cacheus cache size    77329, 10400000 req, miss ratio 0.1003, byte miss ratio 0.1003
result/io_traces.ns310.oracleGeneral.zst Cacheus cache size   154658, 10400000 req, miss ratio 0.0832, byte miss ratio 0.0832
result/io_traces.ns310.oracleGeneral.zst Cacheus cache size   309316, 10400000 req, miss ratio 0.0780, byte miss ratio 0.0780
result/io_traces.ns310.oracleGeneral.zst Cacheus cache size   618632, 10400000 req, miss ratio 0.0745, byte miss ratio 0.0745
result/io_traces.ns310.oracleGeneral.zst clock2 cache size      773, 10400000 req, miss ratio 0.5405, byte miss ratio 0.5405
result/io_traces.ns310.oracleGeneral.zst clock2 cache size     2319, 10400000 req, miss ratio 0.3387, byte miss ratio 0.3387
result/io_traces.ns310.oracleGeneral.zst clock2 cache size     7732, 10400000 req, miss ratio 0.2857, byte miss ratio 0.2857
result/io_traces.ns310.oracleGeneral.zst clock2 cache size    23198, 10400000 req, miss ratio 0.2122, byte miss ratio 0.2122
result/io_traces.ns310.oracleGeneral.zst clock2 cache size    77329, 10400000 req, miss ratio 0.1031, byte miss ratio 0.1031
result/io_traces.ns310.oracleGeneral.zst clock2 cache size   154658, 10400000 req, miss ratio 0.0889, byte miss ratio 0.0889
result/io_traces.ns310.oracleGeneral.zst clock2 cache size   309316, 10400000 req, miss ratio 0.0777, byte miss ratio 0.0777
result/io_traces.ns310.oracleGeneral.zst clock2 cache size   618632, 10400000 req, miss ratio 0.0744, byte miss ratio 0.0744
result/io_traces.ns310.oracleGeneral.zst S3FIFO-1 cache size      773, 10400000 req, miss ratio 0.4737, byte miss ratio 0.4737
result/io_traces.ns310.oracleGeneral.zst S3FIFO-1 cache size     2319, 10400000 req, miss ratio 0.3182, byte miss ratio 0.3182
result/io_traces.ns310.oracleGeneral.zst S3FIFO-1 cache size     7732, 10400000 req, miss ratio 0.2686, byte miss ratio 0.2686
result/io_traces.ns310.oracleGeneral.zst S3FIFO-1 cache size    23198, 10400000 req, miss ratio 0.2135, byte miss ratio 0.2135
result/io_traces.ns310.oracleGeneral.zst S3FIFO-1 cache size    77329, 10400000 req, miss ratio 0.0945, byte miss ratio 0.0945
result/io_traces.ns310.oracleGeneral.zst S3FIFO-1 cache size   154658, 10400000 req, miss ratio 0.0855, byte miss ratio 0.0855
result/io_traces.ns310.oracleGeneral.zst S3FIFO-1 cache size   309316, 10400000 req, miss ratio 0.0791, byte miss ratio 0.0791
result/io_traces.ns310.oracleGeneral.zst S3FIFO-1 cache size   618632, 10400000 req, miss ratio 0.0744, byte miss ratio 0.0744
result/io_traces.ns310.oracleGeneral.zst LRU cache size      773, 10400000 req, miss ratio 0.5485, byte miss ratio 0.5485
result/io_traces.ns310.oracleGeneral.zst LRU cache size     2319, 10400000 req, miss ratio 0.3842, byte miss ratio 0.3842
result/io_traces.ns310.oracleGeneral.zst LRU cache size     7732, 10400000 req, miss ratio 0.2899, byte miss ratio 0.2899
result/io_traces.ns310.oracleGeneral.zst LRU cache size    23198, 10400000 req, miss ratio 0.2107, byte miss ratio 0.2107
result/io_traces.ns310.oracleGeneral.zst LRU cache size    77329, 10400000 req, miss ratio 0.1072, byte miss ratio 0.1072
result/io_traces.ns310.oracleGeneral.zst LRU cache size   154658, 10400000 req, miss ratio 0.0811, byte miss ratio 0.0811
result/io_traces.ns310.oracleGeneral.zst LRU cache size   309316, 10400000 req, miss ratio 0.0755, byte miss ratio 0.0755
result/io_traces.ns310.oracleGeneral.zst LRU cache size   618632, 10400000 req, miss ratio 0.0744, byte miss ratio 0.0744
result/io_traces.ns310.oracleGeneral.zst LIRS cache size      773, 10400000 req, miss ratio 0.4569, byte miss ratio 0.4569
result/io_traces.ns310.oracleGeneral.zst LIRS cache size     2319, 10400000 req, miss ratio 0.3247, byte miss ratio 0.3247
result/io_traces.ns310.oracleGeneral.zst LIRS cache size     7732, 10400000 req, miss ratio 0.2683, byte miss ratio 0.2683
result/io_traces.ns310.oracleGeneral.zst LIRS cache size    23198, 10400000 req, miss ratio 0.2029, byte miss ratio 0.2029
result/io_traces.ns310.oracleGeneral.zst LIRS cache size    77329, 10400000 req, miss ratio 0.1053, byte miss ratio 0.1053
result/io_traces.ns310.oracleGeneral.zst LIRS cache size   154658, 10400000 req, miss ratio 0.0939, byte miss ratio 0.0939
result/io_traces.ns310.oracleGeneral.zst LIRS cache size   309316, 10400000 req, miss ratio 0.0839, byte miss ratio 0.0839
result/io_traces.ns310.oracleGeneral.zst LIRS cache size   618632, 10400000 req, miss ratio 0.0754, byte miss ratio 0.0754
