result/io_traces.ns434.oracleGeneral.zst Cacheus cache size     1889, 15600000 req, miss ratio 0.3666, byte miss ratio 0.3666
result/io_traces.ns434.oracleGeneral.zst Cacheus cache size     5668, 15600000 req, miss ratio 0.2877, byte miss ratio 0.2877
result/io_traces.ns434.oracleGeneral.zst Cacheus cache size    18895, 15600000 req, miss ratio 0.2466, byte miss ratio 0.2466
result/io_traces.ns434.oracleGeneral.zst Cacheus cache size    56685, 15600000 req, miss ratio 0.1902, byte miss ratio 0.1902
result/io_traces.ns434.oracleGeneral.zst Cacheus cache size   188951, 15600000 req, miss ratio 0.1365, byte miss ratio 0.1365
result/io_traces.ns434.oracleGeneral.zst Cacheus cache size   377903, 15600000 req, miss ratio 0.1258, byte miss ratio 0.1258
result/io_traces.ns434.oracleGeneral.zst Cacheus cache size   755806, 15600000 req, miss ratio 0.1236, byte miss ratio 0.1236
result/io_traces.ns434.oracleGeneral.zst Cacheus cache size  1511613, 15600000 req, miss ratio 0.1215, byte miss ratio 0.1215
result/io_traces.ns434.oracleGeneral.zst ARC cache size     1889, 15600000 req, miss ratio 0.3236, byte miss ratio 0.3236
result/io_traces.ns434.oracleGeneral.zst ARC cache size     5668, 15600000 req, miss ratio 0.2866, byte miss ratio 0.2866
result/io_traces.ns434.oracleGeneral.zst ARC cache size    18895, 15600000 req, miss ratio 0.2463, byte miss ratio 0.2463
result/io_traces.ns434.oracleGeneral.zst ARC cache size    56685, 15600000 req, miss ratio 0.1951, byte miss ratio 0.1951
result/io_traces.ns434.oracleGeneral.zst ARC cache size   188951, 15600000 req, miss ratio 0.1371, byte miss ratio 0.1371
result/io_traces.ns434.oracleGeneral.zst ARC cache size   377903, 15600000 req, miss ratio 0.1297, byte miss ratio 0.1297
result/io_traces.ns434.oracleGeneral.zst ARC cache size   755806, 15600000 req, miss ratio 0.1264, byte miss ratio 0.1264
result/io_traces.ns434.oracleGeneral.zst ARC cache size  1511613, 15600000 req, miss ratio 0.1215, byte miss ratio 0.1215
result/io_traces.ns434.oracleGeneral.zst LIRS cache size     1889, 15600000 req, miss ratio 0.3345, byte miss ratio 0.3345
result/io_traces.ns434.oracleGeneral.zst LIRS cache size     5668, 15600000 req, miss ratio 0.2994, byte miss ratio 0.2994
result/io_traces.ns434.oracleGeneral.zst LIRS cache size    18895, 15600000 req, miss ratio 0.2508, byte miss ratio 0.2508
result/io_traces.ns434.oracleGeneral.zst LIRS cache size    56685, 15600000 req, miss ratio 0.2051, byte miss ratio 0.2051
result/io_traces.ns434.oracleGeneral.zst LIRS cache size   188951, 15600000 req, miss ratio 0.1587, byte miss ratio 0.1587
result/io_traces.ns434.oracleGeneral.zst LIRS cache size   377903, 15600000 req, miss ratio 0.1500, byte miss ratio 0.1500
