result/io_traces.ns436.oracleGeneral.zst LeCaR cache size      166, 2000000 req, miss ratio 0.4706, byte miss ratio 0.4706
result/io_traces.ns436.oracleGeneral.zst LeCaR cache size      499, 2000000 req, miss ratio 0.4573, byte miss ratio 0.4573
result/io_traces.ns436.oracleGeneral.zst LeCaR cache size     1664, 2000000 req, miss ratio 0.4517, byte miss ratio 0.4517
result/io_traces.ns436.oracleGeneral.zst LeCaR cache size     4994, 2000000 req, miss ratio 0.4498, byte miss ratio 0.4498
result/io_traces.ns436.oracleGeneral.zst LeCaR cache size    16647, 2000000 req, miss ratio 0.3325, byte miss ratio 0.3325
result/io_traces.ns436.oracleGeneral.zst LeCaR cache size    33294, 2000000 req, miss ratio 0.2236, byte miss ratio 0.2236
result/io_traces.ns436.oracleGeneral.zst LeCaR cache size    66588, 2000000 req, miss ratio 0.0909, byte miss ratio 0.0909
result/io_traces.ns436.oracleGeneral.zst LeCaR cache size   133176, 2000000 req, miss ratio 0.0833, byte miss ratio 0.0833
result/io_traces.ns436.oracleGeneral.zst clock2 cache size      166, 2000000 req, miss ratio 0.4717, byte miss ratio 0.4717
result/io_traces.ns436.oracleGeneral.zst clock2 cache size      499, 2000000 req, miss ratio 0.4571, byte miss ratio 0.4571
result/io_traces.ns436.oracleGeneral.zst clock2 cache size     1664, 2000000 req, miss ratio 0.4518, byte miss ratio 0.4518
result/io_traces.ns436.oracleGeneral.zst clock2 cache size     4994, 2000000 req, miss ratio 0.4496, byte miss ratio 0.4496
result/io_traces.ns436.oracleGeneral.zst clock2 cache size    16647, 2000000 req, miss ratio 0.3754, byte miss ratio 0.3754
result/io_traces.ns436.oracleGeneral.zst clock2 cache size    33294, 2000000 req, miss ratio 0.2523, byte miss ratio 0.2523
result/io_traces.ns436.oracleGeneral.zst clock2 cache size    66588, 2000000 req, miss ratio 0.0924, byte miss ratio 0.0924
result/io_traces.ns436.oracleGeneral.zst clock2 cache size   133176, 2000000 req, miss ratio 0.0835, byte miss ratio 0.0835
result/io_traces.ns436.oracleGeneral.zst S3FIFO-1 cache size      166, 2000000 req, miss ratio 0.4604, byte miss ratio 0.4604
result/io_traces.ns436.oracleGeneral.zst S3FIFO-1 cache size      499, 2000000 req, miss ratio 0.4537, byte miss ratio 0.4537
result/io_traces.ns436.oracleGeneral.zst S3FIFO-1 cache size     1664, 2000000 req, miss ratio 0.4508, byte miss ratio 0.4508
result/io_traces.ns436.oracleGeneral.zst S3FIFO-1 cache size     4994, 2000000 req, miss ratio 0.4436, byte miss ratio 0.4436
result/io_traces.ns436.oracleGeneral.zst S3FIFO-1 cache size    16647, 2000000 req, miss ratio 0.3503, byte miss ratio 0.3503
result/io_traces.ns436.oracleGeneral.zst S3FIFO-1 cache size    33294, 2000000 req, miss ratio 0.2174, byte miss ratio 0.2174
